iso.country,Name,Ref_Area_Type,RC_Region,RC_UNSDCode,groupname,RC_Name,iso.group
12,Algeria,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
24,Angola,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
72,Botswana,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
108,Burundi,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
120,Cameroon,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
132,Cabo Verde,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
140,Central African Republic,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
148,Chad,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
174,Comoros,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
178,Congo,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
180,Democratic Republic of the Congo,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
204,Benin,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
226,Equatorial Guinea,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
231,Ethiopia,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
232,Eritrea,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
262,Djibouti,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
266,Gabon,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
270,Gambia,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
288,Ghana,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
324,Guinea,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
384,Côte d'Ivoire,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
404,Kenya,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
426,Lesotho,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
430,Liberia,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
434,Libya,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
450,Madagascar,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
454,Malawi,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
466,Mali,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
478,Mauritania,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
480,Mauritius,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
504,Morocco,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
508,Mozambique,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
516,Namibia,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
562,Niger,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
566,Nigeria,3.0-Country,ECA_ALL,98100,ECA: All countries,ECA,
