iso.country,Name,Ref_Area_Type,RC_Region,RC_UNSDCode,groupname,RC_Name,iso.group
4,Afghanistan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
31,Azerbaijan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
36,Australia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
50,Bangladesh,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
51,Armenia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
16,American Samoa,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
64,Bhutan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
90,Solomon Islands,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
96,Brunei Darussalam,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
104,Myanmar,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
116,Cambodia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
144,Sri Lanka,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
156,China,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
242,Fiji,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
344,"China, Hong Kong Special Administrative Region",3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
446,"China, Macao Special Administrative Region",3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
268,Georgia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
184,Cook Islands,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
296,Kiribati,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
258,French Polynesia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
356,India,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
360,Indonesia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
364,Iran (Islamic Republic of),3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
392,Japan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
398,Kazakhstan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
408,Democratic People's Republic of Korea,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
410,Republic of Korea,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
417,Kyrgyzstan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
418,Lao People's Democratic Republic,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
458,Malaysia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
462,Maldives,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
496,Mongolia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
316,Guam,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
520,Nauru,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
524,Nepal,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
548,Vanuatu,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
554,New Zealand,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
583,Micronesia (Federated States of),3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
584,Marshall Islands,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
585,Palau,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
586,Pakistan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
598,Papua New Guinea,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
608,Philippines,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
626,Timor-Leste,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
540,New Caledonia,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
570,Niue,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
643,Russian Federation,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
580,Northern Mariana Islands,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
702,Singapore,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
704,Viet Nam,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
762,Tajikistan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
764,Thailand,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
776,Tonga,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
792,Turkey,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
795,Turkmenistan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
798,Tuvalu,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
860,Uzbekistan,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
882,Samoa,3.0-Country,ESCAP_ALL,98400,ESCAP: All countries,ESCAP,
4,Afghanistan,3.0-Country,ESCAP_ADB_DMC,98401,ESCAP: ADB Developing member countries (ADB_DMC),ESCAP,
31,Azerbaijan,3.0-Country,ESCAP_ADB_DMC,98401,ESCAP: ADB Developing member countries (ADB_DMC),ESCAP,
