"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union","rec_ID"
"Dec-49",2893,NA,NA,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",NA,5.3,3.6,1.2,NA,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",NA,NA,"MW","?",NA,NA,1,4,"Afghanistan",2000,2000,2000.415301,2000.830601,"2000 MICS (East)","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2893_2000_Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces."
"<50",1925,"Adjusted.",NA,NA,NA,10.3,8.7,1.6,NA,NA,NA,NA,"MW","?",NA,NA,1,4,"Afghanistan",2003,2003,2003.413699,2003.578082,"2003 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1925_2003_NA"
"<50",4368,"Adjusted.",NA,NA,NA,13.6,12.5,1.1,NA,NA,NA,NA,"MW","?",NA,NA,1,4,"Afghanistan",2005,2005,2005.413699,2005.663014,"2005 NRVA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4368_2005_NA"
"Oct-49",4369,NA,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,18.6,17.5,1.1,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,NA,"MW","?",NA,NA,1,4,"Afghanistan",2006,2006,2006.70411,2006.912329,"2006 HS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4369_2006_Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons."
"15-49",4465,NA,NA,NA,NA,22.8,15.2,7.6,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2007,2008,2007.619178,2008.663934,"2007-2008 NRVA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4465_2007_NA"
"15-49",4983,NA,NA,NA,NA,21.23950997,20.20822583,1.031284138,NA,NA,NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2010,2011,2010.747945,2011.410959,"2010-2011 MICS","MICS",0,"afwm4",0.043237573,0.116610939,NA,0.006912198,0.001169834,NA,1,"1_4983_2010_NA"
"15-49",5045,NA,NA,"Excluding areas in the South zone.",NA,21.8,19.9,1.9,NA,"Excluding areas in the South zone.",NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2010,2010,2010.246575,2010.99726,"2010 DHS Special","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5045_2010_Excluding areas in the South zone."
"Dec-49",7515,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,"MW","?",NA,NA,0,4,"Afghanistan",2012,2012,2012.581967,2012.997268,"2012 AHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7515_2012_NA"
"15-49",5689,NA,NA,NA,NA,22.47050767,19.7840789,2.686428767,24.4653465,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.413699,2016.161202,"2015 DHS","DHS",0,"af71",0.043837429,0.08503315,0.030762159,0.006802585,0.002147634,0.005415976,1,"1_5689_2015_NA"
"Dec-49",7507,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,"MW","?",NA,NA,0,4,"Afghanistan",2015,2015,2015.49589,2015.99726,"2015 AHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7507_2015_NA"
