"rec_ID","Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","In.union","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet"
"0_1669_1999_NA","15-19",1669,NA,NA,NA,NA,3.86544534175774,3.1349906751889,0.730454666568837,1.69909404036392,NA,NA,NA,"UW","0",NA,NA,0,398,"Kazakhstan",1999,1999,1999.49589041096,1999.74520547945,"1999 DHS","DHS",0,0,0.241986226,0.492922124,0.340255172,0.003958378,0.002024442,0.00414053
"0_1671_1991_NA","15-19",1671,NA,NA,NA,NA,1.60627554189441,0.773387844138652,0.832887697755763,1.20668323931032,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1991,1991,1991.49589041096,1991.91232876712,"1991 DHS","DHS",0,0,0.433978696,0.574157405,0.296813771,0.003297658,0.00249889,0.00342614
"0_1674_1998_NA","15-19",1674,NA,NA,NA,NA,28.1067141539702,5.86037444625967,22.2463397077106,6.8313042621035,NA,NA,NA,"UW","0",NA,NA,0,120,"Cameroon",1998,1998,1998.08493150685,1998.49315068493,"1998 DHS","DHS",0,0,0.1603007,0.111942141,0.150947696,0.006280519,0.015133747,0.008238231
"0_1675_1996_NA","15-19",1675,NA,NA,NA,NA,1.80624895441915,0.843119027623614,0.963129926795534,3.33806454380746,NA,NA,NA,"UW","0",NA,NA,0,148,"Chad",1996,1997,1996.91530054645,1997.57808219178,"1996-1997 DHS","DHS",0,0,0.272653843,0.310575187,0.18952759,0.002198521,0.002949697,0.005762986
"0_1679_1996_NA","15-19",1679,NA,NA,NA,NA,3.87366971822846,2.77040833082039,1.10326138740807,11.1536824225595,NA,NA,NA,"UW","0",NA,NA,0,834,"United Republic of Tanzania",1996,1996,1996.49726775956,1996.91256830601,"1996 DHS","DHS",0,0,0.215698917,0.245224585,0.101205908,0.002989704,0.002423778,0.005495424
"0_1680_1998_NA","15-19",1680,NA,NA,NA,NA,0.521194003591481,0.212123239399192,0.30907076419229,2.43986290482964,NA,NA,NA,"UW","0",NA,NA,0,562,"Niger",1998,1998,1998.16164383562,1998.57808219178,"1998 DHS","DHS",0,0,0.617378036,0.702468616,0.364758724,9.75e-05,0.000305,0.008073018
"0_1684_1999_NA","15-19",1684,NA,NA,NA,NA,4.71081792028243,4.71081792028243,0,3.70844967372141,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1999,1999,1999.58082191781,1999.99726027397,"1999 DHS","DHS",0,0,0.457965371,NA,0.488788675,0.020557607,0,0.017233582
"0_1685_1996_NA","15-19",1685,NA,NA,NA,NA,2.9002543414239,2.30246003448529,0.597794306938608,1.79941435135785,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1996,1996,1996.66666666667,1996.99726775956,"1996 DHS","DHS",0,0,0.21704772,0.414434627,0.241570003,0.004618717,0.001997824,0.003817587
"0_1686_1990_NA","15-19",1686,NA,NA,NA,NA,1.71745014787641,0.96455981254115,0.752890335335255,0.828135752749868,NA,NA,NA,"UW","0",NA,NA,0,600,"Paraguay",1990,1990,1990.32876712329,1990.66301369863,"1990 DHS","DHS",0,0,0.313921677,0.395653592,0.326444546,0.002999881,0.002957282,0.002677097
"0_1692_2003_NA","15-19",1692,NA,NA,NA,NA,4.52007680606256,3.1316860903205,1.38839071574206,5.94253571618611,NA,NA,NA,"UW","0",NA,NA,0,404,"Kenya",2003,2003,2003.24657534247,2003.74520547945,"2003 DHS","DHS",0,0,0.169343441,0.266110547,0.11860376,0.00201631,0.001988992,0.00343887
