"Catalog.ID","In.union","Age..range","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.nouse","SE.logR.any.nouse","SE.logR.unmet.noneed"
43,0,"20-24",NA,NA,NA,NA,52.0148553038981,51.3453917943078,0.669463509590328,11.4438438633743,NA,NA,NA,"UW","0",NA,NA,0,516,"Namibia",2006,2007,2006.83287671233,2007.24383561644,"2006-2007 DHS","DHS",0,"nm52",0.072869242,0.378524233,0.080840526,0.072369245,0.106157806
43,1,"20-24",NA,NA,NA,NA,54.4361434864031,51.4620973968466,2.97404608955648,20.2233338958263,NA,NA,NA,"MW","0",NA,NA,0,516,"Namibia",2006,2007,2006.83287671233,2007.24383561644,"2006-2007 DHS","DHS",0,"nm52",0.103516396,0.428985304,0.088690301,0.105601536,0.15947075
49,0,"20-24",NA,NA,NA,NA,24.6397120552869,22.8771987965372,1.76251325874969,7.74712232657455,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",2007,2007,2007.16164383562,2007.6602739726,"2007 DHS","DHS",0,"dr51",0.09410713,0.24617413,0.106178955,0.090342215,0.118344949
49,1,"20-24",NA,NA,NA,NA,60.3643457021467,56.2493456460574,4.1150000560893,18.6661593918241,NA,NA,NA,"MW","0",NA,NA,0,214,"Dominican Republic",2007,2007,2007.16164383562,2007.6602739726,"2007 DHS","DHS",0,"dr51",0.065850864,0.178901876,0.052281527,0.061828146,0.098820336
157,1,"20-24",NA,NA,NA,NA,34.6,26.3,8.3,16.6,NA,NA,NA,"MW","0",NA,NA,0,340,"Honduras",1987,1987,1987.43287671233,1987.88493150685,"1987 EFHS","National survey",0,NA,NA,NA,NA,NA,NA
170,0,"20-24",NA,NA,NA,NA,42.4301275787004,40.5391224992393,1.89100507946108,3.04343913915167,NA,NA,NA,"UW","0",NA,NA,0,804,"Ukraine",2007,2007,2007.49589041096,2007.91232876712,"2007 DHS","DHS",0,"ua51",0.127464084,0.353401662,0.35973314,0.125908084,0.37981195
170,1,"20-24",NA,NA,NA,NA,62.6835074185533,44.9611029603678,17.7224044581855,10.2671137371367,NA,NA,NA,"MW","0",NA,NA,0,804,"Ukraine",2007,2007,2007.49589041096,2007.91232876712,"2007 DHS","DHS",0,"ua51",0.127423574,0.146888966,0.139915753,0.113028329,0.193023477
179,1,"20-24",NA,NA,NA,NA,37.9213320207505,9.32701186038608,28.5943201603644,15.7823252728859,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.148589738,0.119910279,0.09655648,0.103019387,0.12947238
180,1,"20-24",NA,NA,NA,NA,15.3914366503721,10.6209654619881,4.77047118838396,27.1474876746613,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2006,2007,2006.66575342466,2007.15890410959,"2006-2007 DHS","DHS",0,"pk52",0.113145614,0.155826816,0.045917219,0.094833523,0.067610811
207,0,"20-24",NA,NA,NA,NA,1.35932276189356,1.1797042703189,0.179618491574667,3.64430468950724,NA,NA,NA,"UW","0",NA,NA,0,320,"Guatemala",1998,1999,1998.83287671233,1999.41095890411,"1998-1999 DHS Interim","National survey",0,"gu42",0.523628555,0.803238248,0.330727696,0.455675659,0.343415259
207,1,"20-24",NA,NA,NA,NA,25.6627721588356,20.0365644510787,5.62620770775695,33.4778011077035,NA,NA,NA,"MW","0",NA,NA,0,320,"Guatemala",1998,1999,1998.83287671233,1999.41095890411,"1998-1999 DHS Interim","National survey",0,"gu42",0.192718857,0.248909682,0.062074095,0.181221398,0.112933943
640,1,"20-24",NA,NA,NA,NA,57.6,45.7,12,11.1,NA,NA,NA,"MW","0",NA,NA,0,340,"Honduras",2001,2001,2001.08493150685,2001.74520547945,"2001 ENESF","RHS",0,NA,NA,NA,NA,NA,NA
643,1,"20-24",NA,NA,NA,NA,39,37.4,1.6,13.5,NA,NA,NA,"MW","0",NA,NA,0,818,"Egypt",1998,1998,1998.83287671233,1998.99726027397,"1998 DHS Interim","National survey",0,NA,NA,NA,NA,NA,NA
645,0,"20-24",NA,NA,NA,NA,17.6595546636651,16.4429617915463,1.2165928721188,13.8737937329968,NA,NA,NA,"UW","0",NA,NA,0,894,"Zambia",2007,2007,2007.24657534247,2007.8301369863,"2007 DHS","DHS",0,"zm51",0.132318944,0.467473038,0.120164046,0.131073813,0.144513581
645,1,"20-24",NA,NA,NA,NA,41.8261378175264,34.0822487918074,7.74388902571902,24.8847983160192,NA,NA,NA,"MW","0",NA,NA,0,894,"Zambia",2007,2007,2007.24657534247,2007.8301369863,"2007 DHS","DHS",0,"zm51",0.075250822,0.151862243,0.05684549,0.075483461,0.099339582
647,0,"20-24",NA,NA,NA,NA,22.6022393535678,18.3994539991215,4.20278535444626,35.2433936089116,NA,NA,NA,"UW","0",NA,NA,0,430,"Liberia",2006,2007,2006.91506849315,2007.32602739726,"2007 DHS","DHS",0,"lb50",0.14857624,0.246187219,0.056910377,0.142404678,0.104490615
647,1,"20-24",NA,NA,NA,NA,7.07753964919192,5.65572135067261,1.42181829851931,42.161599075013,NA,NA,NA,"MW","0",NA,NA,0,430,"Liberia",2006,2007,2006.91506849315,2007.32602739726,"2007 DHS","DHS",0,"lb50",0.188643721,0.405218895,0.060656087,0.168244464,0.111036588
656,1,"20-24",NA,NA,NA,NA,40.3,37.8,2.6,16.8,NA,NA,NA,"MW","0",NA,NA,0,818,"Egypt",1997,1998,1997.91506849315,1998.08219178082,"1997 DHS","DHS",0,NA,NA,NA,NA,NA,NA
680,1,"20-24",NA,"Traditional methods include folk methods.",NA,NA,20.2,18.3,1.9,35.6,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,418,"Lao People's Dem. Republic",2000,2000,2000,2000,"2000 RHS","National survey",0,NA,NA,NA,NA,NA,NA
694,0,"20-24",NA,NA,NA,NA,34.315307895867,17.3733275306572,16.9419803652097,7.3319433346723,NA,NA,NA,"UW","0",NA,NA,0,204,"Benin",2006,2006,2006.58082191781,2006.91232876712,"2006 DHS","DHS",0,"bj51",0.092749188,0.098204367,0.119120991,0.074830056,0.134088381
694,1,"20-24",NA,NA,NA,NA,14.616916973716,4.74591822540785,9.87099874830816,28.8190699109374,NA,NA,NA,"MW","0",NA,NA,0,204,"Benin",2006,2006,2006.58082191781,2006.91232876712,"2006 DHS","DHS",0,"bj51",0.115072584,0.078981147,0.034780607,0.067501772,0.052501144
707,1,"20-24",NA,NA,NA,NA,36.2,24.5,11.7,14.5,NA,NA,NA,"MW","0",NA,NA,0,340,"Honduras",1991,1992,1991,1992,"1991-1992 ENESF-RHS","RHS",0,NA,NA,NA,NA,NA,NA
739,1,"20-24",NA,NA,NA,NA,61.5355752976297,59.9402934478184,1.59528184981135,9.98683741649821,NA,NA,NA,"MW","0",NA,NA,0,360,"Indonesia",2007,2008,2007.41369863014,2008.16120218579,"2007 DHS","DHS",0,"id52",0.052639945,0.178192067,0.064687632,0.052010615,0.087373011
778,1,"20-24",NA,NA,NA,NA,47.9954282242938,44.2326556124998,3.762772611794,10.8098664039788,NA,NA,NA,"MW","0",NA,NA,0,818,"Egypt",2003,2003,2003.32876712329,2003.49315068493,"2003 DHS Interim","National survey",0,"eg4a",0.066335097,0.1552331,0.083208998,0.063832764,0.105043798
782,1,"20-24",NA,"Traditional methods include folk methods.",NA,NA,54.1,39.9,14.2,11.6,NA,NA,NA,"MW","0",NA,"Including folk methods.",1,600,"Paraguay",1995,1996,1995.74794520548,1996.16120218579,"1995-1996 ENDSR-RHS","RHS",0,NA,NA,NA,NA,NA,NA
831,0,"20-24",NA,NA,NA,NA,31.5468878907166,25.6353978062998,5.91149008441679,11.7589295025535,NA,NA,NA,"UW","0",NA,NA,0,834,"United Republic of Tanzania",1999,1999,1999.66575342466,1999.91232876712,"1999 RCHS","DHS",0,"tz41",0.20584547,0.397024042,0.244663836,0.195922407,0.295409516
831,1,"20-24",NA,NA,NA,NA,28.4207084037606,22.8409070719794,5.57980133178129,24.1251713466924,NA,NA,NA,"MW","0",NA,NA,0,834,"United Republic of Tanzania",1999,1999,1999.66575342466,1999.91232876712,"1999 RCHS","DHS",0,"tz41",0.178038841,0.39154962,0.098600427,0.166579738,0.148727838
1151,1,"20-24",NA,NA,NA,NA,57.1,NA,NA,19.2,NA,NA,NA,"MW","0",NA,NA,0,484,"Mexico",1995,1995,1995.80821917808,1995.87945205479,"1995 ENPF","National survey",0,NA,NA,NA,NA,NA,NA
1669,0,"20-24",NA,NA,NA,NA,15.9943858336193,13.8037283482961,2.19065748532316,3.14040657553586,NA,NA,NA,"UW","0",NA,NA,0,398,"Kazakhstan",1999,1999,1999.49589041096,1999.74520547945,"1999 DHS","DHS",0,"kk42",0.177042875,0.411866531,0.368019017,0.172977093,0.382311063
1669,1,"20-24",NA,NA,NA,NA,52.9774821403514,42.3186407642939,10.6588413760575,15.6965040674215,NA,NA,NA,"MW","0",NA,NA,0,398,"Kazakhstan",1999,1999,1999.49589041096,1999.74520547945,"1999 DHS","DHS",0,"kk42",0.128709618,0.187361398,0.125613708,0.11879224,0.188554882
1671,0,"20-24",NA,NA,NA,NA,6.05679487528302,5.89684118626109,0.159953689021934,2.29588992190009,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1991,1991,1991.49589041096,1991.91232876712,"1991 DHS","DHS",0,"dr21",0.206918135,0.614803862,0.302790832,0.202635842,0.310376154
1671,1,"20-24",NA,NA,NA,NA,42.5392793443515,35.8784605211296,6.66081882322189,28.4741541142814,NA,NA,NA,"MW","0",NA,NA,0,214,"Dominican Republic",1991,1991,1991.49589041096,1991.91232876712,"1991 DHS","DHS",0,"dr21",0.114222154,0.197763119,0.064085208,0.10920599,0.127037545
1674,0,"20-24",NA,NA,NA,NA,51.6613054723831,13.9806386076708,37.6806668647123,7.33580404843492,NA,NA,NA,"UW","0",NA,NA,0,120,"Cameroon",1998,1998,1998.08493150685,1998.49315068493,"1998 DHS","DHS",0,"cm31",0.157214527,0.116281749,0.178386187,0.103625501,0.210301159
1674,1,"20-24",NA,NA,NA,NA,16.8452086889188,5.30858249883545,11.5366261900834,19.9713926965745,NA,NA,NA,"MW","0",NA,NA,0,120,"Cameroon",1998,1998,1998.08493150685,1998.49315068493,"1998 DHS","DHS",0,"cm31",0.194301858,0.134559,0.084037573,0.129416043,0.11060068
1675,0,"20-24",NA,NA,NA,NA,9.08963705395125,3.49086855168198,5.59876850226928,8.42963636893614,NA,NA,NA,"UW","0",NA,NA,0,148,"Chad",1996,1997,1996.91530054645,1997.57808219178,"1996-1997 DHS","DHS",0,"td32",0.33261122,0.283526252,0.218199677,0.215976041,0.240499965
1675,1,"20-24",NA,NA,NA,NA,4.36068882775634,1.15485639050623,3.20583243725012,18.2548082263047,NA,NA,NA,"MW","0",NA,NA,0,148,"Chad",1996,1997,1996.91530054645,1997.57808219178,"1996-1997 DHS","DHS",0,"td32",0.28619299,0.172712106,0.068919985,0.148910941,0.085178034
1678,1,"20-24",NA,NA,NA,NA,9.95334512020075,5.89554050422861,4.05780461597213,27.7453544170937,NA,NA,NA,"MW","0",NA,NA,0,834,"United Republic of Tanzania",1991,1992,1991.74794520548,1992.24590163934,"1991-1992 DHS","DHS",0,"tz21",0.174956231,0.181743204,0.053790119,0.132726575,0.077745091
1679,0,"20-24",NA,NA,NA,NA,17.9008068008415,13.6350431919844,4.26576360885714,17.4260595582846,NA,NA,NA,"UW","0",NA,NA,0,834,"United Republic of Tanzania",1996,1996,1996.49726775956,1996.91256830601,"1996 DHS","DHS",0,"tz3a",0.129414977,0.205200405,0.111833496,0.11464813,0.14196683
1679,1,"20-24",NA,NA,NA,NA,18.0126129365184,12.7336567013549,5.27895623516344,27.2402528977881,NA,NA,NA,"MW","0",NA,NA,0,834,"United Republic of Tanzania",1996,1996,1996.49726775956,1996.91256830601,"1996 DHS","DHS",0,"tz3a",0.102170023,0.13323254,0.049297632,0.085244028,0.073826404
1680,0,"20-24",NA,NA,NA,NA,8.93677363357846,6.03244473575609,2.90432889782238,4.91385682696533,NA,NA,NA,"UW","0",NA,NA,0,562,"Niger",1998,1998,1998.16164383562,1998.57808219178,"1998 DHS","DHS",0,"ni31",0.266260489,0.341938798,0.276105883,0.229779316,0.291854632
1680,1,"20-24",NA,NA,NA,NA,9.84119076851487,5.14601577192031,4.69517499659457,16.3679797402388,NA,NA,NA,"MW","0",NA,NA,0,562,"Niger",1998,1998,1998.16164383562,1998.57808219178,"1998 DHS","DHS",0,"ni31",0.159072014,0.157356029,0.078238599,0.113101438,0.095593165
1682,1,"20-24",NA,NA,NA,NA,9.08012745270221,7.39321362092128,1.68691383178093,26.941697406671,NA,NA,NA,"MW","0",NA,NA,0,466,"Mali",2006,2006,2006.32876712329,2006.99726027397,"2006 DHS","DHS",0,"ml53",0.10319195,0.250473612,0.040579266,0.102563707,0.057667504
1684,0,"20-24",NA,NA,NA,NA,15.2442474934144,14.3644112242864,0.879836269127966,6.93933988754649,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1999,1999,1999.58082191781,1999.99726027397,"1999 DHS","DHS",0,"dr41",0.326439766,0.983869574,0.427560864,0.316812912,0.465688941
1684,1,"20-24",NA,NA,NA,NA,45.8679489367105,34.8155092228059,11.0524397139046,25.7688772106611,NA,NA,NA,"MW","0",NA,NA,0,214,"Dominican Republic",1999,1999,1999.58082191781,1999.99726027397,"1999 DHS","DHS",0,"dr41",0.237659624,0.341372523,0.139811685,0.22565627,0.266835203
1685,0,"20-24",NA,NA,NA,NA,11.4713269447798,8.56454952034465,2.90677742443518,6.37297999916225,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",1996,1996,1996.66666666667,1996.99726775956,"1996 DHS","DHS",0,"dr32",0.178110308,0.274411398,0.190482185,0.153433685,0.205258265
1685,1,"20-24",NA,NA,NA,NA,47.632770356342,41.3664654425123,6.26630491382975,25.5225294397473,NA,NA,NA,"MW","0",NA,NA,0,214,"Dominican Republic",1996,1996,1996.66666666667,1996.99726775956,"1996 DHS","DHS",0,"dr32",0.088407164,0.170111141,0.057571181,0.086035274,0.112306833
1686,0,"20-24",NA,NA,NA,NA,9.34473085731627,6.60508100776917,2.73964984954709,1.89450664218132,NA,NA,NA,"UW","0",NA,NA,0,600,"Paraguay",1990,1990,1990.32876712329,1990.66301369863,"1990 DHS","DHS",0,"py21",0.210789963,0.308351655,0.352954407,0.17638317,0.360487854
1686,1,"20-24",NA,NA,NA,NA,41.5378674554173,30.5043074785233,11.0335599768941,21.6693652001961,NA,NA,NA,"MW","0",NA,NA,0,600,"Paraguay",1990,1990,1990.32876712329,1990.66301369863,"1990 DHS","DHS",0,"py21",0.11336692,0.15293703,0.07771721,0.104351313,0.123489321
1687,1,"20-24",NA,NA,NA,NA,50.9860050236736,49.3662727035142,1.61973232015934,16.567096132519,NA,NA,NA,"MW","0",NA,NA,0,360,"Indonesia",1991,1991,1991.32876712329,1991.57808219178,"1991 DHS","DHS",0,"id21",0.054923219,0.191874345,0.047667397,0.054736601,0.072005943
1688,1,"20-24",NA,NA,NA,NA,55.519723957269,54.0347941726307,1.48492978463831,13.010508742734,NA,NA,NA,"MW","0",NA,NA,0,360,"Indonesia",1994,1994,1994.49589041096,1994.91232876712,"1994 DHS","DHS",0,"id37",0.056056191,0.175851151,0.059491582,0.055352975,0.084087116
1689,1,"20-24",NA,NA,NA,NA,60.6896045670882,58.8685858600349,1.82101870705329,9.41050083098267,NA,NA,NA,"MW","0",NA,NA,0,360,"Indonesia",2002,2003,2002.74794520548,2003.32602739726,"2002-2003 DHS","DHS",0,"id42",0.056926335,0.229319844,0.070065325,0.056685412,0.092117235
1690,1,"20-24",NA,NA,NA,NA,60.7290451498287,59.4076834795307,1.32136167029802,10.0701135590361,NA,NA,NA,"MW","0",NA,NA,0,360,"Indonesia",1997,1997,1997.66575342466,1997.99726027397,"1997 DHS","DHS",0,"id3a",0.056156779,0.208244292,0.062566264,0.056408355,0.084142676
1692,0,"20-24",NA,NA,NA,NA,13.231790417162,9.4409373120305,3.79085310513155,10.5956466907566,NA,NA,NA,"UW","0",NA,NA,0,404,"Kenya",2003,2003,2003.24657534247,2003.74520547945,"2003 DHS","DHS",0,"ke42",0.160800618,0.208285988,0.121682041,0.131907516,0.138608082
1692,1,"20-24",NA,NA,NA,NA,27.8369162969672,22.4109155393433,5.42600075762383,35.1878741461275,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2003,2003,2003.24657534247,2003.74520547945,"2003 DHS","DHS",0,"ke42",0.10074734,0.147682783,0.043015883,0.089881864,0.083952431
