"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"25-29",5689,NA,NA,NA,NA,20.9324659550318,18.8126121184187,2.11985383661307,29.3331004619289,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0761405669776175,0.139997314960477,0.052211671720653,0.00967430477471606,0.00244336352703918,0.0093643231919397,1
"25-29",4483,NA,NA,NA,NA,62.2376139948519,14.3283347994437,47.9092791954082,19.0032207556606,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.173032588966513,0.110203874009147,0.16863194872511,0.00576633685986863,0.00887524121479642,0.00841565512073387,1
"25-29",7474,NA,NA,NA,NA,43.6761923820122,2.64444711029588,41.0317452717163,27.215078006002,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.205575851403554,0.104276451158281,0.104720249018025,0.00164033264450412,0.00870728910219511,0.00680629163638804,1
"25-29",7474,NA,NA,NA,NA,15.066737169882,2.30046061671641,12.7662765531656,4.60150086294811,NA,NA,NA,"UW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.444708880720408,0.326156835685759,0.35471547829308,0.00265615615314796,0.00593430727925175,0.00214354869262573,0
"25-29",1913,NA,NA,NA,NA,58.1,53.9,4.2,11.6,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",4984,NA,NA,NA,NA,55.83604218,47.19577411,8.640268075,9,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",5805,NA,NA,NA,NA,18.3839238502666,17.0149129992819,1.36901085098474,38.6782643502327,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.108113960548507,0.267897270729328,0.0752056775146962,0.0101392043744879,0.00176340586327876,0.00772408173063729,1
"25-29",5805,NA,NA,NA,NA,21.8196120922257,21.4145215073281,0.405090584897666,18.9042053706202,NA,NA,NA,"UW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.150818548506242,0.590751551905909,0.12604629958417,0.0129414399300078,0.000800590434515835,0.00857611114615532,0
"25-29",179,NA,NA,NA,NA,56.3007540222047,20.0040799016421,36.2966741205626,14.7933565931172,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.141143957905371,0.104594396526909,0.116867452253043,0.0192930897616915,0.0186388267885799,0.00957500293637247,1
"25-29",1814,NA,NA,NA,NA,50.6380436879206,43.5451833798679,7.09286030805265,21.7680252669806,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1993,1994,1993.83287671233,1994.24383561644,"1993-1994 DHS","DHS",0,"bd31",0.0546211643912343,0.0975608528022879,0.0631595634085084,0.0130845383411677,0.00624014306328191,0.00896467241580392,1
"25-29",1840,NA,NA,NA,NA,60.9320656433049,55.3731831457271,5.55888249757779,17.5232056270726,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2007,2007,2007.16164383562,2007.66301369863,"2007 DHS","DHS",0,"bd50",0.0615655846798147,0.126407711891419,0.0903581109521251,0.0143675521107211,0.00624955812779841,0.0110918218560133,1
"25-29",7575,NA,NA,NA,NA,64.2560444755912,62.2781791265363,1.97786534905524,13.4343381470025,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2019,2019,2019.04931506849,2019.41369863014,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",1848,NA,NA,NA,NA,69.5649264103028,28.1809804495758,41.383945960727,14.660876546063,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2000,2000,2000.74863387978,2000.99726775956,"2000 DHS","DHS",0,"am42",0.111282475977358,0.106203503981057,0.160539048211964,0.0152287542394492,0.0177422589828785,0.0114796093391704,1
"25-29",5046,NA,NA,NA,NA,62.1178577327569,31.9630332127347,30.1548245200222,13.6735193323084,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2010,2010,2010.74794520548,2010.99726027397,"2010 DHS","DHS",0,"am61",0.118602646820762,0.10608422219826,0.17034401315261,0.0230245945437474,0.0190859217905588,0.0145910949087655,1
"25-29",5046,NA,NA,NA,NA,0.497326927548677,0.497326927548677,0,0.206533417218557,NA,NA,NA,"UW","0",NA,NA,0,51,"Armenia",2010,2010,2010.74794520548,2010.99726027397,"2010 DHS","DHS",0,"am61",1.01506557377753,NA,1.00474180592624,0.005030674999947,0,0.00017897581992948,0
"25-29",4986,NA,NA,NA,NA,68.63332966,64.18912777,4.444201896,17.5,NA,NA,NA,"MW","0",NA,NA,1,52,"Barbados",2012,2012,2012.3306010929,2012.8306010929,"2012 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",4989,NA,NA,NA,NA,62.79550753,62.50022969,0.295277844,14.2,NA,NA,NA,"MW","0",NA,NA,1,64,"Bhutan",2010,2010,2010.24657534247,2010.64383561644,"2010 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",1769,NA,NA,NA,NA,51.0472359183421,20.0147442523265,31.0324916660156,31.8265952616572,NA,NA,NA,"MW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",1993,1994,1993.83287671233,1994.41095890411,"1994 DHS","DHS",0,"bo33",0.103025728483241,0.0836372519109603,0.10457777912492,0.00967703660120866,0.0102829718590568,0.0108408161622141,1
"25-29",4492,NA,NA,NA,NA,61.1330015740482,35.4150349191651,25.7179666548831,23.923108051619,NA,NA,NA,"MW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",2008,2008,2008.08469945355,2008.49453551913,"2008 DHS","DHS",0,"bo51",0.0716909260565167,0.073915694520681,0.0938782604973095,0.0147923657017751,0.0127418884782041,0.0124090122407677,1
"25-29",4492,NA,NA,NA,NA,26.4178403680896,15.0985787044701,11.3192616636195,5.11786318699973,NA,NA,NA,"UW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",2008,2008,2008.08469945355,2008.49453551913,"2008 DHS","DHS",0,"bo51",0.114778215714087,0.144080326828387,0.195339604618543,0.0142794370303501,0.0140862284331236,0.00953724268235968,0
"25-29",4990,NA,NA,NA,NA,44.70723676,13.12663832,31.58059844,20.9,NA,NA,NA,"MW","0",NA,NA,0,70,"Bosnia and Herzegovina",2011,2012,2011.83287671233,2012.24590163934,"2011-2012 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",1868,NA,NA,NA,NA,77.5515088349051,70.056652003169,7.49485683173605,11.7063447930336,NA,NA,NA,"MW","0",NA,NA,0,76,"Brazil",1996,1996,1996.16393442623,1996.49453551913,"1996 DHS","DHS",0,"br31",0.0715407841436938,0.130600951312751,0.1248829013766,0.0064808898511873,0.00345469755891478,0.00479106637054594,1
"25-29",1868,NA,NA,NA,NA,33.8831486247493,32.5470860001256,1.33606262462373,3.90974745258527,NA,NA,NA,"UW","0",NA,NA,0,76,"Brazil",1996,1996,1996.16393442623,1996.49453551913,"1996 DHS","DHS",0,"br31",0.102045907652569,0.386349270805473,0.245072685180876,0.00881073028236371,0.00235138481536661,0.00337150533583435,0
"25-29",4988,NA,NA,NA,NA,55.81306077,52.7429945,3.070066268,15,NA,NA,NA,"MW","0",NA,NA,1,84,"Belize",2011,2011,2011.44657534247,2011.59178082192,"2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",5761,NA,NA,NA,NA,52.51838348,49.72689682,2.791486658,24.57278428,NA,NA,NA,"MW","0",NA,NA,0,84,"Belize",2015,2016,2015.79726027397,2016.08196721311,"2015-2016 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",5761,NA,NA,NA,NA,32.29954002,29.82232726,2.477212765,17.68249746,NA,NA,NA,"UW","0",NA,NA,0,84,"Belize",2015,2016,2015.79726027397,2016.08196721311,"2015-2016 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"25-29",2953,NA,"Traditional methods include folk methods.",NA,NA,25.8,18.6,7.2,15.3,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,90,"Solomon Islands",2006,2007,2006.7698630137,2007.32602739726,"2006-2007 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",7516,NA,NA,NA,NA,26.8,21,5.8,38.9,NA,NA,NA,"MW","0",NA,NA,0,90,"Solomon Islands",2015,2015,2015.2602739726,2015.71232876712,"2015 DHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"25-29",6084,NA,NA,NA,NA,58.6748883054484,57.8536064317274,0.821281873720943,13.5500379410517,NA,NA,NA,"MW","0",NA,NA,0,104,"Myanmar",2015,2016,2015.91506849315,2016.57923497268,"2015-2016 DHS","DHS",0,"mm71",0.0736220112199732,0.334603680097203,0.097045837889689,0.00653279980024326,0.00093176804862857,0.00451426399016345,1
"25-29",6084,NA,NA,NA,NA,0.97193549729261,0.97193549729261,0,0.26937821765449,NA,NA,NA,"UW","0",NA,NA,0,104,"Myanmar",2015,2016,2015.91506849315,2016.57923497268,"2015-2016 DHS","DHS",0,"mm71",0.525737107718963,NA,1.00425862352461,0.00302432702617165,0,0.00281402319588595,0
