"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"30-34",5689,NA,NA,NA,NA,26.449024571414,22.6043144003424,3.84471017107156,27.5139566414853,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0712462196954089,0.159019310169764,0.0588583618553224,0.00877387834887586,0.00518141648862792,0.00867696601194068,1
"30-34",4483,NA,NA,NA,NA,72.8784978511865,13.3592354192992,59.5192624318872,13.0151404059875,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.158867611933624,0.116698931090571,0.196581527322426,0.00436108608138625,0.00932502811518735,0.00631450364952347,1
"30-34",7474,NA,NA,NA,NA,44.8994026451225,5.04956348881303,39.8498391563095,22.572012562131,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.167510263340813,0.100687043934197,0.115058289456841,0.00234476554589564,0.0082791740826249,0.00567943829782664,1
"30-34",7474,NA,NA,NA,NA,7.60154974021757,1.97783490522781,5.62371483498976,7.17291228884343,NA,NA,NA,"UW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.910958116647255,0.619149844294667,0.448682789835151,0.00132282708450305,0.00542065325944376,0.00551875577893873,0
"30-34",1913,NA,NA,NA,NA,67,60.4,6.7,10.2,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4984,NA,NA,NA,NA,62.35836594,53.10595744,9.252408497,7.4,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5805,NA,NA,NA,NA,16.6855662746339,15.0057741422041,1.67979213242977,38.772026704788,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.128964139118477,0.380601642484626,0.0790373194216461,0.0068582714974701,0.00571515728003096,0.0080961433109088,1
"30-34",5805,NA,NA,NA,NA,14.0161883039586,13.1100515654576,0.906136738500982,15.6825400016429,NA,NA,NA,"UW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.198101380823066,0.702996304203201,0.169914708684412,0.00961198698835667,0.000982202101021501,0.0086962936066727,0
"30-34",179,NA,NA,NA,NA,68.0151813634435,20.9510315383934,47.0641498250501,14.9830788773226,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.130328864103722,0.098799699183306,0.154269514167394,0.0175742632298707,0.0195804539410469,0.011124798040458,1
"30-34",1814,NA,NA,NA,NA,57.2346946704691,46.1062264476439,11.1284682228252,22.7468159402831,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1993,1994,1993.83287671233,1994.24383561644,"1993-1994 DHS","DHS",0,"bd31",0.0591271961035912,0.101995218270531,0.0893511500599537,0.0131514227490185,0.00869503072189397,0.0111401737617139,1
"30-34",1840,NA,NA,NA,NA,65.0581011331544,56.4047673215208,8.65333381163357,18.1988589425786,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2007,2007,2007.16164383562,2007.66301369863,"2007 DHS","DHS",0,"bd50",0.0663198495499852,0.113121059738436,0.100556501842377,0.0143654259874025,0.00821873810475359,0.0111985205000279,1
"30-34",7575,NA,NA,NA,NA,68.9307876881168,65.6603535378396,3.27043415027747,13.3647958328316,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2019,2019,2019.04931506849,2019.41369863014,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1848,NA,NA,NA,NA,71.403843915234,29.7276215151958,41.6762224000382,15.792359690918,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2000,2000,2000.74863387978,2000.99726775956,"2000 DHS","DHS",0,"am42",0.109997737530715,0.103528117883764,0.159545365190225,0.017559732493973,0.0157991636819581,0.0110613531178628,1
"30-34",5046,NA,NA,NA,NA,70.1477567780804,37.579256991566,32.5684997865145,11.9453744370807,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2010,2010,2010.74794520548,2010.99726027397,"2010 DHS","DHS",0,"am61",0.124225674591654,0.120871205096482,0.166890840440305,0.0200265952946679,0.0190602446328963,0.0134982439889952,1
