"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",411147.21,413201.28,413899.02,414931.71,414969.8502,417765.2789,425958.9655,433069.1387,440583.6284,447051.0149,441422.5804,411212.4709,349174.5093,337802.9059,339652.4066,358650.691,360020.8012,354802.9959,350370.0945,356712.4396,366385.843,353767.9232,364450.3288,434396.7997,484107.3693,518291.3228,533856.2157,547863.3193,561391.3703,575205.625,590564.3702,573179.8622,579228.6588,628660.2324,652565.3157,660064.1488,694895.1379,720057.9415,681414.4873,725881.6868,754690.644,791882.6198,869639.3081,929773.0154,988729.2805,1063841.1844,1101794.193,1150771.5182,1199111.3229,1243779.2226,1287818.4309,1341130.3236,1367927.5643,1401609.0065,1432877.5956,1459925.262,1482344.1217,1505220.944,1524663.0136,1522550.7843,1523343.2974
"",TRUE,8,"Albania",43434.067,45693.0918,48216.3994,50926.1989,53906.4631,57058.2793,60124.0619,63464.4307,66974.2907,70510.4244,73984.7377,76991.2756,79470.2785,81321.803,82397.9953,82627.2463,82146.0766,81196.6165,80118.8787,78952.5316,76644.3677,74478.788,72402.5028,70166.4721,67903.6198,65580.0306,63340.9923,61090.1523,58916.8284,56860.5484,55003.3102,53265.8872,51702.3605,50312.8788,48969.7624,47763.9112,46522.2471,45274.1165,44085.798,44387.094,44897.7536,45694.0824,46625.7156,47826.24,48751.2432,49510.3934,49799.3356,49745.6604,48982.172,47836.293,46679.5481,45275.6498,42921.7193,41870.9052,40265.6766,38739.3867,37259.366,36131.9997,34395.0775,33461.364,32104.2213
"",TRUE,12,"Algeria",331078.264,342955.613,358432.965,376622.488,397069.882,419062.545,443520.759,464079.132,472951.475,480656.0241,486860.4517,492212.3576,497818.2874,504956.0717,513662.4117,523301.9024,532867.7167,540707.2548,542099.5425,541690.421,540161.0683,538230.2462,536152.1485,534108.1114,531755.5146,528509.5044,524821.9349,520190.5671,518396.7232,514025.979,510272.5562,505725.6797,499797.9144,491088.5704,479093.695,463860.5911,443568.2642,422268.3377,398254.729,403566.2834,406955.3391,408394.1582,408817.2898,408542.0594,407511.3285,405571.2182,401942.0441,396389.7103,389308.591,378702.0369,369611.1814,364089.3865,361807.5555,363010.6022,372353.4498,385395.578,401866.543,422010.9156,446323.3916,472561.1941,500124.6442
"",TRUE,16,"American Samoa",508.5437,531.7201,550.4395,566.4847,586.0955,592.6584,597.0236,601.3993,611.2116,627.8282,655.3486,686.0112,710.968,730.825,744.6471,756.7878,768.3836,775.1102,784.5801,794.5209,796.0486,788.3728,775.0436,759.1558,744.7252,733.0428,721.1207,712.8619,705.619,700.3364,694.4281,686.0046,674.1688,663.0537,649.849,637.0678,620.0996,602.0774,587.8734,580.7279,585.5889,616.4023,655.8138,695.4705,726.925,738.4259,730.5919,700.8418,656.3512,604.9946,554.7787,508.4853,470.2633,439.4379,415.3531,399.3225,389.3171,385.281,388.5509,399.08,416.0053
"",TRUE,24,"Angola",184578.4893,180309.4577,180077.5667,183974.9539,190830.264,200432.1068,208296.0192,216809.029,226409.0125,236268.2516,246367.8837,256909.5508,267358.6696,277750.0833,287981.6544,297426.1422,306103.6504,313623.2244,320427.9396,326897.1292,332680.9841,337525.8252,340549.2148,343732.5579,347471.0744,352519.386,358524.052,366175.2264,374731.3533,383642.2294,392850.0846,402537.696,416710.8132,431751.298,447534.162,464626.6334,482131.817,500118.1674,518296.8378,536170.914,553557.4836,570946.402,588050.6522,604364.5368,619965.4602,635092.1724,649778.139,665677.8627,681359.4945,696504.2329,712554.0009,727408.9358,745489.1491,764248.791,785158.4852,807764.1274,831752.7753,856068.4617,880452.7751,904520.7127,927690.102
"",TRUE,28,"Antigua and Barbuda",777.8203,792.7162,794.1368,789.33,787.2669,795.8294,817.4918,848.9796,888.4484,928.5268,965.7576,996.5313,1018.3923,1029.9977,1032.3511,1008.2103,974.5404,936.0658,896.1265,853.0595,806.7163,756.9566,742.038,737.6653,729.0381,721.8416,716.9585,715.6942,718.6262,723.1733,721.7464,712.9709,683.7074,667.2336,652.605,640.031,632.8918,630.4409,621.3202,609.8594,595.7266,585.0265,563.3845,544.8488,531.8151,521.2026,508.1692,503.2198,496.319,482.3323,465.1773,456.6067,443.7019,431.319,424.3208,420.3427,407.393,402.6801,403.7106,416.3497,430.8515
"",TRUE,31,"Azerbaijan",91412.211,106813.6819,120614.6992,130515.6212,138722.1928,146103.2025,153328.3042,159996.7958,169310.2317,181412.3873,191884.6988,200473.0282,206144.0844,209678.8365,210923.2034,209716.4968,206475.1793,202969.5319,196073.7537,191138.925,180965.0077,176260.9883,169447.4858,167082.333,161828.9218,162103.0086,161172.3204,162336.8877,163079.6808,164873.8982,167241.4481,170090.4309,172937.7654,176182.4738,180081.751,186389.1076,193707.1235,201403.9725,208677.536,214773.6269,216673.8604,216565.5142,214254.7731,209925.814,204188.6549,197009.8714,188565.5696,179089.5394,168835.4151,158503.5706,148933.4527,140354.3081,133316.1729,128443.7415,125605.6975,124513.5316,125506.4448,128479.2381,132576.5794,136991.0997,141144.8494
"",TRUE,32,"Argentina",426823.1706,431322.4185,435405.7182,438829.7253,442555.7219,447321.5493,449427.7838,451002.5752,452825.367,452681.732,452266.1724,451603.3279,451310.836,451849.505,454557.2574,457494.1973,460699.0868,463978.0997,466319.3016,468777.0235,472705.9698,478154.1695,485541.3707,494717.2578,506043.3382,518471.884,530226.2163,541443.7137,552066.2398,560784.4022,567039.7256,571513.3957,571852.8091,569326.8384,565125.5831,560039.6231,555064.4981,550992.4568,548126.9703,546531.2283,545865.2174,546989.0511,548396.1202,549787.8179,551279.1033,552463.6619,550633.1439,546453.7586,540252.8824,532928.2226,525843.2114,519303.4157,513369.7045,508709.7907,503874.6824,498863.6796,495458.6014,493170.1475,491171.8138,489957.1666,489784.5831
"",TRUE,36,"Australia",220373.1115,231990.0179,238232.858,238323.6318,241773.0364,245424.5413,247734.5634,250131.9338,253698.2312,258641.9782,264599.6515,271300.6424,278208.0153,282957.3694,284563.8945,284214.0728,282278.2785,274934.8364,269023.3093,265082.4559,263334.2384,264148.3731,265484.3709,263782.7185,258596.8773,251476.943,241947.3939,230436.2494,219157.5607,209265.0087,201474.335,196483.0729,194053.2475,193121.4131,192339.4168,191483.93,190807.6637,194645.6922,198574.2774,203960.6785,208687.8825,211106.907,213019.8134,215093.3416,216862.905,218344.1107,220070.7936,222469.7398,224833.0237,226608.3135,225233.4585,220164.5636,215512.4255,212126.275,209402.7236,207415.1327,207820.8267,211193.7018,215865.7429,220586.3783,225209.164
"",TRUE,40,"Austria",132777.3962,139653.1165,140152.4294,136404.3346,133187.5219,129685.6355,127167.1286,128193.711,129434.8941,130360.2125,131999.6024,133537.2946,134174.3436,133744.6603,133659.276,132666.3931,130242.2101,126482.8957,121688.9441,117393.0194,113559.19,109074.5743,104745.8151,99543.857,92515.0703,85276.2508,79186.4439,72975.8134,67379.647,63140.4128,59550.0667,57132.4724,58693.4536,61018.406,62994.7502,64971.1777,65613.0939,65262.7083,65141.5013,65481.1439,65727.4936,66324.5736,67170.0351,68397.0651,69335.7582,69915.4478,70511.0163,70191.7951,69308.106,67911.5382,66571.7577,64770.5568,62364.4229,60853.6354,59683.9604,59291.0619,59009.2426,59371.3463,59211.5838,59357.6155,59176.745
