iso.country,groupname,iso.group
4,Landlocked developing countries (LLDCs),
31,Landlocked developing countries (LLDCs),
51,Landlocked developing countries (LLDCs),
64,Landlocked developing countries (LLDCs),
68,Landlocked developing countries (LLDCs),
72,Landlocked developing countries (LLDCs),
108,Landlocked developing countries (LLDCs),
140,Landlocked developing countries (LLDCs),
148,Landlocked developing countries (LLDCs),
231,Landlocked developing countries (LLDCs),
398,Landlocked developing countries (LLDCs),
417,Landlocked developing countries (LLDCs),
418,Landlocked developing countries (LLDCs),
426,Landlocked developing countries (LLDCs),
454,Landlocked developing countries (LLDCs),
466,Landlocked developing countries (LLDCs),
496,Landlocked developing countries (LLDCs),
498,Landlocked developing countries (LLDCs),
524,Landlocked developing countries (LLDCs),
562,Landlocked developing countries (LLDCs),
600,Landlocked developing countries (LLDCs),
646,Landlocked developing countries (LLDCs),
716,Landlocked developing countries (LLDCs),
728,Landlocked developing countries (LLDCs),
748,Landlocked developing countries (LLDCs),
762,Landlocked developing countries (LLDCs),
795,Landlocked developing countries (LLDCs),
800,Landlocked developing countries (LLDCs),
807,Landlocked developing countries (LLDCs),
854,Landlocked developing countries (LLDCs),
860,Landlocked developing countries (LLDCs),
894,Landlocked developing countries (LLDCs),
16,Small island developing States (SIDS),
28,Small island developing States (SIDS),
44,Small island developing States (SIDS),
52,Small island developing States (SIDS),
84,Small island developing States (SIDS),
90,Small island developing States (SIDS),
92,Small island developing States (SIDS),
132,Small island developing States (SIDS),
174,Small island developing States (SIDS),
184,Small island developing States (SIDS),
192,Small island developing States (SIDS),
212,Small island developing States (SIDS),
214,Small island developing States (SIDS),
242,Small island developing States (SIDS),
258,Small island developing States (SIDS),
296,Small island developing States (SIDS),
308,Small island developing States (SIDS),
316,Small island developing States (SIDS),
328,Small island developing States (SIDS),
332,Small island developing States (SIDS),
388,Small island developing States (SIDS),
462,Small island developing States (SIDS),
480,Small island developing States (SIDS),
500,Small island developing States (SIDS),
520,Small island developing States (SIDS),
531,Small island developing States (SIDS),
533,Small island developing States (SIDS),
534,Small island developing States (SIDS),
535,Small island developing States (SIDS),
540,Small island developing States (SIDS),
548,Small island developing States (SIDS),
570,Small island developing States (SIDS),
580,Small island developing States (SIDS),
583,Small island developing States (SIDS),
584,Small island developing States (SIDS),
585,Small island developing States (SIDS),
598,Small island developing States (SIDS),
624,Small island developing States (SIDS),
626,Small island developing States (SIDS),
630,Small island developing States (SIDS),
659,Small island developing States (SIDS),
660,Small island developing States (SIDS),
662,Small island developing States (SIDS),
670,Small island developing States (SIDS),
678,Small island developing States (SIDS),
690,Small island developing States (SIDS),
702,Small island developing States (SIDS),
740,Small island developing States (SIDS),
776,Small island developing States (SIDS),
780,Small island developing States (SIDS),
798,Small island developing States (SIDS),
850,Small island developing States (SIDS),
882,Small island developing States (SIDS),
