iso.country,groupname,iso.group
8,Eastern Europe and Central Asia,
20,Western Europe,
24,Eastern and Southern Africa,
31,Eastern Europe and Central Asia,
40,Western Europe,
51,Eastern Europe and Central Asia,
56,Western Europe,
70,Eastern Europe and Central Asia,
72,Eastern and Southern Africa,
100,Eastern Europe and Central Asia,
108,Eastern and Southern Africa,
112,Eastern Europe and Central Asia,
120,West and Central Africa,
132,West and Central Africa,
140,West and Central Africa,
148,West and Central Africa,
174,Eastern and Southern Africa,
178,West and Central Africa,
180,West and Central Africa,
191,Eastern Europe and Central Asia,
196,Western Europe,
203,Western Europe,
204,West and Central Africa,
208,Western Europe,
226,West and Central Africa,
231,Eastern and Southern Africa,
232,Eastern and Southern Africa,
233,Western Europe,
246,Western Europe,
250,Western Europe,
262,Eastern and Southern Africa,
266,West and Central Africa,
268,Eastern Europe and Central Asia,
270,West and Central Africa,
276,Western Europe,
288,West and Central Africa,
300,Western Europe,
324,West and Central Africa,
336,Western Europe,
348,Western Europe,
352,Western Europe,
372,Western Europe,
380,Western Europe,
384,West and Central Africa,
398,Eastern Europe and Central Asia,
404,Eastern and Southern Africa,
417,Eastern Europe and Central Asia,
426,Eastern and Southern Africa,
428,Western Europe,
430,West and Central Africa,
438,Western Europe,
440,Western Europe,
442,Western Europe,
450,Eastern and Southern Africa,
454,Eastern and Southern Africa,
466,West and Central Africa,
470,Western Europe,
478,West and Central Africa,
480,Eastern and Southern Africa,
492,Western Europe,
498,Eastern Europe and Central Asia,
499,Eastern Europe and Central Asia,
508,Eastern and Southern Africa,
516,Eastern and Southern Africa,
528,Western Europe,
562,West and Central Africa,
566,West and Central Africa,
578,Western Europe,
616,Western Europe,
620,Western Europe,
624,West and Central Africa,
642,Eastern Europe and Central Asia,
643,Eastern Europe and Central Asia,
646,Eastern and Southern Africa,
674,Western Europe,
678,West and Central Africa,
686,West and Central Africa,
688,Eastern Europe and Central Asia,
690,Eastern and Southern Africa,
694,West and Central Africa,
703,Western Europe,
705,Western Europe,
706,Eastern and Southern Africa,
710,Eastern and Southern Africa,
716,Eastern and Southern Africa,
724,Western Europe,
728,Eastern and Southern Africa,
729,Eastern and Southern Africa,
748,Eastern and Southern Africa,
752,Western Europe,
756,Western Europe,
762,Eastern Europe and Central Asia,
768,West and Central Africa,
792,Eastern Europe and Central Asia,
795,Eastern Europe and Central Asia,
800,Eastern and Southern Africa,
804,Eastern Europe and Central Asia,
807,Eastern Europe and Central Asia,
826,Western Europe,
834,Eastern and Southern Africa,
854,West and Central Africa,
860,Eastern Europe and Central Asia,
894,Eastern and Southern Africa,
