iso.country,groupname,iso.group
4,Low-income countries,
8,Upper-middle-income countries,
12,Lower-middle-income countries,
16,Upper-middle-income countries,
20,High-income countries,
24,Lower-middle-income countries,
28,High-income countries,
31,Upper-middle-income countries,
32,Upper-middle-income countries,
36,High-income countries,
40,High-income countries,
44,High-income countries,
48,High-income countries,
50,Lower-middle-income countries,
51,Upper-middle-income countries,
52,High-income countries,
56,High-income countries,
60,High-income countries,
64,Lower-middle-income countries,
68,Lower-middle-income countries,
70,Upper-middle-income countries,
72,Upper-middle-income countries,
76,Upper-middle-income countries,
84,Upper-middle-income countries,
90,Lower-middle-income countries,
92,High-income countries,
96,High-income countries,
100,Upper-middle-income countries,
104,Lower-middle-income countries,
108,Low-income countries,
112,Upper-middle-income countries,
116,Lower-middle-income countries,
120,Lower-middle-income countries,
124,High-income countries,
132,Lower-middle-income countries,
136,High-income countries,
140,Low-income countries,
144,Lower-middle-income countries,
148,Low-income countries,
152,High-income countries,
156,Upper-middle-income countries,
158,High-income countries,
170,Upper-middle-income countries,
174,Lower-middle-income countries,
175,High-income countries,
178,Lower-middle-income countries,
180,Low-income countries,
184,No income group available,
188,Upper-middle-income countries,
191,High-income countries,
192,Upper-middle-income countries,
196,High-income countries,
203,High-income countries,
204,Lower-middle-income countries,
208,High-income countries,
212,Upper-middle-income countries,
214,Upper-middle-income countries,
218,Upper-middle-income countries,
222,Lower-middle-income countries,
226,Upper-middle-income countries,
231,Low-income countries,
232,Low-income countries,
233,High-income countries,
234,High-income countries,
238,No income group available,
242,Upper-middle-income countries,
246,High-income countries,
250,High-income countries,
254,High-income countries,
258,High-income countries,
262,Lower-middle-income countries,
266,Upper-middle-income countries,
268,Upper-middle-income countries,
270,Low-income countries,
275,Lower-middle-income countries,
276,High-income countries,
288,Lower-middle-income countries,
292,High-income countries,
296,Lower-middle-income countries,
300,High-income countries,
304,High-income countries,
308,Upper-middle-income countries,
312,High-income countries,
316,High-income countries,
320,Upper-middle-income countries,
324,Low-income countries,
328,Upper-middle-income countries,
332,Lower-middle-income countries,
336,No income group available,
340,Lower-middle-income countries,
344,High-income countries,
348,High-income countries,
352,High-income countries,
356,Lower-middle-income countries,
360,Lower-middle-income countries,
364,Lower-middle-income countries,
368,Upper-middle-income countries,
372,High-income countries,
376,High-income countries,
380,High-income countries,
384,Lower-middle-income countries,
388,Upper-middle-income countries,
392,High-income countries,
398,Upper-middle-income countries,
400,Upper-middle-income countries,
