iso.country,groupname,iso.group
533,High income,
20,High income,
784,High income,
28,High income,
36,High income,
40,High income,
56,High income,
48,High income,
44,High income,
60,High income,
52,High income,
96,High income,
124,High income,
756,High income,
152,High income,
531,High income,
136,High income,
196,High income,
203,High income,
276,High income,
208,High income,
724,High income,
233,High income,
246,High income,
250,High income,
234,High income,
826,High income,
292,High income,
300,High income,
304,High income,
316,High income,
344,High income,
191,High income,
348,High income,
833,High income,
372,High income,
352,High income,
376,High income,
380,High income,
392,High income,
659,High income,
410,High income,
414,High income,
438,High income,
440,High income,
442,High income,
428,High income,
446,High income,
663,High income,
492,High income,
470,High income,
580,High income,
540,High income,
528,High income,
578,High income,
554,High income,
512,High income,
591,High income,
585,High income,
616,High income,
630,High income,
620,High income,
258,High income,
634,High income,
682,High income,
702,High income,
674,High income,
703,High income,
705,High income,
752,High income,
534,High income,
690,High income,
796,High income,
780,High income,
858,High income,
840,High income,
92,High income,
850,High income,
4,Low income,
108,Low income,
204,Low income,
854,Low income,
140,Low income,
180,Low income,
232,Low income,
231,Low income,
324,Low income,
270,Low income,
624,Low income,
332,Low income,
430,Low income,
450,Low income,
466,Low income,
508,Low income,
454,Low income,
562,Low income,
524,Low income,
408,Low income,
646,Low income,
694,Low income,
706,Low income,
728,Low income,
760,Low income,
148,Low income,
768,Low income,
762,Low income,
834,Low income,
800,Low income,
887,Low income,
24,Lower middle income,
50,Lower middle income,
68,Lower middle income,
64,Lower middle income,
384,Lower middle income,
120,Lower middle income,
178,Lower middle income,
174,Lower middle income,
132,Lower middle income,
262,Lower middle income,
818,Lower middle income,
583,Lower middle income,
288,Lower middle income,
340,Lower middle income,
360,Lower middle income,
356,Lower middle income,
404,Lower middle income,
417,Lower middle income,
116,Lower middle income,
296,Lower middle income,
418,Lower middle income,
426,Lower middle income,
504,Lower middle income,
498,Lower middle income,
104,Lower middle income,
496,Lower middle income,
478,Lower middle income,
566,Lower middle income,
558,Lower middle income,
586,Lower middle income,
608,Lower middle income,
598,Lower middle income,
275,Lower middle income,
729,Lower middle income,
686,Lower middle income,
90,Lower middle income,
222,Lower middle income,
678,Lower middle income,
748,Lower middle income,
626,Lower middle income,
788,Lower middle income,
804,Lower middle income,
860,Lower middle income,
704,Lower middle income,
548,Lower middle income,
894,Lower middle income,
716,Lower middle income,
660,No income group,
248,No income group,
10,No income group,
260,No income group,
535,No income group,
652,No income group,
74,No income group,
166,No income group,
184,No income group,
162,No income group,
732,No income group,
238,No income group,
831,No income group,
312,No income group,
254,No income group,
334,No income group,
86,No income group,
832,No income group,
500,No income group,
474,No income group,
175,No income group,
574,No income group,
570,No income group,
612,No income group,
638,No income group,
239,No income group,
654,No income group,
744,No income group,
666,No income group,
772,No income group,
581,No income group,
336,No income group,
876,No income group,
680,No income group,
8,Upper middle income,
32,Upper middle income,
51,Upper middle income,
16,Upper middle income,
31,Upper middle income,
100,Upper middle income,
70,Upper middle income,
112,Upper middle income,
84,Upper middle income,
76,Upper middle income,
72,Upper middle income,
156,Upper middle income,
170,Upper middle income,
188,Upper middle income,
192,Upper middle income,
212,Upper middle income,
214,Upper middle income,
12,Upper middle income,
218,Upper middle income,
242,Upper middle income,
266,Upper middle income,
