"iso.country","groupname","iso.group"
180,"ECA: Eastern Africa",98102
180,"ECA: EAC",98114
288,"ECA: Mineral-rich countries",98119
729,"ECA: Sub-Saharan Africa",98126
788,"ECA: Oil producing economies",98123
818,"ECA: Oil producing economies",98123
120,"ECA: Sahel",98124
148,"ECA: Sahel",98124
270,"ECA: Sahel",98124
324,"ECA: Sahel",98124
466,"ECA: Sahel",98124
478,"ECA: Sahel",98124
562,"ECA: Sahel",98124
566,"ECA: Sahel",98124
686,"ECA: Sahel",98124
854,"ECA: Sahel",98124
132,"ECA: Small Island states",98125
174,"ECA: Small Island states",98125
480,"ECA: Small Island states",98125
678,"ECA: Small Island states",98125
690,"ECA: Small Island states",98125
24,"ECA: Sub-Saharan Africa",98126
72,"ECA: Sub-Saharan Africa",98126
108,"ECA: Sub-Saharan Africa",98126
120,"ECA: Sub-Saharan Africa",98126
132,"ECA: Sub-Saharan Africa",98126
140,"ECA: Sub-Saharan Africa",98126
148,"ECA: Sub-Saharan Africa",98126
174,"ECA: Sub-Saharan Africa",98126
178,"ECA: Sub-Saharan Africa",98126
180,"ECA: Sub-Saharan Africa",98126
204,"ECA: Sub-Saharan Africa",98126
226,"ECA: Sub-Saharan Africa",98126
231,"ECA: Sub-Saharan Africa",98126
232,"ECA: Sub-Saharan Africa",98126
262,"ECA: Sub-Saharan Africa",98126
266,"ECA: Sub-Saharan Africa",98126
270,"ECA: Sub-Saharan Africa",98126
288,"ECA: Sub-Saharan Africa",98126
324,"ECA: Sub-Saharan Africa",98126
384,"ECA: Sub-Saharan Africa",98126
404,"ECA: Sub-Saharan Africa",98126
426,"ECA: Sub-Saharan Africa",98126
430,"ECA: Sub-Saharan Africa",98126
450,"ECA: Sub-Saharan Africa",98126
454,"ECA: Sub-Saharan Africa",98126
466,"ECA: Sub-Saharan Africa",98126
480,"ECA: Sub-Saharan Africa",98126
508,"ECA: Sub-Saharan Africa",98126
516,"ECA: Sub-Saharan Africa",98126
562,"ECA: Sub-Saharan Africa",98126
566,"ECA: Sub-Saharan Africa",98126
624,"ECA: Sub-Saharan Africa",98126
646,"ECA: Sub-Saharan Africa",98126
678,"ECA: Sub-Saharan Africa",98126
686,"ECA: Sub-Saharan Africa",98126
690,"ECA: Sub-Saharan Africa",98126
694,"ECA: Sub-Saharan Africa",98126
706,"ECA: Sub-Saharan Africa",98126
710,"ECA: Sub-Saharan Africa",98126
716,"ECA: Sub-Saharan Africa",98126
728,"ECA: Sub-Saharan Africa",98126
748,"ECA: Sub-Saharan Africa",98126
768,"ECA: Sub-Saharan Africa",98126
800,"ECA: Sub-Saharan Africa",98126
834,"ECA: Sub-Saharan Africa",98126
854,"ECA: Sub-Saharan Africa",98126
894,"ECA: Sub-Saharan Africa",98126
324,"ECA: Mineral-rich countries",98119
426,"ECA: Mineral-rich countries",98119
430,"ECA: Mineral-rich countries",98119
450,"ECA: Mineral-rich countries",98119
466,"ECA: Mineral-rich countries",98119
478,"ECA: Mineral-rich countries",98119
508,"ECA: Mineral-rich countries",98119
516,"ECA: Mineral-rich countries",98119
562,"ECA: Mineral-rich countries",98119
646,"ECA: Mineral-rich countries",98119
694,"ECA: Mineral-rich countries",98119
710,"ECA: Mineral-rich countries",98119
716,"ECA: Mineral-rich countries",98119
729,"ECA: Mineral-rich countries",98119
768,"ECA: Mineral-rich countries",98119
834,"ECA: Mineral-rich countries",98119
854,"ECA: Mineral-rich countries",98119
894,"ECA: Mineral-rich countries",98119
108,"ECA: Non-Oil LDCs",98120
140,"ECA: Non-Oil LDCs",98120
174,"ECA: Non-Oil LDCs",98120
204,"ECA: Non-Oil LDCs",98120
231,"ECA: Non-Oil LDCs",98120
232,"ECA: Non-Oil LDCs",98120
262,"ECA: Non-Oil LDCs",98120
270,"ECA: Non-Oil LDCs",98120
324,"ECA: Non-Oil LDCs",98120
426,"ECA: Non-Oil LDCs",98120
430,"ECA: Non-Oil LDCs",98120
450,"ECA: Non-Oil LDCs",98120
454,"ECA: Non-Oil LDCs",98120
466,"ECA: Non-Oil LDCs",98120
478,"ECA: Non-Oil LDCs",98120
508,"ECA: Non-Oil LDCs",98120
624,"ECA: Non-Oil LDCs",98120
646,"ECA: Non-Oil LDCs",98120
678,"ECA: Non-Oil LDCs",98120
686,"ECA: Non-Oil LDCs",98120
694,"ECA: Non-Oil LDCs",98120
706,"ECA: Non-Oil LDCs",98120
768,"ECA: Non-Oil LDCs",98120
800,"ECA: Non-Oil LDCs",98120
834,"ECA: Non-Oil LDCs",98120
854,"ECA: Non-Oil LDCs",98120
894,"ECA: Non-Oil LDCs",98120
72,"ECA: Non-Oil Producing",98121
108,"ECA: Non-Oil Producing",98121
132,"ECA: Non-Oil Producing",98121
140,"ECA: Non-Oil Producing",98121
174,"ECA: Non-Oil Producing",98121
204,"ECA: Non-Oil Producing",98121
231,"ECA: Non-Oil Producing",98121
232,"ECA: Non-Oil Producing",98121
262,"ECA: Non-Oil Producing",98121
270,"ECA: Non-Oil Producing",98121
324,"ECA: Non-Oil Producing",98121
404,"ECA: Non-Oil Producing",98121
426,"ECA: Non-Oil Producing",98121
430,"ECA: Non-Oil Producing",98121
450,"ECA: Non-Oil Producing",98121
454,"ECA: Non-Oil Producing",98121
466,"ECA: Non-Oil Producing",98121
478,"ECA: Non-Oil Producing",98121
480,"ECA: Non-Oil Producing",98121
504,"ECA: Non-Oil Producing",98121
508,"ECA: Non-Oil Producing",98121
516,"ECA: Non-Oil Producing",98121
624,"ECA: Non-Oil Producing",98121
646,"ECA: Non-Oil Producing",98121
678,"ECA: Non-Oil Producing",98121
686,"ECA: Non-Oil Producing",98121
690,"ECA: Non-Oil Producing",98121
694,"ECA: Non-Oil Producing",98121
706,"ECA: Non-Oil Producing",98121
710,"ECA: Non-Oil Producing",98121
716,"ECA: Non-Oil Producing",98121
748,"ECA: Non-Oil Producing",98121
768,"ECA: Non-Oil Producing",98121
800,"ECA: Non-Oil Producing",98121
834,"ECA: Non-Oil Producing",98121
854,"ECA: Non-Oil Producing",98121
894,"ECA: Non-Oil Producing",98121
24,"ECA: Oil LDCs",98122
148,"ECA: Oil LDCs",98122
