"iso.country","groupname","iso.group"
8,"ECE: United Nations Economic Commission for Europe - All countries",98200
20,"ECE: United Nations Economic Commission for Europe - All countries",98200
31,"ECE: United Nations Economic Commission for Europe - All countries",98200
40,"ECE: United Nations Economic Commission for Europe - All countries",98200
51,"ECE: United Nations Economic Commission for Europe - All countries",98200
56,"ECE: United Nations Economic Commission for Europe - All countries",98200
70,"ECE: United Nations Economic Commission for Europe - All countries",98200
100,"ECE: United Nations Economic Commission for Europe - All countries",98200
112,"ECE: United Nations Economic Commission for Europe - All countries",98200
124,"ECE: United Nations Economic Commission for Europe - All countries",98200
191,"ECE: United Nations Economic Commission for Europe - All countries",98200
196,"ECE: United Nations Economic Commission for Europe - All countries",98200
203,"ECE: United Nations Economic Commission for Europe - All countries",98200
208,"ECE: United Nations Economic Commission for Europe - All countries",98200
233,"ECE: United Nations Economic Commission for Europe - All countries",98200
246,"ECE: United Nations Economic Commission for Europe - All countries",98200
250,"ECE: United Nations Economic Commission for Europe - All countries",98200
268,"ECE: United Nations Economic Commission for Europe - All countries",98200
276,"ECE: United Nations Economic Commission for Europe - All countries",98200
300,"ECE: United Nations Economic Commission for Europe - All countries",98200
348,"ECE: United Nations Economic Commission for Europe - All countries",98200
352,"ECE: United Nations Economic Commission for Europe - All countries",98200
372,"ECE: United Nations Economic Commission for Europe - All countries",98200
376,"ECE: United Nations Economic Commission for Europe - All countries",98200
380,"ECE: United Nations Economic Commission for Europe - All countries",98200
398,"ECE: United Nations Economic Commission for Europe - All countries",98200
417,"ECE: United Nations Economic Commission for Europe - All countries",98200
428,"ECE: United Nations Economic Commission for Europe - All countries",98200
438,"ECE: United Nations Economic Commission for Europe - All countries",98200
440,"ECE: United Nations Economic Commission for Europe - All countries",98200
442,"ECE: United Nations Economic Commission for Europe - All countries",98200
470,"ECE: United Nations Economic Commission for Europe - All countries",98200
492,"ECE: United Nations Economic Commission for Europe - All countries",98200
498,"ECE: United Nations Economic Commission for Europe - All countries",98200
499,"ECE: United Nations Economic Commission for Europe - All countries",98200
528,"ECE: United Nations Economic Commission for Europe - All countries",98200
578,"ECE: United Nations Economic Commission for Europe - All countries",98200
616,"ECE: United Nations Economic Commission for Europe - All countries",98200
620,"ECE: United Nations Economic Commission for Europe - All countries",98200
642,"ECE: United Nations Economic Commission for Europe - All countries",98200
643,"ECE: United Nations Economic Commission for Europe - All countries",98200
