"iso.country","groupname","iso.group"
663,"ECLAC: Caribbean",98301
663,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
652,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
652,"ECLAC: Caribbean",98301
659,"ECLAC: Caribbean",98301
660,"ECLAC: Caribbean",98301
662,"ECLAC: Caribbean",98301
659,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
660,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
662,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
670,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
740,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
780,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
796,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
850,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
858,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
862,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
28,"ECLAC: Caribbean",98301
44,"ECLAC: Caribbean",98301
52,"ECLAC: Caribbean",98301
84,"ECLAC: Caribbean",98301
92,"ECLAC: Caribbean",98301
136,"ECLAC: Caribbean",98301
212,"ECLAC: Caribbean",98301
254,"ECLAC: Caribbean",98301
308,"ECLAC: Caribbean",98301
312,"ECLAC: Caribbean",98301
328,"ECLAC: Caribbean",98301
388,"ECLAC: Caribbean",98301
474,"ECLAC: Caribbean",98301
500,"ECLAC: Caribbean",98301
531,"ECLAC: Caribbean",98301
533,"ECLAC: Caribbean",98301
534,"ECLAC: Caribbean",98301
535,"ECLAC: Caribbean",98301
630,"ECLAC: Caribbean",98301
670,"ECLAC: Caribbean",98301
740,"ECLAC: Caribbean",98301
780,"ECLAC: Caribbean",98301
796,"ECLAC: Caribbean",98301
850,"ECLAC: Caribbean",98301
32,"ECLAC: Latin America",98302
68,"ECLAC: Latin America",98302
76,"ECLAC: Latin America",98302
152,"ECLAC: Latin America",98302
170,"ECLAC: Latin America",98302
188,"ECLAC: Latin America",98302
192,"ECLAC: Latin America",98302
214,"ECLAC: Latin America",98302
218,"ECLAC: Latin America",98302
222,"ECLAC: Latin America",98302
320,"ECLAC: Latin America",98302
332,"ECLAC: Latin America",98302
340,"ECLAC: Latin America",98302
484,"ECLAC: Latin America",98302
558,"ECLAC: Latin America",98302
591,"ECLAC: Latin America",98302
600,"ECLAC: Latin America",98302
604,"ECLAC: Latin America",98302
858,"ECLAC: Latin America",98302
862,"ECLAC: Latin America",98302
28,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
32,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
44,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
52,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
68,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
76,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
84,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
92,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
136,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
152,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
170,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
188,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
192,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
212,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
214,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
218,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
222,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
254,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
308,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
312,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
320,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
328,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
332,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
340,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
388,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
474,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
484,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
500,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
531,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
533,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
534,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
535,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
558,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
591,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
600,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
604,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
630,"ECLAC: United Nations Economic Commission for Latin America and the Caribbean - All countries",98300
