"iso.country","groupname","iso.group"
28,"ECLAC: All countries",98300
32,"ECLAC: All countries",98300
44,"ECLAC: All countries",98300
52,"ECLAC: All countries",98300
68,"ECLAC: All countries",98300
76,"ECLAC: All countries",98300
84,"ECLAC: All countries",98300
660,"ECLAC: All countries",98300
533,"ECLAC: All countries",98300
152,"ECLAC: All countries",98300
170,"ECLAC: All countries",98300
535,"ECLAC: All countries",98300
188,"ECLAC: All countries",98300
192,"ECLAC: All countries",98300
212,"ECLAC: All countries",98300
214,"ECLAC: All countries",98300
218,"ECLAC: All countries",98300
222,"ECLAC: All countries",98300
92,"ECLAC: All countries",98300
136,"ECLAC: All countries",98300
531,"ECLAC: All countries",98300
308,"ECLAC: All countries",98300
320,"ECLAC: All countries",98300
328,"ECLAC: All countries",98300
332,"ECLAC: All countries",98300
254,"ECLAC: All countries",98300
340,"ECLAC: All countries",98300
388,"ECLAC: All countries",98300
312,"ECLAC: All countries",98300
484,"ECLAC: All countries",98300
558,"ECLAC: All countries",98300
474,"ECLAC: All countries",98300
500,"ECLAC: All countries",98300
591,"ECLAC: All countries",98300
600,"ECLAC: All countries",98300
604,"ECLAC: All countries",98300
659,"ECLAC: All countries",98300
662,"ECLAC: All countries",98300
630,"ECLAC: All countries",98300
670,"ECLAC: All countries",98300
740,"ECLAC: All countries",98300
780,"ECLAC: All countries",98300
534,"ECLAC: All countries",98300
858,"ECLAC: All countries",98300
862,"ECLAC: All countries",98300
796,"ECLAC: All countries",98300
850,"ECLAC: All countries",98300
239,"ECLAC: All countries",98300
652,"ECLAC: All countries",98300
663,"ECLAC: All countries",98300
32,"ECLAC: Latin America",98302
68,"ECLAC: Latin America",98302
76,"ECLAC: Latin America",98302
152,"ECLAC: Latin America",98302
170,"ECLAC: Latin America",98302
188,"ECLAC: Latin America",98302
192,"ECLAC: Latin America",98302
214,"ECLAC: Latin America",98302
218,"ECLAC: Latin America",98302
222,"ECLAC: Latin America",98302
239,"ECLAC: Latin America",98302
320,"ECLAC: Latin America",98302
332,"ECLAC: Latin America",98302
340,"ECLAC: Latin America",98302
484,"ECLAC: Latin America",98302
558,"ECLAC: Latin America",98302
591,"ECLAC: Latin America",98302
600,"ECLAC: Latin America",98302
604,"ECLAC: Latin America",98302
858,"ECLAC: Latin America",98302
862,"ECLAC: Latin America",98302
28,"ECLAC: Carribean",98301
44,"ECLAC: Carribean",98301
52,"ECLAC: Carribean",98301
84,"ECLAC: Carribean",98301
660,"ECLAC: Carribean",98301
533,"ECLAC: Carribean",98301
535,"ECLAC: Carribean",98301
212,"ECLAC: Carribean",98301
92,"ECLAC: Carribean",98301
136,"ECLAC: Carribean",98301
531,"ECLAC: Carribean",98301
308,"ECLAC: Carribean",98301
328,"ECLAC: Carribean",98301
254,"ECLAC: Carribean",98301
388,"ECLAC: Carribean",98301
312,"ECLAC: Carribean",98301
474,"ECLAC: Carribean",98301
500,"ECLAC: Carribean",98301
659,"ECLAC: Carribean",98301
662,"ECLAC: Carribean",98301
652,"ECLAC: Carribean",98301
663,"ECLAC: Carribean",98301
630,"ECLAC: Carribean",98301
670,"ECLAC: Carribean",98301
740,"ECLAC: Carribean",98301
780,"ECLAC: Carribean",98301
534,"ECLAC: Carribean",98301
796,"ECLAC: Carribean",98301
850,"ECLAC: Carribean",98301
