"iso.country","groupname","iso.group"
736,"ESCAP: Africa (AFR)",98405
626,"ESCAP: ASEAN (ASEAN)",98406
248,"ESCAP: Europe (Europe)",98423
652,"ESCAP: Europe (Europe)",98423
744,"ESCAP: Europe (Europe)",98423
891,"ESCAP: Europe (Europe)",98423
530,"ESCAP: Latin America (LAC)",98424
663,"ESCAP: Latin America (LAC)",98424
574,"ESCAP: Other Area (OTH_REGION)",98426
612,"ESCAP: Other Area (OTH_REGION)",98426
360,"ESCAP: WB Upper Middle Income Economies",98437
162,"ESCAP: Other Area (OTH_REGION)",98426
830,"ESCAP: Europe (Europe)",98423
831,"ESCAP: Europe (Europe)",98423
832,"ESCAP: Europe (Europe)",98423
833,"ESCAP: Europe (Europe)",98423
275,"ESCAP: Other Area (OTH_REGION)",98426
368,"ESCAP: Other Area (OTH_REGION)",98426
376,"ESCAP: Other Area (OTH_REGION)",98426
400,"ESCAP: Other Area (OTH_REGION)",98426
414,"ESCAP: Other Area (OTH_REGION)",98426
422,"ESCAP: Other Area (OTH_REGION)",98426
512,"ESCAP: Other Area (OTH_REGION)",98426
398,"ESCAP: WB Upper Middle Income Economies",98437
458,"ESCAP: WB Upper Middle Income Economies",98437
462,"ESCAP: WB Upper Middle Income Economies",98437
584,"ESCAP: WB Upper Middle Income Economies",98437
643,"ESCAP: WB Upper Middle Income Economies",98437
764,"ESCAP: WB Upper Middle Income Economies",98437
776,"ESCAP: WB Upper Middle Income Economies",98437
792,"ESCAP: WB Upper Middle Income Economies",98437
795,"ESCAP: WB Upper Middle Income Economies",98437
798,"ESCAP: WB Upper Middle Income Economies",98437
50,"ESCAP: WB Lower Middle Income Economies",98438
64,"ESCAP: WB Lower Middle Income Economies",98438
90,"ESCAP: WB Lower Middle Income Economies",98438
104,"ESCAP: WB Lower Middle Income Economies",98438
116,"ESCAP: WB Lower Middle Income Economies",98438
144,"ESCAP: WB Lower Middle Income Economies",98438
296,"ESCAP: WB Lower Middle Income Economies",98438
356,"ESCAP: WB Lower Middle Income Economies",98438
364,"ESCAP: WB Lower Middle Income Economies",98438
417,"ESCAP: WB Lower Middle Income Economies",98438
418,"ESCAP: WB Lower Middle Income Economies",98438
496,"ESCAP: WB Lower Middle Income Economies",98438
524,"ESCAP: WB Lower Middle Income Economies",98438
548,"ESCAP: WB Lower Middle Income Economies",98438
583,"ESCAP: WB Lower Middle Income Economies",98438
586,"ESCAP: WB Lower Middle Income Economies",98438
598,"ESCAP: WB Lower Middle Income Economies",98438
608,"ESCAP: WB Lower Middle Income Economies",98438
626,"ESCAP: WB Lower Middle Income Economies",98438
704,"ESCAP: WB Lower Middle Income Economies",98438
762,"ESCAP: WB Lower Middle Income Economies",98438
860,"ESCAP: WB Lower Middle Income Economies",98438
882,"ESCAP: WB Lower Middle Income Economies",98438
4,"ESCAP: WB Low Income Economies",98439
408,"ESCAP: WB Low Income Economies",98439
634,"ESCAP: Other Area (OTH_REGION)",98426
682,"ESCAP: Other Area (OTH_REGION)",98426
760,"ESCAP: Other Area (OTH_REGION)",98426
772,"ESCAP: Other Area (OTH_REGION)",98426
784,"ESCAP: Other Area (OTH_REGION)",98426
876,"ESCAP: Other Area (OTH_REGION)",98426
887,"ESCAP: Other Area (OTH_REGION)",98426
16,"ESCAP: Pacific island developing economies (PIDE)",98427
90,"ESCAP: Pacific island developing economies (PIDE)",98427
184,"ESCAP: Pacific island developing economies (PIDE)",98427
242,"ESCAP: Pacific island developing economies (PIDE)",98427
258,"ESCAP: Pacific island developing economies (PIDE)",98427
296,"ESCAP: Pacific island developing economies (PIDE)",98427
316,"ESCAP: Pacific island developing economies (PIDE)",98427
520,"ESCAP: Pacific island developing economies (PIDE)",98427
540,"ESCAP: Pacific island developing economies (PIDE)",98427
548,"ESCAP: Pacific island developing economies (PIDE)",98427
570,"ESCAP: Pacific island developing economies (PIDE)",98427
580,"ESCAP: Pacific island developing economies (PIDE)",98427
583,"ESCAP: Pacific island developing economies (PIDE)",98427
584,"ESCAP: Pacific island developing economies (PIDE)",98427
585,"ESCAP: Pacific island developing economies (PIDE)",98427
598,"ESCAP: Pacific island developing economies (PIDE)",98427
776,"ESCAP: Pacific island developing economies (PIDE)",98427
798,"ESCAP: Pacific island developing economies (PIDE)",98427
882,"ESCAP: Pacific island developing economies (PIDE)",98427
4,"ESCAP: SAARC (SAARC)",98428
50,"ESCAP: SAARC (SAARC)",98428
64,"ESCAP: SAARC (SAARC)",98428
144,"ESCAP: SAARC (SAARC)",98428
356,"ESCAP: SAARC (SAARC)",98428
462,"ESCAP: SAARC (SAARC)",98428
524,"ESCAP: SAARC (SAARC)",98428
586,"ESCAP: SAARC (SAARC)",98428
156,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
344,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
392,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
408,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
410,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
446,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
496,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
643,"ESCAP: ENEA including Russian Fed (ENEA_RUS)",98433
4,"ESCAP: Countries with Special Needs",98434
16,"ESCAP: Countries with Special Needs",98434
31,"ESCAP: Countries with Special Needs",98434
50,"ESCAP: Countries with Special Needs",98434
51,"ESCAP: Countries with Special Needs",98434
64,"ESCAP: Countries with Special Needs",98434
90,"ESCAP: Countries with Special Needs",98434
104,"ESCAP: Countries with Special Needs",98434
116,"ESCAP: Countries with Special Needs",98434
