"iso.country","groupname","iso.group"
275,"ESCWA: Countries in conflict",98506
368,"ESCWA: Countries in conflict",98506
434,"ESCWA: Countries in conflict",98506
706,"ESCWA: Countries in conflict",98506
729,"ESCWA: Countries in conflict",98506
760,"ESCWA: Countries in conflict",98506
887,"ESCWA: Countries in conflict",98506
12,"ESCWA: Non-conflict middle income countries",98507
400,"ESCWA: Non-conflict middle income countries",98507
422,"ESCWA: Non-conflict middle income countries",98507
504,"ESCWA: Non-conflict middle income countries",98507
788,"ESCWA: Non-conflict middle income countries",98507
818,"ESCWA: Non-conflict middle income countries",98507
12,"ESCWA: Arab Middle-Income Countries (MICs)",98508
174,"ESCWA: Arab Middle-Income Countries (MICs)",98508
262,"ESCWA: Arab Middle-Income Countries (MICs)",98508
275,"ESCWA: Arab Middle-Income Countries (MICs)",98508
368,"ESCWA: Arab Middle-Income Countries (MICs)",98508
400,"ESCWA: Arab Middle-Income Countries (MICs)",98508
422,"ESCWA: Arab Middle-Income Countries (MICs)",98508
434,"ESCWA: Arab Middle-Income Countries (MICs)",98508
478,"ESCWA: Arab Middle-Income Countries (MICs)",98508
504,"ESCWA: Arab Middle-Income Countries (MICs)",98508
788,"ESCWA: Arab Middle-Income Countries (MICs)",98508
818,"ESCWA: Arab Middle-Income Countries (MICs)",98508
706,"ESCWA: Arab Low-Income Countries (LICs)",98509
729,"ESCWA: Arab Low-Income Countries (LICs)",98509
760,"ESCWA: Arab Low-Income Countries (LICs)",98509
887,"ESCWA: Arab Low-Income Countries (LICs)",98509
12,"ESCWA: Arab countries",98501
48,"ESCWA: Arab countries",98501
174,"ESCWA: Arab countries",98501
262,"ESCWA: Arab countries",98501
275,"ESCWA: Arab countries",98501
368,"ESCWA: Arab countries",98501
400,"ESCWA: Arab countries",98501
414,"ESCWA: Arab countries",98501
422,"ESCWA: Arab countries",98501
434,"ESCWA: Arab countries",98501
478,"ESCWA: Arab countries",98501
504,"ESCWA: Arab countries",98501
512,"ESCWA: Arab countries",98501
634,"ESCWA: Arab countries",98501
682,"ESCWA: Arab countries",98501
706,"ESCWA: Arab countries",98501
729,"ESCWA: Arab countries",98501
760,"ESCWA: Arab countries",98501
784,"ESCWA: Arab countries",98501
788,"ESCWA: Arab countries",98501
818,"ESCWA: Arab countries",98501
887,"ESCWA: Arab countries",98501
48,"ESCWA: Gulf Cooperation Council (GCC)",98502
414,"ESCWA: Gulf Cooperation Council (GCC)",98502
512,"ESCWA: Gulf Cooperation Council (GCC)",98502
634,"ESCWA: Gulf Cooperation Council (GCC)",98502
682,"ESCWA: Gulf Cooperation Council (GCC)",98502
784,"ESCWA: Gulf Cooperation Council (GCC)",98502
275,"ESCWA: Mashreq subregion",98503
368,"ESCWA: Mashreq subregion",98503
400,"ESCWA: Mashreq subregion",98503
422,"ESCWA: Mashreq subregion",98503
760,"ESCWA: Mashreq subregion",98503
818,"ESCWA: Mashreq subregion",98503
12,"ESCWA: Maghreb subregion",98504
434,"ESCWA: Maghreb subregion",98504
504,"ESCWA: Maghreb subregion",98504
788,"ESCWA: Maghreb subregion",98504
174,"ESCWA: Arab LDCs subregion",98505
262,"ESCWA: Arab LDCs subregion",98505
478,"ESCWA: Arab LDCs subregion",98505
706,"ESCWA: Arab LDCs subregion",98505
729,"ESCWA: Arab LDCs subregion",98505
887,"ESCWA: Arab LDCs subregion",98505
