"iso.country","groupname","iso.group"
16,"Small Island Developing States (SIDS)",1637
28,"Small Island Developing States (SIDS)",1637
44,"Small Island Developing States (SIDS)",1637
51,"Land-locked Developing Countries (LLDC)",1636
4,"Land-locked Developing Countries (LLDC)",1636
31,"Land-locked Developing Countries (LLDC)",1636
60,"SIDS Caribbean",2091
60,"Small Island Developing States (SIDS)",1637
64,"Land-locked Developing Countries (LLDC)",1636
68,"Land-locked Developing Countries (LLDC)",1636
52,"Small Island Developing States (SIDS)",1637
72,"Land-locked Developing Countries (LLDC)",1636
84,"Small Island Developing States (SIDS)",1637
84,"SIDS Caribbean",2091
90,"Small Island Developing States (SIDS)",1637
92,"Small Island Developing States (SIDS)",1637
108,"Land-locked Developing Countries (LLDC)",1636
132,"Small Island Developing States (SIDS)",1637
136,"Small Island Developing States (SIDS)",1637
140,"Land-locked Developing Countries (LLDC)",1636
148,"Land-locked Developing Countries (LLDC)",1636
174,"Small Island Developing States (SIDS)",1637
184,"Small Island Developing States (SIDS)",1637
231,"Land-locked Developing Countries (LLDC)",1636
242,"Small Island Developing States (SIDS)",1637
258,"Small Island Developing States (SIDS)",1637
296,"Small Island Developing States (SIDS)",1637
308,"Small Island Developing States (SIDS)",1637
388,"Small Island Developing States (SIDS)",1637
192,"Small Island Developing States (SIDS)",1637
316,"Small Island Developing States (SIDS)",1637
328,"SIDS Caribbean",2091
328,"Small Island Developing States (SIDS)",1637
332,"Small Island Developing States (SIDS)",1637
212,"Small Island Developing States (SIDS)",1637
214,"Small Island Developing States (SIDS)",1637
398,"Land-locked Developing Countries (LLDC)",1636
417,"Land-locked Developing Countries (LLDC)",1636
312,"Small Island Developing States (SIDS)",1637
418,"Land-locked Developing Countries (LLDC)",1636
426,"Land-locked Developing Countries (LLDC)",1636
454,"Land-locked Developing Countries (LLDC)",1636
462,"Small Island Developing States (SIDS)",1637
474,"Small Island Developing States (SIDS)",1637
496,"Land-locked Developing Countries (LLDC)",1636
480,"Small Island Developing States (SIDS)",1637
466,"Land-locked Developing Countries (LLDC)",1636
