"iso.country","groupname","iso.group","wpp_ParentID"
8,"Europe","",908
12,"Africa","",903
16,"Oceania","",909
20,"Europe","",908
24,"Africa","",903
28,"Latin America and the Caribbean","",904
32,"Americas","",5505
32,"Latin America and the Caribbean","",904
36,"Oceania","",909
40,"Europe","",908
44,"Latin America and the Caribbean","",904
44,"Americas","",5505
48,"Asia","",935
50,"Asia","",935
4,"Asia","",935
28,"Americas","",5505
31,"Asia","",935
52,"Americas","",5505
56,"Europe","",908
60,"Americas","",5505
60,"Northern America","",905
64,"Asia","",935
68,"Latin America and the Caribbean","",904
68,"Americas","",5505
51,"Asia","",935
52,"Latin America and the Caribbean","",904
70,"Europe","",908
72,"Africa","",903
76,"Latin America and the Caribbean","",904
76,"Americas","",5505
84,"Latin America and the Caribbean","",904
84,"Americas","",5505
90,"Oceania","",909
92,"Latin America and the Caribbean","",904
92,"Americas","",5505
96,"Asia","",935
100,"Europe","",908
104,"Asia","",935
108,"Africa","",903
112,"Europe","",908
116,"Asia","",935
120,"Africa","",903
124,"Northern America","",905
124,"Americas","",5505
132,"Africa","",903
136,"Latin America and the Caribbean","",904
136,"Americas","",5505
140,"Africa","",903
144,"Asia","",935
148,"Africa","",903
152,"Latin America and the Caribbean","",904
152,"Americas","",5505
156,"Asia","",935
158,"Asia","",935
170,"Latin America and the Caribbean","",904
170,"Americas","",5505
174,"Africa","",903
175,"Africa","",903
178,"Africa","",903
180,"Africa","",903
184,"Oceania","",909
188,"Latin America and the Caribbean","",904
188,"Americas","",5505
191,"Europe","",908
192,"Latin America and the Caribbean","",904
192,"Americas","",5505
232,"Africa","",903
233,"Europe","",908
234,"Europe","",908
238,"Latin America and the Caribbean","",904
238,"Americas","",5505
242,"Oceania","",909
246,"Europe","",908
250,"Europe","",908
254,"Latin America and the Caribbean","",904
254,"Americas","",5505
258,"Oceania","",909
262,"Africa","",903
266,"Africa","",903
268,"Asia","",935
270,"Africa","",903
275,"Asia","",935
276,"Europe","",908
288,"Africa","",903
292,"Europe","",908
296,"Oceania","",909
300,"Europe","",908
304,"Northern America","",905
304,"Americas","",5505
308,"Latin America and the Caribbean","",904
308,"Americas","",5505
336,"Europe","",908
340,"Latin America and the Caribbean","",904
340,"Americas","",5505
344,"Asia","",935
348,"Europe","",908
352,"Europe","",908
356,"Asia","",935
360,"Asia","",935
364,"Asia","",935
368,"Asia","",935
372,"Europe","",908
376,"Asia","",935
380,"Europe","",908
384,"Africa","",903
388,"Latin America and the Caribbean","",904
388,"Americas","",5505
196,"Asia","",935
203,"Europe","",908
204,"Africa","",903
208,"Europe","",908
212,"Latin America and the Caribbean","",904
218,"Latin America and the Caribbean","",904
218,"Americas","",5505
222,"Latin America and the Caribbean","",904
222,"Americas","",5505
226,"Africa","",903
231,"Africa","",903
312,"Americas","",5505
316,"Oceania","",909
320,"Latin America and the Caribbean","",904
320,"Americas","",5505
324,"Africa","",903
328,"Latin America and the Caribbean","",904
328,"Americas","",5505
332,"Latin America and the Caribbean","",904
332,"Americas","",5505
212,"Americas","",5505
214,"Latin America and the Caribbean","",904
214,"Americas","",5505
392,"Asia","",935
398,"Asia","",935
400,"Asia","",935
404,"Africa","",903
408,"Asia","",935
410,"Asia","",935
412,"Europe","",908
414,"Asia","",935
417,"Asia","",935
428,"Europe","",908
430,"Africa","",903
434,"Africa","",903
438,"Europe","",908
440,"Europe","",908
442,"Europe","",908
446,"Asia","",935
450,"Africa","",903
454,"Africa","",903
312,"Latin America and the Caribbean","",904
418,"Asia","",935
422,"Asia","",935
426,"Africa","",903
458,"Asia","",935
462,"Asia","",935
470,"Europe","",908
474,"Latin America and the Caribbean","",904
484,"Latin America and the Caribbean","",904
484,"Americas","",5505
492,"Europe","",908
496,"Asia","",935
474,"Americas","",5505
478,"Africa","",903
480,"Africa","",903
466,"Africa","",903
498,"Europe","",908
504,"Africa","",903
508,"Africa","",903
512,"Asia","",935
516,"Africa","",903
520,"Oceania","",909
499,"Europe","",908
500,"Latin America and the Caribbean","",904
500,"Americas","",5505
524,"Asia","",935
528,"Europe","",908
531,"Latin America and the Caribbean","",904
534,"Latin America and the Caribbean","",904
535,"Latin America and the Caribbean","",904
535,"Americas","",5505
540,"Oceania","",909
548,"Oceania","",909
554,"Oceania","",909
558,"Americas","",5505
558,"Latin America and the Caribbean","",904
562,"Africa","",903
566,"Africa","",903
570,"Oceania","",909
578,"Europe","",908
580,"Oceania","",909
583,"Oceania","",909
584,"Oceania","",909
585,"Oceania","",909
586,"Asia","",935
591,"Latin America and the Caribbean","",904
591,"Americas","",5505
598,"Oceania","",909
600,"Latin America and the Caribbean","",904
600,"Americas","",5505
604,"Latin America and the Caribbean","",904
604,"Americas","",5505
608,"Asia","",935
616,"Europe","",908
620,"Europe","",908
624,"Africa","",903
630,"Americas","",5505
634,"Asia","",935
638,"Africa","",903
642,"Europe","",908
643,"Europe","",908
646,"Africa","",903
652,"Latin America and the Caribbean","",904
652,"Americas","",5505
654,"Africa","",903
659,"Americas","",5505
626,"Asia","",935
630,"Latin America and the Caribbean","",904
531,"Americas","",5505
533,"Latin America and the Caribbean","",904
659,"Latin America and the Caribbean","",904
660,"Latin America and the Caribbean","",904
663,"Latin America and the Caribbean","",904
663,"Americas","",5505
666,"Northern America","",905
666,"Americas","",5505
670,"Latin America and the Caribbean","",904
670,"Americas","",5505
660,"Americas","",5505
662,"Latin America and the Caribbean","",904
662,"Americas","",5505
674,"Europe","",908
678,"Africa","",903
682,"Asia","",935
686,"Africa","",903
688,"Europe","",908
690,"Africa","",903
702,"Asia","",935
703,"Europe","",908
704,"Asia","",935
705,"Europe","",908
706,"Africa","",903
710,"Africa","",903
716,"Africa","",903
694,"Africa","",903
724,"Europe","",908
728,"Africa","",903
729,"Africa","",903
732,"Africa","",903
740,"Latin America and the Caribbean","",904
740,"Americas","",5505
748,"Africa","",903
752,"Europe","",908
756,"Europe","",908
760,"Asia","",935
762,"Asia","",935
764,"Asia","",935
768,"Africa","",903
772,"Oceania","",909
776,"Oceania","",909
780,"Latin America and the Caribbean","",904
780,"Americas","",5505
784,"Asia","",935
788,"Africa","",903
792,"Asia","",935
795,"Asia","",935
796,"Americas","",5505
798,"Oceania","",909
800,"Africa","",903
804,"Europe","",908
807,"Europe","",908
818,"Africa","",903
826,"Europe","",908
831,"Europe","",908
832,"Europe","",908
833,"Europe","",908
834,"Africa","",903
840,"Northern America","",905
840,"Americas","",5505
850,"Latin America and the Caribbean","",904
796,"Latin America and the Caribbean","",904
850,"Americas","",5505
854,"Africa","",903
858,"Latin America and the Caribbean","",904
858,"Americas","",5505
860,"Asia","",935
862,"Latin America and the Caribbean","",904
862,"Americas","",5505
876,"Oceania","",909
882,"Oceania","",909
887,"Asia","",935
894,"Africa","",903
533,"Americas","",5505
534,"Americas","",5505
