"iso.country","groupname","iso.group"
8,"Europe and Northern America",1829
8,"Europe, Northern America, Australia, and New Zealand",5502
12,"Northern Africa and Western Asia",1833
16,"Oceania (excluding Australia and New Zealand)",1835
20,"Europe and Northern America",1829
20,"Europe, Northern America, Australia, and New Zealand",5502
24,"Sub-Saharan Africa",1834
28,"Latin America and the Caribbean",1830
32,"Latin America and the Caribbean",1830
36,"Europe, Northern America, Australia, and New Zealand",5502
36,"Australia/New Zealand",1836
40,"Europe and Northern America",1829
40,"Europe, Northern America, Australia, and New Zealand",5502
44,"Latin America and the Caribbean",1830
48,"Northern Africa and Western Asia",1833
50,"Central and Southern Asia",1831
51,"Northern Africa and Western Asia",1833
4,"Central and Southern Asia",1831
31,"Northern Africa and Western Asia",1833
56,"Europe and Northern America",1829
56,"Europe, Northern America, Australia, and New Zealand",5502
60,"Europe, Northern America, Australia, and New Zealand",5502
60,"Europe and Northern America",1829
64,"Central and Southern Asia",1831
68,"Latin America and the Caribbean",1830
52,"Latin America and the Caribbean",1830
70,"Europe and Northern America",1829
70,"Europe, Northern America, Australia, and New Zealand",5502
72,"Sub-Saharan Africa",1834
76,"Latin America and the Caribbean",1830
84,"Latin America and the Caribbean",1830
90,"Oceania (excluding Australia and New Zealand)",1835
92,"Latin America and the Caribbean",1830
96,"Eastern and South-Eastern Asia",1832
100,"Europe and Northern America",1829
100,"Europe, Northern America, Australia, and New Zealand",5502
104,"Eastern and South-Eastern Asia",1832
108,"Sub-Saharan Africa",1834
112,"Europe, Northern America, Australia, and New Zealand",5502
112,"Europe and Northern America",1829
116,"Eastern and South-Eastern Asia",1832
120,"Sub-Saharan Africa",1834
124,"Europe and Northern America",1829
124,"Europe, Northern America, Australia, and New Zealand",5502
132,"Sub-Saharan Africa",1834
136,"Latin America and the Caribbean",1830
140,"Sub-Saharan Africa",1834
144,"Central and Southern Asia",1831
148,"Sub-Saharan Africa",1834
152,"Latin America and the Caribbean",1830
156,"Eastern and South-Eastern Asia",1832
158,"Eastern and South-Eastern Asia",1832
170,"Latin America and the Caribbean",1830
174,"Sub-Saharan Africa",1834
175,"Sub-Saharan Africa",1834
178,"Sub-Saharan Africa",1834
180,"Sub-Saharan Africa",1834
184,"Oceania (excluding Australia and New Zealand)",1835
188,"Latin America and the Caribbean",1830
191,"Europe and Northern America",1829
191,"Europe, Northern America, Australia, and New Zealand",5502
231,"Sub-Saharan Africa",1834
232,"Sub-Saharan Africa",1834
233,"Europe and Northern America",1829
233,"Europe, Northern America, Australia, and New Zealand",5502
234,"Europe, Northern America, Australia, and New Zealand",5502
234,"Europe and Northern America",1829
238,"Latin America and the Caribbean",1830
242,"Oceania (excluding Australia and New Zealand)",1835
246,"Europe and Northern America",1829
246,"Europe, Northern America, Australia, and New Zealand",5502
250,"Europe, Northern America, Australia, and New Zealand",5502
250,"Europe and Northern America",1829
