"iso.country","groupname","iso.group","wpp_ParentID"
4,"Southern Asia","",5501
8,"Southern Europe","",925
12,"Northern Africa","",912
16,"Polynesia","",957
20,"Southern Europe","",925
24,"Middle Africa","",911
28,"Caribbean","",915
32,"South America","",931
36,"Australia/New Zealand","",927
40,"Western Europe","",926
44,"Caribbean","",915
48,"Western Asia","",922
50,"Southern Asia","",5501
51,"Western Asia","",922
31,"Western Asia","",922
56,"Western Europe","",926
64,"Southern Asia","",5501
68,"South America","",931
52,"Caribbean","",915
70,"Southern Europe","",925
72,"Southern Africa","",913
76,"South America","",931
84,"Central America","",916
90,"Melanesia","",928
92,"Caribbean","",915
96,"South-Eastern Asia","",920
100,"Eastern Europe","",923
104,"South-Eastern Asia","",920
108,"Eastern Africa","",910
112,"Eastern Europe","",923
116,"South-Eastern Asia","",920
120,"Middle Africa","",911
132,"Western Africa","",914
136,"Caribbean","",915
140,"Middle Africa","",911
144,"Southern Asia","",5501
148,"Middle Africa","",911
152,"South America","",931
156,"Eastern Asia","",906
158,"Eastern Asia","",906
170,"South America","",931
174,"Eastern Africa","",910
175,"Eastern Africa","",910
178,"Middle Africa","",911
180,"Middle Africa","",911
184,"Polynesia","",957
188,"Central America","",916
191,"Southern Europe","",925
192,"Caribbean","",915
232,"Eastern Africa","",910
233,"Northern Europe","",924
234,"Northern Europe","",924
238,"South America","",931
242,"Melanesia","",928
246,"Northern Europe","",924
250,"Western Europe","",926
254,"South America","",931
258,"Polynesia","",957
262,"Eastern Africa","",910
266,"Middle Africa","",911
268,"Western Asia","",922
270,"Western Africa","",914
275,"Western Asia","",922
276,"Western Europe","",926
288,"Western Africa","",914
292,"Southern Europe","",925
296,"Micronesia","",954
300,"Southern Europe","",925
308,"Caribbean","",915
336,"Southern Europe","",925
340,"Central America","",916
344,"Eastern Asia","",906
348,"Eastern Europe","",923
352,"Northern Europe","",924
356,"Southern Asia","",5501
360,"South-Eastern Asia","",920
364,"Southern Asia","",5501
368,"Western Asia","",922
372,"Northern Europe","",924
376,"Western Asia","",922
380,"Southern Europe","",925
384,"Western Africa","",914
388,"Caribbean","",915
196,"Western Asia","",922
203,"Eastern Europe","",923
204,"Western Africa","",914
208,"Northern Europe","",924
218,"South America","",931
222,"Central America","",916
226,"Middle Africa","",911
231,"Eastern Africa","",910
316,"Micronesia","",954
320,"Central America","",916
324,"Western Africa","",914
328,"South America","",931
332,"Caribbean","",915
212,"Caribbean","",915
214,"Caribbean","",915
392,"Eastern Asia","",906
398,"Central Asia","",5500
400,"Western Asia","",922
404,"Eastern Africa","",910
408,"Eastern Asia","",906
410,"Eastern Asia","",906
412,"Southern Europe","",925
414,"Western Asia","",922
428,"Northern Europe","",924
430,"Western Africa","",914
434,"Northern Africa","",912
438,"Western Europe","",926
440,"Northern Europe","",924
442,"Western Europe","",926
446,"Eastern Asia","",906
450,"Eastern Africa","",910
454,"Eastern Africa","",910
312,"Caribbean","",915
417,"Central Asia","",5500
418,"South-Eastern Asia","",920
422,"Western Asia","",922
426,"Southern Africa","",913
