"iso.country","groupname","iso.group"
4,"UNFPA: Asia and the Pacific (AP)",1610
50,"UNFPA: Asia and the Pacific (AP)",1610
64,"UNFPA: Asia and the Pacific (AP)",1610
90,"UNFPA: Asia and the Pacific (AP)",1610
104,"UNFPA: Asia and the Pacific (AP)",1610
116,"UNFPA: Asia and the Pacific (AP)",1610
144,"UNFPA: Asia and the Pacific (AP)",1610
156,"UNFPA: Asia and the Pacific (AP)",1610
184,"UNFPA: Asia and the Pacific (AP)",1610
242,"UNFPA: Asia and the Pacific (AP)",1610
296,"UNFPA: Asia and the Pacific (AP)",1610
356,"UNFPA: Asia and the Pacific (AP)",1610
360,"UNFPA: Asia and the Pacific (AP)",1610
364,"UNFPA: Asia and the Pacific (AP)",1610
408,"UNFPA: Asia and the Pacific (AP)",1610
418,"UNFPA: Asia and the Pacific (AP)",1610
458,"UNFPA: Asia and the Pacific (AP)",1610
462,"UNFPA: Asia and the Pacific (AP)",1610
496,"UNFPA: Asia and the Pacific (AP)",1610
520,"UNFPA: Asia and the Pacific (AP)",1610
524,"UNFPA: Asia and the Pacific (AP)",1610
548,"UNFPA: Asia and the Pacific (AP)",1610
570,"UNFPA: Asia and the Pacific (AP)",1610
583,"UNFPA: Asia and the Pacific (AP)",1610
584,"UNFPA: Asia and the Pacific (AP)",1610
585,"UNFPA: Asia and the Pacific (AP)",1610
586,"UNFPA: Asia and the Pacific (AP)",1610
598,"UNFPA: Asia and the Pacific (AP)",1610
608,"UNFPA: Asia and the Pacific (AP)",1610
626,"UNFPA: Asia and the Pacific (AP)",1610
704,"UNFPA: Asia and the Pacific (AP)",1610
764,"UNFPA: Asia and the Pacific (AP)",1610
772,"UNFPA: Asia and the Pacific (AP)",1610
776,"UNFPA: Asia and the Pacific (AP)",1610
798,"UNFPA: Asia and the Pacific (AP)",1610
882,"UNFPA: Asia and the Pacific (AP)",1610
12,"UNFPA: Arab States (AS)",1611
262,"UNFPA: Arab States (AS)",1611
275,"UNFPA: Arab States (AS)",1611
368,"UNFPA: Arab States (AS)",1611
400,"UNFPA: Arab States (AS)",1611
422,"UNFPA: Arab States (AS)",1611
434,"UNFPA: Arab States (AS)",1611
504,"UNFPA: Arab States (AS)",1611
512,"UNFPA: Arab States (AS)",1611
706,"UNFPA: Arab States (AS)",1611
729,"UNFPA: Arab States (AS)",1611
760,"UNFPA: Arab States (AS)",1611
788,"UNFPA: Arab States (AS)",1611
818,"UNFPA: Arab States (AS)",1611
887,"UNFPA: Arab States (AS)",1611
8,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
31,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
51,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
70,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
112,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
268,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
398,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
417,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
498,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
688,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
762,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
792,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
795,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
804,"UNFPA: Eastern Europe and Central Asia (EECA)",1612
