"iso.country","groupname","iso.group"
8,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
31,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
51,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
70,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
100,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
112,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
191,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
268,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
300,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
398,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
412,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
417,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
498,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
499,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
642,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
688,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
762,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
792,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
795,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
804,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
807,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
860,"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",1585
90,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
104,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
116,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
156,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
184,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
242,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
296,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
360,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
408,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
418,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
458,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
496,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
520,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
548,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
570,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
583,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
584,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
585,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
598,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
608,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
626,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
704,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
764,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
772,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
776,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
798,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
882,"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",1586
24,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
72,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
108,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
174,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
231,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
232,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
404,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
426,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
450,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
454,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
508,"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",1587
