"iso.country","iso.group","groupname"
4,"","After 2054"
8,"","1994-2054"
12,"","1994-2054"
16,"","1994-2054"
20,"","Before 1994"
24,"","After 2054"
28,"","Before 1994"
31,"","1994-2054"
32,"","1994-2054"
36,"","Before 1994"
40,"","Before 1994"
44,"","1994-2054"
48,"","1994-2054"
50,"","1994-2054"
51,"","Before 1994"
52,"","Before 1994"
56,"","Before 1994"
60,"","Before 1994"
64,"","1994-2054"
68,"","1994-2054"
70,"","Before 1994"
72,"","1994-2054"
76,"","1994-2054"
84,"","1994-2054"
90,"","After 2054"
92,"","Before 1994"
96,"","1994-2054"
100,"","Before 1994"
104,"","1994-2054"
108,"","After 2054"
112,"","Before 1994"
116,"","1994-2054"
120,"","After 2054"
124,"","Before 1994"
132,"","1994-2054"
136,"","Before 1994"
140,"","After 2054"
144,"","1994-2054"
148,"","After 2054"
152,"","1994-2054"
156,"","Before 1994"
158,"","Before 1994"
170,"","1994-2054"
174,"","After 2054"
175,"","After 2054"
178,"","After 2054"
180,"","After 2054"
184,"","1994-2054"
188,"","1994-2054"
191,"","Before 1994"
192,"","Before 1994"
196,"","1994-2054"
203,"","Before 1994"
204,"","After 2054"
208,"","Before 1994"
212,"","1994-2054"
214,"","1994-2054"
218,"","1994-2054"
222,"","1994-2054"
226,"","After 2054"
231,"","After 2054"
232,"","After 2054"
233,"","Before 1994"
234,"","1994-2054"
238,"","Before 1994"
242,"","1994-2054"
246,"","Before 1994"
250,"","Before 1994"
254,"","After 2054"
258,"","1994-2054"
262,"","1994-2054"
266,"","After 2054"
268,"","Before 1994"
270,"","After 2054"
275,"","After 2054"
276,"","Before 1994"
288,"","After 2054"
292,"","1994-2054"
296,"","After 2054"
300,"","Before 1994"
304,"","1994-2054"
308,"","1994-2054"
312,"","1994-2054"
316,"","After 2054"
320,"","1994-2054"
324,"","After 2054"
328,"","1994-2054"
332,"","1994-2054"
336,"","Before 1994"
340,"","1994-2054"
344,"","Before 1994"
348,"","Before 1994"
352,"","1994-2054"
356,"","1994-2054"
360,"","1994-2054"
364,"","1994-2054"
368,"","After 2054"
372,"","Before 1994"
376,"","After 2054"
380,"","Before 1994"
384,"","After 2054"
388,"","1994-2054"
392,"","Before 1994"
398,"","After 2054"
400,"","1994-2054"
404,"","After 2054"
408,"","1994-2054"
410,"","Before 1994"
412,"","1994-2054"
414,"","1994-2054"
417,"","After 2054"
418,"","1994-2054"
422,"","1994-2054"
426,"","1994-2054"
428,"","Before 1994"
430,"","After 2054"
434,"","1994-2054"
438,"","Before 1994"
440,"","Before 1994"
442,"","Before 1994"
446,"","Before 1994"
450,"","After 2054"
454,"","After 2054"
458,"","1994-2054"
462,"","1994-2054"
466,"","After 2054"
470,"","Before 1994"
474,"","Before 1994"
478,"","After 2054"
480,"","1994-2054"
484,"","1994-2054"
492,"","Before 1994"
496,"","1994-2054"
498,"","Before 1994"
499,"","Before 1994"
500,"","Before 1994"
504,"","1994-2054"
508,"","After 2054"
512,"","1994-2054"
516,"","After 2054"
520,"","After 2054"
524,"","1994-2054"
528,"","Before 1994"
531,"","1994-2054"
533,"","1994-2054"
534,"","Before 1994"
535,"","1994-2054"
540,"","1994-2054"
548,"","After 2054"
554,"","Before 1994"
558,"","1994-2054"
562,"","After 2054"
566,"","After 2054"
570,"","1994-2054"
578,"","Before 1994"
580,"","1994-2054"
583,"","1994-2054"
584,"","1994-2054"
585,"","1994-2054"
586,"","After 2054"
591,"","1994-2054"
598,"","After 2054"
600,"","1994-2054"
604,"","1994-2054"
608,"","1994-2054"
616,"","Before 1994"
620,"","Before 1994"
624,"","After 2054"
626,"","1994-2054"
630,"","1994-2054"
634,"","1994-2054"
638,"","1994-2054"
642,"","Before 1994"
643,"","Before 1994"
646,"","After 2054"
652,"","Before 1994"
654,"","Before 1994"
659,"","1994-2054"
660,"","Before 1994"
662,"","1994-2054"
663,"","1994-2054"
666,"","1994-2054"
670,"","1994-2054"
674,"","Before 1994"
678,"","After 2054"
682,"","1994-2054"
686,"","After 2054"
688,"","Before 1994"
690,"","1994-2054"
694,"","After 2054"
702,"","Before 1994"
703,"","Before 1994"
704,"","1994-2054"
705,"","Before 1994"
706,"","After 2054"
710,"","1994-2054"
716,"","After 2054"
724,"","Before 1994"
728,"","After 2054"
729,"","After 2054"
732,"","1994-2054"
740,"","1994-2054"
748,"","1994-2054"
752,"","Before 1994"
756,"","Before 1994"
760,"","1994-2054"
762,"","After 2054"
764,"","Before 1994"
768,"","After 2054"
772,"","1994-2054"
776,"","After 2054"
780,"","Before 1994"
784,"","1994-2054"
788,"","1994-2054"
792,"","1994-2054"
795,"","1994-2054"
796,"","1994-2054"
798,"","After 2054"
800,"","After 2054"
804,"","Before 1994"
807,"","1994-2054"
818,"","After 2054"
826,"","Before 1994"
831,"","Before 1994"
832,"","Before 1994"
833,"","Before 1994"
834,"","After 2054"
840,"","Before 1994"
850,"","1994-2054"
854,"","After 2054"
858,"","1994-2054"
860,"","After 2054"
862,"","1994-2054"
876,"","1994-2054"
882,"","After 2054"
887,"","After 2054"
894,"","After 2054"
