"iso.country","groupname","iso.group"
12,"WHO: African region (AFRO)",1593
24,"WHO: African region (AFRO)",1593
72,"WHO: African region (AFRO)",1593
108,"WHO: African region (AFRO)",1593
120,"WHO: African region (AFRO)",1593
132,"WHO: African region (AFRO)",1593
140,"WHO: African region (AFRO)",1593
148,"WHO: African region (AFRO)",1593
174,"WHO: African region (AFRO)",1593
178,"WHO: African region (AFRO)",1593
180,"WHO: African region (AFRO)",1593
204,"WHO: African region (AFRO)",1593
226,"WHO: African region (AFRO)",1593
231,"WHO: African region (AFRO)",1593
232,"WHO: African region (AFRO)",1593
266,"WHO: African region (AFRO)",1593
270,"WHO: African region (AFRO)",1593
288,"WHO: African region (AFRO)",1593
324,"WHO: African region (AFRO)",1593
384,"WHO: African region (AFRO)",1593
404,"WHO: African region (AFRO)",1593
426,"WHO: African region (AFRO)",1593
430,"WHO: African region (AFRO)",1593
450,"WHO: African region (AFRO)",1593
454,"WHO: African region (AFRO)",1593
466,"WHO: African region (AFRO)",1593
478,"WHO: African region (AFRO)",1593
480,"WHO: African region (AFRO)",1593
508,"WHO: African region (AFRO)",1593
516,"WHO: African region (AFRO)",1593
562,"WHO: African region (AFRO)",1593
566,"WHO: African region (AFRO)",1593
624,"WHO: African region (AFRO)",1593
646,"WHO: African region (AFRO)",1593
678,"WHO: African region (AFRO)",1593
686,"WHO: African region (AFRO)",1593
690,"WHO: African region (AFRO)",1593
694,"WHO: African region (AFRO)",1593
710,"WHO: African region (AFRO)",1593
716,"WHO: African region (AFRO)",1593
728,"WHO: African region (AFRO)",1593
748,"WHO: African region (AFRO)",1593
768,"WHO: African region (AFRO)",1593
800,"WHO: African region (AFRO)",1593
834,"WHO: African region (AFRO)",1593
854,"WHO: African region (AFRO)",1593
894,"WHO: African region (AFRO)",1593
8,"WHO: European Region (EURO)",1594
20,"WHO: European Region (EURO)",1594
31,"WHO: European Region (EURO)",1594
40,"WHO: European Region (EURO)",1594
51,"WHO: European Region (EURO)",1594
56,"WHO: European Region (EURO)",1594
70,"WHO: European Region (EURO)",1594
100,"WHO: European Region (EURO)",1594
112,"WHO: European Region (EURO)",1594
191,"WHO: European Region (EURO)",1594
196,"WHO: European Region (EURO)",1594
203,"WHO: European Region (EURO)",1594
208,"WHO: European Region (EURO)",1594
233,"WHO: European Region (EURO)",1594
246,"WHO: European Region (EURO)",1594
250,"WHO: European Region (EURO)",1594
268,"WHO: European Region (EURO)",1594
276,"WHO: European Region (EURO)",1594
300,"WHO: European Region (EURO)",1594
348,"WHO: European Region (EURO)",1594
352,"WHO: European Region (EURO)",1594
372,"WHO: European Region (EURO)",1594
376,"WHO: European Region (EURO)",1594
380,"WHO: European Region (EURO)",1594
398,"WHO: European Region (EURO)",1594
417,"WHO: European Region (EURO)",1594
428,"WHO: European Region (EURO)",1594
440,"WHO: European Region (EURO)",1594
442,"WHO: European Region (EURO)",1594
470,"WHO: European Region (EURO)",1594
492,"WHO: European Region (EURO)",1594
498,"WHO: European Region (EURO)",1594
499,"WHO: European Region (EURO)",1594
528,"WHO: European Region (EURO)",1594
578,"WHO: European Region (EURO)",1594
616,"WHO: European Region (EURO)",1594
620,"WHO: European Region (EURO)",1594
642,"WHO: European Region (EURO)",1594
643,"WHO: European Region (EURO)",1594
674,"WHO: European Region (EURO)",1594
688,"WHO: European Region (EURO)",1594
703,"WHO: European Region (EURO)",1594
705,"WHO: European Region (EURO)",1594
724,"WHO: European Region (EURO)",1594
752,"WHO: European Region (EURO)",1594
756,"WHO: European Region (EURO)",1594
762,"WHO: European Region (EURO)",1594
792,"WHO: European Region (EURO)",1594
795,"WHO: European Region (EURO)",1594
804,"WHO: European Region (EURO)",1594
807,"WHO: European Region (EURO)",1594
826,"WHO: European Region (EURO)",1594
860,"WHO: European Region (EURO)",1594
