"iso.country","groupname","iso.group"
4,"Low-and-Lower-middle-income countries",5504
8,"Upper-middle-income countries",1502
8,"Middle-income countries",1517
8,"Low-and-middle-income countries",1859
8,"High-and-upper-middle-income countries",5503
12,"Low-and-middle-income countries",1859
12,"Low-and-Lower-middle-income countries",5504
12,"Lower-middle-income countries",1501
12,"Middle-income countries",1517
16,"High-income countries",1503
16,"High-and-upper-middle-income countries",5503
20,"High-and-upper-middle-income countries",5503
20,"High-income countries",1503
24,"Lower-middle-income countries",1501
24,"Middle-income countries",1517
24,"Low-and-middle-income countries",1859
24,"Low-and-Lower-middle-income countries",5504
28,"High-income countries",1503
32,"High-and-upper-middle-income countries",5503
32,"Low-and-middle-income countries",1859
32,"Upper-middle-income countries",1502
32,"Middle-income countries",1517
36,"High-and-upper-middle-income countries",5503
36,"High-income countries",1503
40,"High-income countries",1503
40,"High-and-upper-middle-income countries",5503
44,"High-and-upper-middle-income countries",5503
44,"High-income countries",1503
48,"High-and-upper-middle-income countries",5503
48,"High-income countries",1503
50,"Low-and-Lower-middle-income countries",5504
50,"Middle-income countries",1517
50,"Low-and-middle-income countries",1859
50,"Lower-middle-income countries",1501
51,"High-and-upper-middle-income countries",5503
51,"Middle-income countries",1517
51,"Low-and-middle-income countries",1859
4,"Low-income countries",1500
4,"Low-and-middle-income countries",1859
28,"High-and-upper-middle-income countries",5503
31,"High-and-upper-middle-income countries",5503
31,"Upper-middle-income countries",1502
31,"Middle-income countries",1517
31,"Low-and-middle-income countries",1859
52,"High-and-upper-middle-income countries",5503
56,"High-income countries",1503
56,"High-and-upper-middle-income countries",5503
60,"High-and-upper-middle-income countries",5503
60,"High-income countries",1503
64,"Low-and-Lower-middle-income countries",5504
64,"Low-and-middle-income countries",1859
64,"Lower-middle-income countries",1501
64,"Middle-income countries",1517
68,"Low-and-Lower-middle-income countries",5504
68,"Lower-middle-income countries",1501
68,"Middle-income countries",1517
68,"Low-and-middle-income countries",1859
51,"Upper-middle-income countries",1502
52,"High-income countries",1503
70,"Upper-middle-income countries",1502
70,"Middle-income countries",1517
70,"Low-and-middle-income countries",1859
70,"High-and-upper-middle-income countries",5503
72,"Low-and-middle-income countries",1859
72,"High-and-upper-middle-income countries",5503
72,"Upper-middle-income countries",1502
72,"Middle-income countries",1517
76,"High-and-upper-middle-income countries",5503
76,"Upper-middle-income countries",1502
76,"Middle-income countries",1517
76,"Low-and-middle-income countries",1859
84,"High-and-upper-middle-income countries",5503
84,"Upper-middle-income countries",1502
84,"Middle-income countries",1517
84,"Low-and-middle-income countries",1859
90,"Lower-middle-income countries",1501
90,"Middle-income countries",1517
90,"Low-and-middle-income countries",1859
90,"Low-and-Lower-middle-income countries",5504
92,"High-and-upper-middle-income countries",5503
92,"High-income countries",1503
96,"High-and-upper-middle-income countries",5503
96,"High-income countries",1503
100,"Upper-middle-income countries",1502
100,"Middle-income countries",1517
100,"Low-and-middle-income countries",1859
100,"High-and-upper-middle-income countries",5503
104,"Lower-middle-income countries",1501
104,"Middle-income countries",1517
104,"Low-and-middle-income countries",1859
104,"Low-and-Lower-middle-income countries",5504
108,"Low-and-Lower-middle-income countries",5504
108,"Low-income countries",1500
108,"Low-and-middle-income countries",1859
112,"High-and-upper-middle-income countries",5503
112,"Middle-income countries",1517
112,"Low-and-middle-income countries",1859
112,"Upper-middle-income countries",1502
116,"Low-and-middle-income countries",1859
116,"Low-and-Lower-middle-income countries",5504
116,"Lower-middle-income countries",1501
116,"Middle-income countries",1517
120,"Low-and-Lower-middle-income countries",5504
120,"Lower-middle-income countries",1501
120,"Middle-income countries",1517
120,"Low-and-middle-income countries",1859
124,"High-income countries",1503
124,"High-and-upper-middle-income countries",5503
132,"Low-and-Lower-middle-income countries",5504
132,"Lower-middle-income countries",1501
132,"Middle-income countries",1517
132,"Low-and-middle-income countries",1859
136,"High-and-upper-middle-income countries",5503
136,"High-income countries",1503
140,"Low-and-Lower-middle-income countries",5504
140,"Low-and-middle-income countries",1859
140,"Low-income countries",1500
144,"Lower-middle-income countries",1501
144,"Middle-income countries",1517
144,"Low-and-middle-income countries",1859
144,"Low-and-Lower-middle-income countries",5504
148,"Low-income countries",1500
148,"Low-and-middle-income countries",1859
148,"Low-and-Lower-middle-income countries",5504
152,"High-income countries",1503
152,"High-and-upper-middle-income countries",5503
156,"Upper-middle-income countries",1502
156,"Middle-income countries",1517
156,"Low-and-middle-income countries",1859
156,"High-and-upper-middle-income countries",5503
158,"High-income countries",1503
158,"High-and-upper-middle-income countries",5503
170,"Upper-middle-income countries",1502
170,"Middle-income countries",1517
170,"Low-and-middle-income countries",1859
170,"High-and-upper-middle-income countries",5503
174,"Low-and-Lower-middle-income countries",5504
174,"Lower-middle-income countries",1501
174,"Middle-income countries",1517
174,"Low-and-middle-income countries",1859
175,"High-and-upper-middle-income countries",5503
175,"High-income countries",1503
178,"Low-and-middle-income countries",1859
178,"Low-and-Lower-middle-income countries",5504
178,"Lower-middle-income countries",1501
178,"Middle-income countries",1517
180,"Low-income countries",1500
180,"Low-and-middle-income countries",1859
180,"Low-and-Lower-middle-income countries",5504
184,"No income group available",1518
188,"Upper-middle-income countries",1502
188,"Middle-income countries",1517
188,"Low-and-middle-income countries",1859
188,"High-and-upper-middle-income countries",5503
191,"High-income countries",1503
191,"High-and-upper-middle-income countries",5503
192,"High-and-upper-middle-income countries",5503
192,"Low-and-middle-income countries",1859
231,"Low-and-Lower-middle-income countries",5504
231,"Low-income countries",1500
232,"Low-income countries",1500
232,"Low-and-middle-income countries",1859
232,"Low-and-Lower-middle-income countries",5504
233,"High-income countries",1503
233,"High-and-upper-middle-income countries",5503
234,"High-and-upper-middle-income countries",5503
234,"High-income countries",1503
238,"No income group available",1518
242,"Upper-middle-income countries",1502
242,"Middle-income countries",1517
242,"Low-and-middle-income countries",1859
242,"High-and-upper-middle-income countries",5503
246,"High-income countries",1503
246,"High-and-upper-middle-income countries",5503
250,"High-and-upper-middle-income countries",5503
250,"High-income countries",1503
254,"High-income countries",1503
254,"High-and-upper-middle-income countries",5503
258,"High-income countries",1503
258,"High-and-upper-middle-income countries",5503
