Country.or.area,ISO.Code,Country.Letter.Code,Region.Code,Region,Major.area.Code,Major.area,Developed.region,Less.Developed.Regions,Least.developed.country,Less.developed.regions..excluding.least.developed.countries,Total.population.of.less.than.90.000.by.mid.2015,FP2020.country,Sexual.activity.among.unmarried,Sub.SaharanAfrica,WPP.small.country,WCU.data,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.
Afghanistan,4,AFG,34,Southern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,Yes,No
Albania,8,ALB,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Algeria,12,DZA,15,Northern Africa,2,Africa,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Angola,24,AGO,17,Middle Africa,2,Africa,No,Yes,Yes,No,No,No,1,Yes,No,Yes,No,No
Anguilla,660,AIA,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Antigua and Barbuda,28,ATG,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Argentina,32,ARG,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Armenia,51,ARM,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,Yes,No
Australia,36,AUS,53,Australia and New Zealand,9,Oceania,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Austria,40,AUT,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Azerbaijan,31,AZE,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,Yes,No
Bahamas,44,BHS,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Bahrain,48,BHR,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Bangladesh,50,BGD,34,Southern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,No
Barbados,52,BRB,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Belarus,112,BLR,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Belgium,56,BEL,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Belize,84,BLZ,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Benin,204,BEN,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Bhutan,64,BTN,34,Southern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,Yes,No
Bolivia (Plurinational State of),68,BOL,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,1,No,No,Yes,Yes,No
Bosnia and Herzegovina,70,BIH,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Botswana,72,BWA,18,Southern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,Yes,No
Brazil,76,BRA,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Bulgaria,100,BGR,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Burkina Faso,854,BFA,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Burundi,108,BDI,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Cabo Verde,132,CPV,11,Western Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,Yes
Cambodia,116,KHM,35,South-eastern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,No
Cameroon,120,CMR,17,Middle Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,No,No
Canada,124,CAN,21,Northern America,21,Northern America,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Central African Republic,140,CAF,17,Middle Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Chad,148,TCD,17,Middle Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Chile,152,CHL,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
China,156,CHN,30,Eastern Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
"China, Hong Kong Special Administrative Region",344,HKG,30,Eastern Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Colombia,170,COL,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Comoros,174,COM,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,Yes
Congo,178,COG,17,Middle Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,No,No
Cook Islands,184,COK,61,Polynesia,9,Oceania,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Costa Rica,188,CRI,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Côte d’Ivoire,384,CIV,11,Western Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,No,No
Croatia,191,HRV,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Cuba,192,CUB,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Czechia,203,CZE,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Democratic People's Republic of Korea,408,PRK,30,Eastern Asia,142,Asia,No,Yes,No,Yes,No,Yes,1,No,No,Yes,No,No
Democratic Republic of the Congo,180,COD,17,Middle Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Denmark,208,DNK,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Djibouti,262,DJI,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,Yes,No,Yes,No,No
Dominica,212,DMA,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Dominican Republic,214,DOM,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Ecuador,218,ECU,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Egypt,818,EGY,15,Northern Africa,2,Africa,No,Yes,No,Yes,No,Yes,0,No,No,Yes,No,No
El Salvador,222,SLV,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Equatorial Guinea,226,GNQ,17,Middle Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,No
Eritrea,232,ERI,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Estonia,233,EST,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Eswatini,748,SWZ,18,Southern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,Yes,No
Ethiopia,231,ETH,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Fiji,242,FJI,54,Melanesia,9,Oceania,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Finland,246,FIN,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
France,250,FRA,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Gabon,266,GAB,17,Middle Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,No
Gambia,270,GMB,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Georgia,268,GEO,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Germany,276,DEU,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Ghana,288,GHA,11,Western Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,No,No
Greece,300,GRC,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Grenada,308,GRD,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Guadeloupe,312,GLP,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Guam,316,GUM,57,Micronesia,9,Oceania,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Guatemala,320,GTM,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Guinea,324,GIN,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Guinea-Bissau,624,GNB,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,Yes
Guyana,328,GUY,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
