In.union,Catalog.ID,Age..range,Note.on.data,Note.on.methods,Note.on.country,Note.on.population,Contraceptive.use.ANY,Contraceptive.use.MODERN,Contraceptive.use.TRADITIONAL,Unmet,GEO.biases..unknown.direction.,Non.pregnant.and.other.positive.biases,Negative.bias,Population.type,age.cat.bias,Modern.method.bias,Folk.method.positive.bias,Absence.of.probing.questions.bias...1,ISO.code,Country,Start.year_excel_format,End.year_excel_format,Start.year,End.year,Source.name,Data.series.type,EXCLUDE1isyes,SE.logR.modern.nouse,SE.logR.trad.nouse,SE.logR.unmet.noneed,SE.modern,SE.trad,SE.unmet
0,41,15-19,NA,NA,NA,NA,12.22037578,10.99750014,1.222875639,NA,NA,NA,NA,UW,0,NA,NA,1,694,Sierra Leone,01/10/2005,30/11/2005,2005.75,2005.91,2005 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,43,15-19,NA,NA,NA,NA,24.37449877,23.72726207,0.647236705,4.782968778,NA,NA,NA,UW,0,NA,NA,0,516,Namibia,01/11/2006,31/03/2007,2006.83,2007.24,2006-2007 DHS,DHS,0,0.0727236267131264,0.321149282270379,0.110362712056292,0.0131625957980201,0.00206640619130494,0.00501630038656193
0,49,15-19,NA,NA,NA,NA,8.158252704,7.565615408,0.592637295,4.865992185,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/03/2007,30/08/2007,2007.16,2007.66,2007 DHS,DHS,0,0.0977666583940896,0.384019510995147,0.114094185259951,0.0068418500433116,0.00226345093608844,0.00528079384075462
0,108,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,1.002597403,NA,NA,NA,NA,NA,NA,UW,0,NA,NA,0,52,Barbados,NA,NA,1980.25,1980.75,1980-1981 CPS,CPS,0,NA,NA,NA,NA,NA,NA
0,136,15-19,NA,NA,NA,NA,7.166664694,6.258285555,0.908379139,NA,NA,NA,NA,UW,0,NA,NA,1,854,Burkina Faso,29/03/2006,14/06/2006,2006.24,2006.45,2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,148,15-19,NA,NA,NA,NA,0.339135612,0.339135612,0,NA,NA,NA,NA,UW,0,NA,NA,1,108,Burundi,19/09/2005,31/12/2005,2005.72,2006,2005 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,155,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,12.59954874,11.01597473,1.583574007,NA,NA,NA,NA,UW,0,NA,NA,0,132,Cabo Verde,01/03/1998,31/08/1998,1998.16,1998.66,1998 DHS-RHS,DHS,0,NA,NA,NA,NA,NA,NA
0,166,15-19,NA,NA,NA,NA,6.609967788,5.605245508,1.00472228,NA,NA,NA,NA,UW,0,NA,NA,1,288,Ghana,01/08/2006,31/10/2006,2006.58,2006.83,2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,170,15-19,NA,NA,NA,NA,8.722590248,8.395666159,0.326924089,1.378150715,NA,NA,NA,UW,0,NA,NA,0,804,Ukraine,01/07/2007,30/11/2007,2007.5,2007.91,2007 DHS,DHS,0,0.157515148340914,0.584274013679319,0.42481570641279,0.0121197469260502,0.00190559676661468,0.00578216170838686
0,172,15-19,Estimated from data reported for all women and married/in-union women.,Traditional methods include folk methods.,NA,NA,1.105536913,0.603020134,0.502516779,NA,NA,NA,NA,UW,0,NA,Including folk methods.,0,116,Cambodia,01/05/1998,31/07/1998,1998.33,1998.58,1998 DHS-NS,National survey,0,NA,NA,NA,NA,NA,NA
0,173,15-19,Estimated from data reported for all women and married/in-union women.,Traditional methods include folk methods.,NA,NA,0.508958567,0.340649496,0.168309071,NA,NA,NA,NA,UW,0,NA,Including folk methods.,0,320,Guatemala,01/04/2002,30/11/2002,2002.25,2002.91,2002 ENSMI,RHS,0,NA,NA,NA,NA,NA,NA
0,175,15-19,NA,NA,NA,NA,0.191497296,0.191497296,0,NA,NA,NA,NA,UW,0,NA,NA,1,764,Thailand,01/12/2005,28/02/2006,2005.92,2006.16,2005-2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,176,15-19,NA,NA,NA,NA,22.05558874,20.22938015,1.826208587,NA,NA,NA,NA,UW,0,NA,NA,1,624,Guinea-Bissau,12/05/2006,12/06/2006,2006.36,2006.44,2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,207,15-19,NA,NA,NA,NA,0.639457552,0.639457552,0,1.228258121,NA,NA,NA,UW,0,NA,NA,0,320,Guatemala,01/11/1998,31/05/1999,1998.83,1999.41,1998-1999 DHS Interim,National survey,0,0.766102946368808,NaN,0.445414703180948,0.00485365776614903,0,0.00490644473600606
0,645,15-19,NA,NA,NA,NA,5.761602255,5.486405497,0.275196758,9.764591539,NA,NA,NA,UW,0,NA,NA,0,894,Zambia,01/04/2007,31/10/2007,2007.25,2007.83,2007 DHS,DHS,0,NA,NA,NA,NA,NA,NA
