"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"40-44",4369,NA,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,17.8,17.3,0.5,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2006,2006,2006.70410958904,2006.91232876712,"2006 HS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",4465,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2007,2008,2007.61917808219,2008.66393442623,"2007-2008 NRVA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",4983,NA,NA,NA,NA,29.51337489,27.75745933,1.755915557,NA,NA,NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2010,2011,2010.74794520548,2011.41095890411,"2010-2011 MICS","MICS",0,"afwm4",0.0432375732920341,0.11661093895559,NA,0.00691219795752856,0.00116983351470224,0,1
"40-44",5045,NA,NA,"Excluding areas in the South zone.",NA,28,25.4,2.7,NA,"Excluding areas in the South zone.",NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2010,2010,2010.24657534247,2010.99726027397,"2010 DHS Special","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",7515,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2012,2012,2012.58196721311,2012.99726775956,"2012 AHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",5689,NA,NA,NA,NA,28.4460288284291,25.2686857714271,3.177343057002,18.5660070352275,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0724310572795713,0.189845836905075,0.0730886811344881,0.0122723247542597,0.00503591451578191,0.00685624672620073,1
"40-44",1943,NA,NA,NA,NA,58.2371554,14.03949778,44.19765762,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2000,2000,2000.41530054645,2000.51366120219,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",1681,NA,NA,NA,NA,82.7,10.9,71.8,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2002,2002,2002.58082191781,2002.99726027397,"2002 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",1906,NA,NA,NA,NA,68.20262899,21.24706034,46.95556866,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2005,2005,2005.74794520548,2005.91232876712,"2005 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",4483,NA,NA,NA,NA,76.1202548370046,10.0179237927653,66.1023310442393,11.8859649753443,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.133049028379796,0.0888592427054336,0.134014405093549,0.00617946343808573,0.0108937217015064,0.00575512075091574,1
