In.union,Country,ISO.code,Age..range,Catalog.ID,Source.name,Data.series.type,Note.on.data,Note.on.methods,Note.on.country,Note.on.population,Contraceptive.use.ANY,Contraceptive.use.MODERN,Contraceptive.use.TRADITIONAL,Unmet,GEO.biases..unknown.direction.,Non.pregnant.and.other.positive.biases,Negative.bias,Population.type,age.cat.bias,Modern.method.bias,Folk.method.positive.bias,Absence.of.probing.questions.bias...1,Start.year,End.year,EXCLUDE1isyes,Start.year_Year,End.year_Year,X.NA.,SE.logR.modern.nouse,SE.logR.trad.nouse,SE.logR.unmet.noneed,SE.modern,SE.trad,SE.unmet
0,Albania,8,15-19,1906,Albania 2005 Multiple Indicator Cluster Survey,MICS microdata,NA,NA,NA,NA,0.78979111,0.529407805,0.260383305,NA,NA,NA,NA,UW,0,NA,NA,1,2005.747925,2005.912354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Angola,24,15-19,1937,Angola 2001 Multiple Indicator Cluster Survey,MICS microdata,NA,NA,NA,NA,5.497213568,3.534434348,1.962779219,NA,NA,NA,NA,UW,0,NA,NA,1,2001.246582,2001.830078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Argentina,32,15-19,6003,Argentina 2013 Encuesta Nacional sobre Salud Sexual y Reproductiva,National survey,NA,NA,"Data pertain to urban centers with 2,000 or more people.",NA,28.42490249,28.39740202,0.027500469,NA,"Data pertain to urban centers with 2,000 or more people.",NA,NA,UW,0,NA,NA,0,2013.328735,2013.493164,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Australia,36,18-19,5603,Australia 2005-2006 HILDA,National survey,NA,NA,NA,NA,47.08,47.08,0,NA,NA,NA,NA,UW,+,NA,NA,0,2005.643799,2006.186279,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Austria,40,18-19,6025,Austria 2012-2013 Generations and Gender Survey,GGS,NA,Modern methods include some cases of sterilisation for non-contraceptive reasons.,NA,NA,65.84701512,65.84701512,0,NA,NA,NA,NA,UW,+,NA,NA,0,2012.726074,2013.400024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Armenia,51,15-19,1848,Armenia 2000 Demographic and Health Survey,DHS microdata,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,UW,0,NA,NA,0,2000.750732,2001,0,NA,NA,NA,NA,NA,NA,0,0,0
0,Barbados,52,15-19,108,Barbados 1980-1981 Contraceptive Prevalence Survey,CPS,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,1.002597403,NA,NA,NA,NA,NA,NA,UW,0,NA,NA,0,1980,1982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Belgium,56,18-19,5427,Belgium 2008-2010 Generations and Gender Survey,GGS,NA,Modern methods include some cases of sterilisation for non-contraceptive reasons.,NA,NA,42.3,42.3,0,NA,NA,NA,NA,UW,+,NA,NA,0,2008.084961,2010.411011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Bhutan,64,15-19,4989,Bhutan 2010 Multiple Indicator Survey,MICS microdata,NA,NA,NA,NA,0.232071289,0.232071289,0,NA,NA,NA,NA,UW,0,NA,NA,1,2010.246582,2010.643799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Bolivia,68,15-19,1768,Bolivia 1989 Demographic and Health Survey,DHS microdata,NA,NA,NA,NA,0.423472404,0.014230025,0.409242378,NA,NA,NA,NA,UW,0,NA,NA,0,1989.161621,1989.578125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
