Country letter code,ISO code,Country,In union,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
NA,4,Afghanistan,TRUE,270307,275686,283679,293275,298326,302445,304066,304881,304204,301456,296613,286116,273875,261122,249244,239224,230855,224999,222089,222616,226572,235648,248258,261937,274034,283222,287108,288289,288434,289371,292085,299951,308416,316068,321648,324645,320500,315761,311832,310035,310856,315957,321943,327443,330851,331315,332834,332501,331078,329428,327881,324904,322157,319000,314391,307884,299353,289178,278454,268550,260127,261362,263674,266722,269741,272228
NA,8,Albania,TRUE,8496,8919,9336,9745,10148,10544,10905,11264,11595,11866,12057,12172,12199,12182,12180,12230,12332,12481,12636,12737,12822,12709,12578,12462,12399,12409,12303,12260,12307,12462,12722,12955,13267,13605,13888,14068,13724,13306,12900,12576,12365,11913,11636,11537,11511,11412,11144,10623,9934,9227,8606,8039,7536,7123,6819,6627,6518,6537,6629,6706,6714,6738,6702,6631,6566,6532
NA,12,Algeria,TRUE,176212,183063,188086,192055,196367,201898,207266,213798,214834,215608,215781,214841,213613,212189,210790,209517,207980,206374,204617,202651,200420,197806,194815,191266,186991,181897,175656,168865,161375,153018,143737,133736,122817,111193,99098,86692,74106,61467,48822,44630,40693,36894,33419,30303,27631,25445,23681,22297,21319,20792,20726,21131,21911,22978,24208,25512,26876,28355,29850,31209,32338,32516,32262,31703,31054,30453
NA,24,Angola,TRUE,132383,134935,135837,135767,135903,136958,137984,139933,142534,145380,148271,150796,153777,157050,160516,164183,167212,170404,173907,177924,182562,187068,192530,198359,203824,208578,211699,214358,216946,220036,223954,227945,232866,238318,243788,248984,253157,257352,261562,265862,270334,274387,278762,283489,288675,294394,300469,307748,315037,322248,329242,335594,341700,347105,351205,353679,354377,353638,351732,349071,345912,354361,363061,372019,381225,390678
NA,660,Anguilla,TRUE,12,12,12,12,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,15,15,16,17,17,18,19,20,21,22,23,24,25,26,26,26,25,24,23,22,22,22,23,23,24,24,25,25,25,25,25,25,26,25,25,25,25,25,24,24
NA,28,Antigua and Barbuda,TRUE,172,176,178,178,178,178,177,176,175,174,173,173,172,171,168,165,162,156,147,135,123,118,115,113,114,118,123,129,135,139,141,149,155,157,156,154,156,158,161,163,165,166,166,166,165,165,165,164,164,164,164,163,162,162,161,161,161,161,161,162,163,163,164,164,164,164
NA,32,Argentina,TRUE,112439,114802,116940,118868,120632,122259,123544,124732,125871,127038,128307,129815,131701,133970,136623,139697,143532,147454,151764,156926,163115,169808,177707,185814,192541,196943,199154,199023,197475,196112,195961,197002,199022,201747,204585,207127,209433,211758,213913,215636,216797,217663,217564,216909,216366,216325,216740,217679,218761,219361,219103,218247,216595,214349,211850,209287,206719,204045,201133,197771,193854,194093,194043,193766,193374,192943
NA,51,Armenia,TRUE,16899,18184,19376,20371,21105,21560,21942,22058,21823,21241,20411,19443,18343,17219,16232,15485,14881,14407,13952,13436,12888,12471,12126,11847,11632,11478,11457,11450,11440,11411,11344,11233,11093,10899,10616,10225,9715,9125,8479,7805,7130,6439,5756,5109,4545,4092,3731,3536,3424,3369,3350,3363,3412,3480,3549,3605,3641,3661,3663,3651,3624,3582,3517,3435,3348,3262
NA,36,Australia,TRUE,28861,29558,30342,31048,31551,31878,32331,32807,33248,33568,33736,33867,33774,33584,33504,33650,34044,34081,34152,33947,33313,32430,31176,29755,28480,27528,26736,26232,25934,25669,25321,25228,24967,24548,24067,23607,23586,23416,23023,22405,21639,21163,20632,20006,19281,18491,17836,17444,17142,16961,16910,17014,17257,17584,17916,18205,18530,18817,19095,19417,19818,20073,20346,20608,20814,20937
NA,40,Austria,TRUE,18232,18710,19084,19560,20003,20329,20579,20723,20757,20682,20497,20199,19789,19264,18613,17843,16986,16031,15024,14036,13116,12438,11791,11200,10700,10312,9981,9783,9653,9500,9276,9130,8885,8571,8247,7949,7701,7474,7236,6948,6596,6264,5865,5422,5118,4848,4640,4477,4350,4241,4142,4076,4023,3982,3955,3945,3974,4018,4075,4148,4237,4289,4343,4395,4435,4460
