"In union","ISO code","Country","MW_1549_1970","MW_1549_1971","MW_1549_1972","MW_1549_1973","MW_1549_1974","MW_1549_1975","MW_1549_1976","MW_1549_1977","MW_1549_1978","MW_1549_1979","MW_1549_1980","MW_1549_1981","MW_1549_1982","MW_1549_1983","MW_1549_1984","MW_1549_1985","MW_1549_1986","MW_1549_1987","MW_1549_1988","MW_1549_1989","MW_1549_1990","MW_1549_1991","MW_1549_1992","MW_1549_1993","MW_1549_1994","MW_1549_1995","MW_1549_1996","MW_1549_1997","MW_1549_1998","MW_1549_1999","MW_1549_2000","MW_1549_2001","MW_1549_2002","MW_1549_2003","MW_1549_2004","MW_1549_2005","MW_1549_2006","MW_1549_2007","MW_1549_2008","MW_1549_2009","MW_1549_2010","MW_1549_2011","MW_1549_2012","MW_1549_2013","MW_1549_2014","MW_1549_2015","MW_1549_2016","MW_1549_2017","MW_1549_2018","MW_1549_2019","MW_1549_2020","MW_1549_2021","MW_1549_2022","MW_1549_2023","MW_1549_2024","MW_1549_2025","MW_1549_2026","MW_1549_2027","MW_1549_2028","MW_1549_2029","MW_1549_2030"
1,4,"Afghanistan",1926795.063,1968235.486,2008619.191,2052785.937,2092381.973,2130557.3878,2165870.5407,2195786.7431,2228228.6516,2255957.1016,2221999.235,2064834.4287,1748908.3298,1688628.2626,1695095.9408,1786922.591,1791385.1234,1762924.0835,1738676.5554,1769713.0051,1818654.1693,1757873.1762,1813389.6863,2166787.0199,2420741.8777,2598146.9449,2683345.6404,2763268.2342,2841899.2913,2927377.5645,3026894.4889,2966452.2852,3028504.7885,3322095.4346,3483695.2646,3556083.1456,3748590.1894,3889848.4727,3724090.3149,3917528.2931,4033291.601,4161835.219,4474401.3966,4706107.0544,4932212.5449,5234969.5767,5378855.9579,5586417.7308,5811885.2566,6041429.0611,6287484.1495,6592194.5521,6792063.8971,7031352.7435,7268598.4304,7507533.0279,7745738.7968,7987145.3069,8230301.1294,8458536.4578,8688546.7182
1,8,"Albania",313884.9025,323015.2519,332491.6126,342421.2802,353060.8944,364474.0105,376838.7744,389892.9556,403421.8295,417623.1257,432287.3532,447368.8565,462584.6916,477718.2221,492582.9833,506856.8157,520008.5448,531851.6376,542060.1944,550645.4438,554742.1931,557363.5109,559023.0777,559934.7912,560330.1575,560149.7898,559178.8642,557529.8364,554821.5417,551341.9921,546965.4157,541436.1117,535710.4187,529714.6493,523247.8881,516236.4113,508446.898,500099.6308,491270.006,483879.1397,476612.4092,470290.3003,464953.4256,460684.649,456833.3928,454282.7111,453134.7442,451743.6533,449889.381,448118.3226,446852.5405,445412.1633,442477.7245,441816.0807,439994.4307,439414.7962,437730.5275,434955.2514,432364.4385,429536.5512,427044.8054
1,12,"Algeria",1880521.4926,1922137.5784,1967708.5034,2018297.428,2074690.2132,2136682.3278,2239206.983,2340487.899,2390516.9012,2446703.8285,2506345.7376,2569270.9381,2636344.817,2708192.5438,2784505.7151,2865026.9371,2949824.3426,3035778.2476,3103570.8023,3173233.9265,3244191.6187,3316553.96,3389290.7392,3463665.9946,3539072.5255,3613865.4197,3690376.1271,3736941.7949,3787820.8175,3865632.991,3944269.0177,4019445.7048,4090289.1185,4156665.2155,4219745.3701,4281370.8472,4327594.2656,4385800.3677,4441527.2367,4601202.0698,4761597.2299,4920417.0137,5075293.4685,5224738.978,5366494.1351,5500111.4402,5623877.5559,5737592.6451,5841510.7021,5933085.9355,6012681.078,6082257.0432,6141863.4652,6192051.8417,6230512.5475,6263664.0194,6291678.3784,6316203.444,6337334.3052,6355770.6837,6374701.6148
1,16,"American Samoa",3337.6105,3450.9604,3576.4238,3700.0501,3823.7311,3901.6874,3950.3614,4002.2125,4054.181,4112.2283,4185.1853,4318.8998,4486.5229,4669.9374,4865.0968,5068.4179,5270.1654,5473.9797,5683.9416,5890.6765,6109.0612,6323.8362,6515.6486,6706.0516,6899.0316,7080.322,7234.7094,7381.8954,7514.9639,7637.6788,7736.5479,7765.2699,7745.3365,7726.7364,7690.0219,7636.8022,7572.0038,7483.9148,7378.154,7257.8283,7107.2857,6996.5192,6885.5409,6779.5036,6686.1205,6589.8002,6497.9799,6414.4409,6332.7008,6244.7402,6143.5981,6031.9764,5910.5313,5770.2251,5623.8129,5480.397,5343.1004,5210.2285,5092.3738,4986.4901,4900.6344
1,24,"Angola",998301.5184,1002747.9407,1020041.5431,1048116.0468,1078565.6128,1109305.5827,1140617.8653,1171343.8379,1205534.5169,1240307.371,1276309.7097,1314696.1828,1353286.9968,1393367.3605,1434813.4902,1475615.9466,1515729.9934,1553771.733,1591061.8331,1630089.5253,1670109.9632,1711386.3463,1750530.7681,1791685.3499,1834717.2656,1881609.5817,1928796.2598,1978469.4001,2031003.9209,2085926.2516,2143633.6717,2201539.3265,2279131.4591,2359886.1311,2443817.0613,2532626.8153,2623581.5692,2718728.6598,2817715.1034,2919339.3676,3025178.7864,3137381.945,3253711.2983,3373611.8756,3495511.378,3619452.0975,3744647.11,3877633.3119,4010251.2292,4142344.1819,4277288.6505,4403870.4065,4539865.0152,4672369.2622,4808755.0959,4948860.6637,5092771.9678,5240245.0692,5391390.3307,5545677.8716,5703242.245
1,28,"Antigua and Barbuda",5224.4529,5248.2119,5237.7533,5208.7762,5185.4212,5176.1674,5191.8314,5234.0116,5296.0694,5374.8422,5468.5323,5575.502,5693.8638,5824.3561,5963.4833,6092.6176,6211.6758,6322.4984,6420.3114,6499.5976,6557.3414,6589.143,6784.2885,7035.9521,7284.8017,7544.7605,7798.5609,8061.683,8304.9001,8525.7867,8734.791,8906.4615,8924.5488,8907.8601,8872.6403,8834.9798,8804.3733,8776.4818,8736.937,8664.4704,8574.627,8483.0615,8387.0784,8288.5785,8183.3111,8083.4409,7991.5388,7903.4847,7831.4267,7765.7456,7710.6707,7681.9643,7659.606,7675.7557,7714.6136,7755.3703,7816.004,7873.5306,7957.9747,8060.0748,8169.4919
1,31,"Azerbaijan",790591.001,801769.0551,814066.576,828766.652,844906.5704,862139.7664,880543.6107,897990.7041,916176.1923,933406.248,953350.4962,976614.5731,1001829.9672,1026822.6988,1052363.9942,1076382.2222,1098785.7666,1117925.5214,1133690.1516,1149832.0514,1147746.9004,1168722.9122,1192047.442,1220455.0961,1253506.5763,1290215.6229,1326790.0248,1359896.6109,1389742.5979,1418705.2569,1447857.6496,1477927.28,1506954.5285,1534949.1863,1562217.8475,1581573.7911,1599849.7141,1616778.3917,1632199.3767,1646395.8574,1660017.7403,1671492.0501,1681173.6152,1689114.3644,1696007.3525,1701418.8021,1705483.5678,1707839.592,1708132.2632,1707386.6633,1705736.4036,1702414.5957,1699902.4412,1698319.6807,1697390.5864,1696486.6981,1695148.3918,1693039.5578,1689873.3949,1685443.7883,1679148.9447
1,32,"Argentina",3625946.6057,3664131.0116,3702677.8223,3741896.044,3780724.9562,3818965.769,3852297.2649,3883694.0505,3914789.0267,3944863.9701,3977077.075,4012095.226,4053007.8586,4099080.9815,4147971.0415,4197370.8122,4247460.424,4299266.9784,4353325.7142,4407580.0077,4460454.477,4510199.4321,4557849.0163,4605861.8594,4653584.4056,4701517.7071,4748633.9273,4796666.7907,4844773.5191,4894708.4307,4948130.8145,5000491.0047,5033060.3407,5063703.1309,5093187.2258,5123080.7042,5152636.4553,5181609.7045,5208622.1005,5238926.2198,5270287.7235,5302522.7529,5334618.8912,5364768.1048,5394467.7817,5424301.3727,5453346.2289,5479417.4881,5503047.161,5524664.7057,5543216.3209,5554196.979,5561374.8242,5567712.8815,5573583.3504,5579245.7262,5586477.447,5592627.6563,5599263.5746,5607787.3663,5620858.3857
1,36,"Australia",1735959.6294,1797446.4076,1855478.1788,1887954.8591,1922274.824,1958841.4302,1990360.8019,2023363.299,2062966.4305,2104234.6536,2149301.8558,2200774.1406,2261967.0474,2325013.3819,2381325.4152,2437639.4476,2496291.7956,2539320.5826,2586403.8165,2635451.4269,2681430.3393,2720147.9096,2751519.426,2773706.8923,2787280.1364,2798967.1401,2814247.5305,2822680.776,2820186.6799,2816604.78,2812237.1323,2808074.5915,2804990.4356,2802080.858,2797668.4331,2792876.9437,2791783.0649,2820523.1246,2859831.589,2905597.7131,2945765.4237,2975232.2772,3008248.2302,3048047.8206,3086749.1691,3126316.8827,3171069.4725,3222739.4676,3275667.7739,3323506.9459,3375501.2027,3400106.1528,3418217.5914,3441581.0173,3468548.5466,3499054.3086,3530699.9491,3561413.9174,3591602.6571,3620069.8567,3645986.4997
1,40,"Austria",1143413.5884,1136599.6638,1125349.8816,1117635.4835,1110106.2498,1096495.7693,1082459.7783,1078296.8487,1078410.9356,1075910.2315,1075959.2494,1077219.1508,1084050.1712,1084726.5492,1090213.1835,1096583.1683,1103429.3213,1111041.8075,1117657.4215,1123492.2285,1121412.9698,1118772.8145,1122589.9861,1131138.0911,1132964.2505,1128572.3011,1131040.6256,1129267.0037,1119695.4199,1110570.7334,1104694.7484,1098585.2939,1109205.3885,1117870.8347,1127484.8905,1137784.1477,1145797.8983,1147652.9897,1149335.5479,1149401.5279,1145987.7793,1142473.2448,1139302.647,1137207.0955,1135754.5922,1136413.073,1140917.3044,1141752.7378,1139953.5776,1135807.703,1132604.7224,1127599.2743,1122972.474,1118868.0081,1116072.5199,1112641.9352,1109542.0789,1107169.4636,1104415.9174,1100838.306,1096251.5087
