In union,ISO code,Country,MW_1549_1970,MW_1549_1971,MW_1549_1972,MW_1549_1973,MW_1549_1974,MW_1549_1975,MW_1549_1976,MW_1549_1977,MW_1549_1978,MW_1549_1979,MW_1549_1980,MW_1549_1981,MW_1549_1982,MW_1549_1983,MW_1549_1984,MW_1549_1985,MW_1549_1986,MW_1549_1987,MW_1549_1988,MW_1549_1989,MW_1549_1990,MW_1549_1991,MW_1549_1992,MW_1549_1993,MW_1549_1994,MW_1549_1995,MW_1549_1996,MW_1549_1997,MW_1549_1998,MW_1549_1999,MW_1549_2000,MW_1549_2001,MW_1549_2002,MW_1549_2003,MW_1549_2004,MW_1549_2005,MW_1549_2006,MW_1549_2007,MW_1549_2008,MW_1549_2009,MW_1549_2010,MW_1549_2011,MW_1549_2012,MW_1549_2013,MW_1549_2014,MW_1549_2015,MW_1549_2016,MW_1549_2017,MW_1549_2018,MW_1549_2019,MW_1549_2020,MW_1549_2021,MW_1549_2022,MW_1549_2023,MW_1549_2024,MW_1549_2025,MW_1549_2026,MW_1549_2027,MW_1549_2028,MW_1549_2029,MW_1549_2030,MW_1549_2031,MW_1549_2032,MW_1549_2033,MW_1549_2034,MW_1549_2035,MW_1549_2036,MW_1549_2037,MW_1549_2038,MW_1549_2039,MW_1549_2040,MW_1549_2041,MW_1549_2042,MW_1549_2043,MW_1549_2044,MW_1549_2045,MW_1549_2046,MW_1549_2047,MW_1549_2048,MW_1549_2049,MW_1549_2050,MW_1549_2051,MW_1549_2052,MW_1549_2053,MW_1549_2054,MW_1549_2055,MW_1549_2056,MW_1549_2057,MW_1549_2058,MW_1549_2059,MW_1549_2060,MW_1549_2061,MW_1549_2062,MW_1549_2063,MW_1549_2064,MW_1549_2065,MW_1549_2066,MW_1549_2067,MW_1549_2068,MW_1549_2069,MW_1549_2070,MW_1549_2071,MW_1549_2072,MW_1549_2073,MW_1549_2074,MW_1549_2075,MW_1549_2076,MW_1549_2077,MW_1549_2078,MW_1549_2079,MW_1549_2080,MW_1549_2081,MW_1549_2082,MW_1549_2083,MW_1549_2084,MW_1549_2085,MW_1549_2086,MW_1549_2087,MW_1549_2088,MW_1549_2089,MW_1549_2090,MW_1549_2091,MW_1549_2092,MW_1549_2093,MW_1549_2094,MW_1549_2095,MW_1549_2096,MW_1549_2097,MW_1549_2098,MW_1549_2099,MW_1549_2100
1,4,Afghanistan,2035826.886,2080266.82,2126119.492,2174988.996,2217080.345,2257114.244,2293112.396,2327590.528,2360831.811,2356914.488,2262878.386,2042356.308,1875211.515,1860091.952,1907643.945,1952349.795,1950682.547,1939985.669,1955561.776,2004968.369,2022960.007,2043138.304,2202072.973,2458104.401,2648456.754,2753799.516,2836221.862,2914466.003,2994893.251,3078700.477,3089814.035,3089724.303,3233044.994,3415878.001,3520543.164,3630575.608,3770804.39,3836352.742,3918149.994,4062799.261,4186133.874,4351355.424,4542560.483,4715943.807,4909574.987,5088184.431,5245582.865,5424734.042,5617443.004,5821543.56,6044098.54,6226839,6353045.414,6521236.12,6733040.421,6941945.708,7151214.983,7360361.984,7567675.938,7785393.12,8016186.657,8251053.037,8483474.209,8715181.758,8938504.074,9149726.522,9358866.436,9566586.363,9768610.442,9972410.544,10181801.27,10379606.23,10552954.33,10715783.95,10872064.57,11015845.44,11158861,11294094.29,11417412.47,11542743.7,11651186.28,11865498.48,12085860.08,12319870.74,12557410.06,12797437.34,13042268.76,13290499.97,13530138.94,13751529.58,13964607.64,14171803.43,14380616.08,14594797.88,14809289.95,15026492.55,15227431.42,15410793.11,15599317.73,15788025.85,15975617.35,16154169.36,16318709.83,16489378.57,16652011.31,16790295.94,16921252.3,17057874.49,17186456.61,17322822.19,17464966.24,17580760.97,17680249.67,17775753.55,17880531.57,17987552.52,18072099.06,18155585.08,18244993.55,18327588.17,18417054.34,18504384.36,18580183.37,18654025.7,18724052.22,18787239.22,18844460.74,18900275.81,18955323.91,19008628.58,19053027.21
1,8,Albania,305185.7648,314178.0035,323405.4656,332969.6073,343128.8749,353917.1995,365350.845,377482.7873,390304.2698,404083.161,418717.8432,433907.5987,449480.1185,465352.7554,481629.9582,497812.7483,513617.2792,529600.9864,546117.4304,559552.9814,564892.2595,567617.5354,569254.0594,570301.0159,571575.0065,572771.8618,572857.1847,571171.5268,567651.9361,562727.8741,557103.867,553364.5435,551926.9882,549876.5362,546062.8011,540398.3218,532944.6173,523813.9346,513194.7155,502680.8557,491039.657,483347.2534,480043.47,476808.0588,473875.091,471575.2921,471110.5127,471186.7869,470083.6095,467395.3479,464377.3939,459908.276,455573.1058,452842.451,448700.4507,443831.215,438698.9478,433308.5941,427811.8167,422386.7977,416995.7852,411558.6408,406061.8192,400374.3951,394431.2521,388162.0946,381394.8661,374093.5652,366155.3909,357244.6327,347262.1183,336358.5281,324854.107,313122.2907,301442.1265,289874.2806,278605.319,268203.0712,258913.49,250387.6191,242188.4456,236347.66,231702.6308,227674.201,223813.1545,220194.8322,216906.7773,213885.4096,210929.1956,207800.2159,204367.2641,200585.643,196224.4756,191206.2045,185887.223,180827.8885,176358.0968,172378.112,168872.9426,165727.2082,162747.2188,159859.9529,157038.9961,154338.3193,151697.7448,149153.5764,146787.0796,144512.9309,142326.8588,140273.457,138291.6793,136372.9527,134534.2,132780.5606,131138.9549,129606.4881,128166.5131,126825.4504,125540.4351,124275.9844,123033.9904,121785.9203,120501.1327,119169.6138,117802.0952,116392.2518,114927.6196,113414.8654,111870.7847,110320.9204,108783.8165
1,12,Algeria,1870911.51,1911679.322,1956360.027,2006407.204,2062101.427,2139448.924,2235170.314,2320002.602,2379806.189,2444840.88,2514666.545,2589913.148,2671068.2,2758412.299,2851396.482,2949384.404,3050608.754,3150780.404,3250804.877,3351762.676,3453844.638,3557264.907,3654058.87,3748434.286,3847825.829,3950011,4054726.275,4162083.218,4275747.339,4394478.514,4512130.821,4627024.248,4739347.831,4849550.613,4958464.643,5065087.8,5169190.045,5272799.54,5376744.437,5478745.247,5575495.342,5664961.29,5745742.467,5816543.195,5877096.176,5928167.757,5971101.462,6005296.653,6027288.443,6038937.302,6044429.797,6046665.153,6044780.651,6036197.605,6022947.592,6009861.473,5995997.955,5978803.913,5957771.546,5934577.913,5911784.808,5890976.872,5875109.142,5865331.877,5862275.583,5868759.654,5883720.149,5909452.102,5946612.965,5995472.475,6056168.351,6125942.134,6205498.722,6292484.965,6387308.442,6490830.872,6600560.002,6716492.349,6844518.019,6980617.911,7113440.984,7205813.472,7293004.396,7372712.388,7440478.343,7493823.11,7532115.464,7554228.367,7559723.094,7551966.631,7533262.627,7504682.622,7464197.86,7413623.75,7354790.95,7288662.269,7220289.9,7151440.717,7087088,7029465.798,6977433.512,6936057.98,6906420.147,6884939.62,6870998.027,6864371.313,6863451.154,6867252.066,6875172.463,6885435.112,6896543.942,6906477.653,6914223.681,6919525.405,6921428.349,6919249.04,6912340.293,6899549.653,6880432.083,6854442.496,6822907.489,6786075.155,6743740.84,6698203.443,6648524.336,6595675.588,6541817.204,6487590.296,6433922.424,6381728.96,6332361.975
1,16,American Samoa,3321.2047,3437.5301,3562.2765,3686.5684,3803.2242,3868.2074,3923.7047,3980.3095,4039.0628,4110.4597,4214.3111,4364.4112,4542.8554,4731.5029,4928.8729,5130.6385,5335.6173,5543.1541,5754.3353,5972.4571,6166.3944,6346.4273,6515.0735,6681.8878,6842.4336,6992.45,7126.8006,7246.4293,7355.6651,7451.6491,7499.9971,7491.185,7457.9109,7413.6434,7356.5679,7287.8781,7205.8343,7109.4798,6994.4216,6855.802,6737.2212,6655.5357,6576.2611,6488.2756,6394.1673,6291.5698,6174.2062,6045.7603,5901.824,5734.3989,5604.9441,5501.6611,5370.8148,5194.3648,4992.1749,4807.9736,4632.4378,4474.1662,4337.4982,4220.9195,4128.1104,4059.8539,4014.7078,3986.1632,3969.515,3963.4191,3967.5203,3980.6176,3999.4177,4022.5129,4040.7866,4058.3572,4089.4788,4134.0787,4194.2877,4268.1753,4354.4878,4453.5627,4555.8784,4648.9331,4720.2359,4740.933682,4739.742963,4720.564875,4685.178268,4635.839038,4572.666031,4499.956136,4426.490809,4350.427898,4272.49615,4196.637229,4121.267619,4048.092182,3978.864966,3912.215264,3847.886001,3784.741574,3721.935148,3663.65749,3635.032582,3636.355499,3641.728733,3653.052607,3670.407908,3688.717989,3705.019778,3720.871858,3734.662843,3744.910458,3752.907147,3754.949148,3753.730301,3746.550262,3733.352246,3715.153355,3690.394975,3663.019379,3631.823815,3597.496071,3561.187619,3523.354932,3484.175562,3444.243608,3406.012155,3369.181226,3333.287814,3298.526549,3265.018649,3234.640861,3207.197468
1,24,Angola,997630.6108,1004367.646,1024975.945,1054176.145,1084767.053,1115441.184,1145690.886,1177643.057,1212065.554,1247456.809,1285057.32,1324367.236,1365042.638,1408193.408,1452432.586,1496037.732,1537910.469,1577934.114,1618542.049,1660745.056,1703848.389,1745338.133,1785703.397,1827674.002,1872408.59,1918945.526,1966519.116,2016829.455,2069972.849,2125926.096,2183982.048,2243858.628,2323284.448,2405733.462,2492243.003,2582361.057,2675810.904,2773664.82,2875147.061,2980378.976,3091696.314,3209404.725,3331421.074,3456284.326,3579195.381,3699795.119,3825270.67,3954848.547,4084067.841,4214708.091,4343459.81,4473574.659,4608136.354,4744603.346,4885267.712,5030185.743,5180077.737,5335325.157,5496193.046,5661684.748,5831463.479,6006067.906,6185127.761,6368920.013,6557065.063,6748096.931,6942384.381,7140450.899,7342472.129,7548354.171,7757585.662,7970305.855,8187100.255,8408742.467,8634057.632,8861033.711,9091933.464,9326421.387,9562752.319,9801623.503,10040013.59,10329377.1,10619580.21,10910317.38,11200752.03,11490157.94,11776069.81,12059107.89,12340195.18,12618066.13,12893033.45,13166126.04,13434401.32,13698716.21,13961484.39,14221377.65,14478953.65,14733826.99,14986399.59,15237706.53,15486726.17,15732189.37,15975006.07,16217002.05,16456454.73,16689937.73,16917379.87,17142093.07,17364354.35,17579412.74,17792549.8,18003358.16,18206850.53,18405374.83,18600825.75,18793924.21,18982822.7,19166259.18,19346201.04,19524318.05,19696755.57,19863048.93,20023611.8,20178572.21,20330150.65,20477836.44,20619389.44,20754391.86,20885593.87,21011430.55,21129177.95
1,28,Antigua and Barbuda,5262.6875,5290.7418,5300.4373,5305.1334,5319.2283,5355.0976,5414.563,5496.3972,5597.3753,5712.5759,5840.8942,5980.9101,6128.1104,6283.0825,6391.8327,6444.6929,6487.949,6519.9303,6536.5013,6535.1652,6516.5178,6598.5601,6822.2195,7077.6418,7339.2247,7606.2368,7875.9773,8135.6959,8372.3255,8592.3643,8785.6042,8936.8723,8937.0024,8911.1213,8872.1438,8833.9471,8799.2895,8761.111,8704.4237,8622.6107,8529.0282,8428.5725,8326.7333,8217.1943,8100.4365,7981.9851,7865.943,7757.911,7656.7772,7557.909,7472.4647,7401.6869,7346.3776,7316.9222,7301.4701,7294.5438,7291.6585,7294.6117,7314.5314,7343.5637,7378.2478,7416.3692,7449.9738,7487.2922,7532.4963,7574.9604,7610.1823,7644.211,7685.4127,7733.9029,7776.1926,7824.3565,7887.7046,7943.9582,7995.3641,8049.1163,8102.9644,8164.8485,8246.9863,8351.4201,8446.5221,8329.519683,8233.475169,8146.154781,8064.956612,7988.512573,7915.152088,7835.237852,7727.104307,7600.650198,7497.097336,7414.861717,7340.48757,7283.365996,7235.947936,7180.366277,7129.003437,7081.484113,7039.355483,6997.87641,6933.72641,6856.239213,6775.53265,6696.815024,6619.068752,6542.425476,6467.464923,6390.921287,6314.242734,6238.733918,6164.466457,6094.088001,6026.947572,5960.811451,5897.561958,5838.40118,5780.642872,5723.874354,5670.891517,5621.083046,5572.677127,5524.010182,5475.073199,5429.079086,5384.129927,5338.614769,5293.03353,5247.948425,5204.151824,5160.995696,5117.33723
1,31,Azerbaijan,775926.396,787517.5846,800980.2385,816381.2381,832970.7229,850538.0771,871856.2785,897773.0779,923824.0683,946234.7002,965772.0806,988655.254,1012384.243,1035055.179,1059932.242,1084284.588,1104854.595,1121153.452,1135723.921,1140745.599,1142853.918,1154514.966,1173576.48,1201883.086,1240568.935,1285581.553,1329557.255,1370061.473,1409266.053,1442470.706,1469541.514,1496596.427,1521984.075,1546718.819,1570444.431,1591850.498,1610952.642,1626745.864,1638837.896,1647189.78,1651896.666,1654817.961,1657203.117,1657700.168,1658156.042,1657995.745,1648969.585,1634266.594,1621642.557,1615953.909,1615331.633,1614101.047,1613912.429,1607508.24,1601264.9,1600921.023,1598627.412,1595556.703,1592263.405,1588181.192,1582485.85,1575491.775,1568537.776,1560293.165,1550283.944,1538404.283,1523797.694,1507497.945,1488873.589,1468766.99,1447753.019,1426587.193,1406907.717,1388087.975,1371910.199,1359609.176,1351144.267,1347375.644,1347591.046,1349534.455,1352629.609,1356710.041,1361657.823,1364927.89,1365014.788,1361333.642,1355225.577,1347716.256,1338230.086,1326351.469,1311714.789,1296894.044,1282555.421,1267840.754,1253261.412,1239085.447,1227522.322,1219622.381,1216140.968,1211529.662,1204585.625,1200057.081,1197303.888,1195784.427,1194977.623,1194327.013,1193489.182,1192259.493,1190424.065,1187801.276,1184234.84,1179817.535,1174640.722,1168836.705,1162428.633,1155489.977,1148312.576,1141048.395,1133786.21,1126618.398,1119552.101,1112707.517,1106161.369,1099831.583,1093706.503,1087781.223,1082134.543,1076803.788,1071677.761,1066784.1,1062116.012
1,32,Argentina,3645052.995,3683739.382,3723033.617,3762641.681,3801598.999,3837907.451,3871160.739,3902550.909,3933001.914,3965199.6,4001528.652,4042736.468,4089402.75,4141550.83,4197214.609,4253519.687,4309047.661,4365171.68,4422772.859,4480142.033,4535282.643,4586080.681,4634288.261,4682662.902,4731280.937,4779563.757,4827344.297,4874891.324,4922716.833,4972470.958,5022747.375,5072277.33,5101177.015,5129365.928,5157393.596,5185258.684,5212522.702,5239601.755,5268012.988,5296521.319,5324151.89,5352483.943,5380505.482,5407971.874,5435847.923,5464751.598,5493485.808,5519415.763,5541715.239,5560361.24,5574184.957,5579476.541,5581788.989,5583922.115,5584559.222,5583645.877,5580655.816,5574514.757,5568757.353,5566198.217,5566765.542,5570169.482,5574569.467,5582670.637,5596109.143,5612014.366,5627864.684,5641147.81,5652732.776,5663614.548,5668985.193,5668917.446,5666008.938,5661212.971,5655273.128,5645389.292,5634854.895,5625995.036,5618184.38,5610704.2,5601368.621,5547486.599,5493476.155,5439105.117,5384084.192,5325581.992,5264472.453,5202920.315,5136609.107,5065643.053,4992328.622,4916375.478,4843022.24,4769887.254,4690075.81,4607311.202,4529616.052,4458811.506,4394800.074,4343526.707,4314694.731,4299197.107,4287495.503,4277697.514,4264114.809,4247768.589,4228575.879,4206510.705,4181813.554,4154577.69,4124778.03,4092502.946,4057939.856,4021247.066,3982775.138,3942906.053,3901845.732,3859791.422,3817144.084,3774391.292,3731901.34,3690038.611,3649056.718,3608941.463,3569735.995,3531622.064,3494803.741,3459495.619,3425730.885,3393363.345,3362413.511
1,36,Australia,1768764.606,1828568.23,1873866.188,1907308.952,1942793.488,1976876.359,2009171.047,2045501.49,2085962.144,2129155.422,2177698.259,2234607.542,2297561.098,2358598.314,2416560.359,2475676.828,2537016.905,2583113.183,2632384.282,2681018.091,2724649.496,2760712.824,2788875.619,2807975.816,2820851.954,2834654.336,2846760.428,2849819.368,2847665.813,2844901.806,2841090.834,2837545.678,2834501.819,2830760.088,2826071.249,2823023.065,2825873.66,2853181.727,2888664.346,2924374.05,2951933.124,2975994.843,3005056.645,3036643.191,3067848.805,3101608.323,3141478.438,3184789.218,3224746.351,3257401.029,3269622.971,3271182.19,3282442.111,3299154.877,3313708.685,3325813.811,3338720.263,3351029.304,3362487.963,3372481.607,3380951.117,3387800.777,3392633.722,3396011.849,3399105.419,3403214.733,3409233.395,3416292.005,3423947.643,3431453.437,3439133.382,3449682.648,3464041.783,3481085.056,3499906.118,3521826.562,3548854.921,3579576.063,3613948.854,3651059.466,3689112.117,3717076.109,3746122.97,3774183.893,3800106.503,3822620.028,3840028.74,3852953.735,3864709.607,3875790.474,3885892.536,3896558.22,3907829.144,3919800.9,3932095.114,3944789.892,3959358.225,3976797.213,3996712.557,4017749.084,4038555.707,4057258.602,4074523.141,4091983.484,4109689.56,4127743.634,4146272.368,4165922.093,4186602.117,4207697.952,4229221.697,4252103.929,4275657.443,4299304.002,4322293.715,4343863.54,4365514.49,4387566.712,4410188.067,4432169.407,4453033.141,4473576.061,4492986.117,4510959.383,4526904.762,4541810.423,4557761.107,4574866.816,4591321.542,4606412.492,4621471.337
1,40,Austria,1140005.743,1135144.236,1125698.017,1118111.537,1107532.454,1093718.79,1084671.688,1082705.362,1081559.822,1080392.428,1081123.496,1085264.773,1089078.97,1092235.559,1098223.049,1104880.559,1112149.477,1119288.215,1125547.647,1127471.508,1125159.098,1125797.857,1132012.216,1137177.059,1135837.924,1134828.385,1135120.135,1129378.128,1119965.511,1112417.552,1106391.132,1102202.092,1111840.996,1120981.029,1130943.873,1140114.921,1145072.408,1146866.535,1147771.131,1146131.115,1142690.959,1139366.85,1136744.918,1135070.818,1134753.928,1137425.328,1140207.789,1139862.487,1137048.347,1133553.592,1131562.583,1132156.612,1139510.63,1142925.985,1135884.007,1127956.4,1121066.587,1114871.723,1108636.575,1101752.333,1093150.636,1082355.275,1070338.379,1058867.845,1048071.194,1037871.306,1028367.179,1018748.589,1009128.177,999431.0276,989874.6934,981039.5307,972703.8773,964550.5993,956869.2727,950500.4249,945375.9621,941168.6074,937868.3963,935380.6025,933551.694,933526.8776,933472.9066,932058.7561,929488.8361,925996.93,922084.2905,917875.3894,913418.7584,908873.4219,904043.2625,899087.7516,894097.7692,888872.246,883454.1218,877443.7469,870454.6387,863111.1222,856308.9007,850270.1429,844776.9356,839091.5416,833692.1284,830026.9559,827531.5579,825231.8249,823196.4278,821090.2985,819029.2679,817332.2107,816035.2743,814910.4339,813703.8821,812389.2272,810871.5523,809205.8143,807545.6205,805857.7529,803836.2274,801354.3237,798704.4232,795914.6511,792945.762,789784.5127,786445.5239,782885.4749,779102.1742,775212.7199,771388.0512,767750.4645,764259.3203
