"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",254356.22,259965.824,265724.868,272251.66,278787.4614,284454.4701,289558.0507,293577.6456,297903.3074,302585.2321,300727.566,283614.157,244929.1882,240517.8448,243564.4332,255636.4534,249859.6142,241205.1301,233179.2936,234258.5583,239890.7384,235381.2943,243799.2525,293202.1941,329705.4641,356447.0629,370971.2277,385097.9231,399457.4846,414998.3375,432557.2379,426657.1242,438735.917,484725.2464,511957.7938,526208.1974,557080.2277,581481.2856,563432.3692,592698.0503,611333.694,628540.4855,669642.0646,699491.5607,727279.2576,764678.1285,779074.9086,800851.581,824180.564,848781.2624,877171.858,918782.9484,951959.3035,995845.4047,1045356.9069,1099635.164,1156554.2795,1216306.1995,1279430.4646,1345104.7921,1412787.1548
"",TRUE,8,"Albania",51706.6741,53397.5917,55363.3415,57594.6073,59914.3785,62301.2274,64425.3552,66106.9563,67170.8835,67706.5736,67632.0428,67444.7842,67469.0067,68082.9542,69546.5528,72040.5396,75853.7217,79995.7709,83959.8778,87859.7019,91508.0082,94685.9698,98130.5264,101891.0753,105535.3129,108805.137,110882.4309,111786.6884,111377.134,110264.965,108311.2928,106036.9782,103973.1757,102423.699,100700.8207,99175.443,97804.7079,96121.7027,93550.432,90612.6592,87217.3952,84202.3296,81391.4816,79228.759,77004.5492,75349.048,73948.2024,73165.2324,72513.64,72770.0937,73718.3711,74252.967,74704.369,75718.2837,76597.72,78418.1927,81244.528,83881.4515,87072.01,89517.9248,91089.0359
"",TRUE,12,"Algeria",301258.44,307058.856,311719.08,315605.856,318702.312,321345.888,328930.296,335489.952,335695.4557,337464.0718,341155.3682,347431.2381,357024.9119,370411.3067,387321.3502,407449.499,430413.9193,455238.6019,478494.7621,502445.6866,526275.1409,549399.1274,571437.0911,591694.8555,609746.5796,625637.5592,640541.9819,640267.6346,642681.4319,664051.9461,688904.9375,715328.9293,741923.9692,767206.9742,790484.2875,811918.2374,829461.4743,848363.8571,866515.6973,893228.9034,920587.2906,949269.5232,978662.4789,1010813.4611,1046598.2893,1085718.704,1127146.2142,1169799.5146,1210532.4019,1247190.4928,1278405.7679,1303352.6768,1321263.8827,1331627.0577,1334524.6837,1330716.0124,1320436.0528,1307161.2787,1291988.4527,1274843.5134,1255328.959
"",TRUE,16,"American Samoa",543.1221,560.2354,576.448,594.462,614.2774,623.7976,624.2535,626.4192,629.3826,622.6616,630.7028,668.7056,717.2611,765.1067,814.7727,862.8567,901.056,946.9111,990.4038,1037.2722,1079.3394,1123.0891,1152.1897,1191.6796,1236.6872,1300.045,1368.8375,1445.4449,1519.432,1584.4169,1630.0642,1646.8936,1636.6176,1624.7751,1604.2322,1572.6492,1537.1935,1498.672,1456.3092,1420.3632,1386.8736,1354.9833,1343.6119,1324.4734,1299.9468,1263.0237,1224.6732,1166.2022,1107.1362,1044.3649,992.6437,941.8509,905.1422,891.7467,904.6753,949.2453,1029.9861,1129.8499,1231.8621,1311.4279,1338.6655
"",TRUE,24,"Angola",149058.6119,153944.4742,159981.2765,166751.9401,172681.7956,177189.3058,180348.7957,182019.0127,182980.7361,183604.9042,184457.3086,185941.8822,187795.3763,190005.3547,191551.1593,191943.3735,195416.1664,199329.2473,204521.5564,212147.2085,222384.2444,231277.0098,240733.1052,250635.0648,260868.2024,271552.2946,282272.5112,293240.3486,304210.1514,314884.3613,325238.5544,335324.8846,347519.1324,359737.0959,371988.4096,384334.6269,396025.496,407293.8844,419129.3275,431989.0348,446505.0403,463447.0521,482819.2468,503829.4325,525884.9779,548913.9698,572919.087,598746.1675,625427.2102,652910.3102,681675.3572,709659.557,738513.951,766268.3923,793671.6432,819954.5273,845068.3525,869263.5444,892008.9114,913952.576,935607.9754
"",TRUE,28,"Antigua and Barbuda",936.9173,921.9035,899.5781,875.5449,849.2114,824.8713,802.5051,786.3306,775.0767,774.1005,782.6929,803.1368,832.3299,868.9899,909.4916,959.6697,1004.7672,1052.4242,1102.0268,1147.1757,1197.7292,1245.5714,1301.0406,1366.8994,1442.4561,1523.629,1605.8328,1680.6169,1758.6975,1817.719,1871.7854,1935.8911,1970.6679,1980.3412,1975.5171,1962.5497,1935.1639,1908.1081,1853.7331,1781.2116,1714.4014,1654.0054,1607.283,1575.0809,1553.2586,1528.7306,1498.6187,1463.5261,1462.5439,1468.6215,1481.3391,1501.6079,1532.9452,1551.2314,1568.4168,1585.3683,1616.4568,1617.5817,1626.8523,1650.3038,1681.5398
"",TRUE,31,"Azerbaijan",159880.869,167032.1981,173803.2557,180286.1607,184161.3634,185385.9003,178757.6392,167230.2408,150430.7451,128302.6776,107162.8724,92672.1759,87822.0682,93836.8909,107619.7637,124374.1683,140609.0589,154060.6515,164175.7855,173063.605,181154.1379,194946.6899,210790.5594,228590.6699,247582.3053,262999.0442,277499.3981,289605.1048,299455.8407,306661.9255,309744.3129,309743.3792,307723.3356,304656.3309,301909.8135,297598.2211,292791.8268,287340.6015,280945.1983,273888.6327,268783.1835,265304.3345,264337.9641,266328.3107,271185.9168,278366.442,287389.3628,297597.487,308289.4168,319259.2062,330333.6332,341119.3279,351681.4333,361358.5445,369028.5475,373757.1075,375032.8181,372486.1136,366434.832,357957.1833,347046.5405
"",TRUE,32,"Argentina",638151.7999,637053.5682,638028.4713,640649.3929,645011.8275,650911.8783,658081.5199,667166.4917,678296.8619,691219.932,705674.3959,721530.8197,738164.299,755192.7992,770723.4259,782387.5234,793186.4362,803201.0182,811943.3051,820984.3882,831221.7669,839519.9284,846942.2119,855265.5058,859923.455,863598.6351,866168.1597,868156.3061,870884.1008,876868.7555,883067.017,889569.2232,891969.3681,892150.0913,892505.2232,896441.7015,904405.8027,917206.4879,933283.0315,953729.481,976475.2394,997972.8435,1018559.6885,1038185.6116,1054239.4636,1065664.1149,1073821.3117,1076368.1628,1074328.4556,1069185.9185,1062351.5249,1054829.7629,1049676.0298,1047727.4023,1049016.516,1052735.6193,1060740.8911,1070107.6317,1080297.9788,1091737.2372,1103773.5734
"",TRUE,36,"Australia",288983.279,293543.2388,300198.0293,305418.0153,312971.288,322547.7731,330477.041,337064.2826,344237.4907,354505.7421,369978.5165,386680.1931,411491.8107,441657.6984,463581.8026,481461.1094,499769.3112,506110.2378,507755.5981,514113.1313,520610.9209,525593.0218,531290.9194,537857.2228,542974.0635,549517.3318,558756.8962,567514.4646,573446.9264,576286.2751,574779.2134,569015.2933,560809.4272,552345.112,547084.7511,547271.0295,555044.6221,574026.7227,592084.2451,603839.7407,608389.3457,604729.2251,597711.83,594752.9979,596325.1483,602839.0296,615829.8132,635832.923,661260.1632,687961.6757,715796.5933,737216.8592,754721.3647,769267.1244,781857.9536,794461.3756,805842.2871,814288.562,820018.6791,824201.3716,827122.6469
"",TRUE,40,"Austria",178922.6736,173036.8481,168267.1641,164319.8122,165460.3563,181833.4638,200308.0522,215963.95,224526.7615,229646.7919,220264.4899,199837.4952,188995.4234,191135.3447,192677.5936,191800.6725,199741.1757,200823.09,195909.2328,192450.6043,192994.9299,196129.2119,204193.4581,211182.3212,217620.0133,223307.405,228629.6996,233065.9073,238164.7012,243778.7722,248126.3193,250370.75,254080.9924,255977.8262,256947.0325,256876.1363,254568.5796,250800.8298,245493.0339,237682.9,230117.6823,224490.9469,218560.3399,214242.5255,212666.4154,212542.9147,216751.5428,223579.6967,230861.8193,236197.9497,241208.7374,242403.5401,242133.0814,241380.7864,242657.2235,244063.2092,246030.8132,247881.4513,248899.7605,248652.6985,246635.7326
