iso.country,groupname,iso.group
4,Eastern Mediterranean,
8,Europe,
12,Africa,
20,Europe,
24,Africa,
28,Americas,
31,Europe,
32,Americas,
36,Western Pacific,
40,Europe,
44,Americas,
48,Eastern Mediterranean,
50,South-East Asia,
51,Europe,
52,Americas,
56,Europe,
64,South-East Asia,
68,Americas,
70,Europe,
72,Africa,
76,Americas,
84,Americas,
90,Western Pacific,
96,Western Pacific,
100,Europe,
104,South-East Asia,
108,Africa,
112,Europe,
116,Western Pacific,
120,Africa,
124,Americas,
132,Africa,
140,Africa,
144,South-East Asia,
148,Africa,
152,Americas,
156,Western Pacific,
170,Americas,
174,Africa,
178,Africa,
180,Africa,
184,Western Pacific,
188,Americas,
191,Europe,
192,Americas,
196,Europe,
203,Europe,
204,Africa,
208,Europe,
212,Americas,
214,Americas,
218,Americas,
222,Americas,
226,Africa,
231,Africa,
232,Africa,
233,Europe,
242,Western Pacific,
246,Europe,
250,Europe,
262,Eastern Mediterranean,
266,Africa,
268,Europe,
270,Africa,
276,Europe,
288,Africa,
296,Western Pacific,
300,Europe,
308,Americas,
320,Americas,
324,Africa,
328,Americas,
332,Americas,
340,Americas,
348,Europe,
352,Europe,
356,South-East Asia,
360,South-East Asia,
364,Eastern Mediterranean,
368,Eastern Mediterranean,
372,Europe,
376,Europe,
380,Europe,
384,Africa,
388,Americas,
392,Western Pacific,
398,Europe,
400,Eastern Mediterranean,
404,Africa,
408,South-East Asia,
410,Western Pacific,
414,Eastern Mediterranean,
417,Europe,
418,Western Pacific,
422,Eastern Mediterranean,
426,Africa,
428,Europe,
430,Africa,
434,Eastern Mediterranean,
440,Europe,
442,Europe,
450,Africa,
454,Africa,
458,Western Pacific,
462,South-East Asia,
466,Africa,
470,Europe,
478,Africa,
480,Africa,
484,Americas,
492,Europe,
496,Western Pacific,
498,Europe,
499,Europe,
504,Eastern Mediterranean,
508,Africa,
512,Eastern Mediterranean,
516,Africa,
520,Western Pacific,
524,South-East Asia,
528,Europe,
548,Western Pacific,
554,Western Pacific,
558,Americas,
562,Africa,
566,Africa,
570,Western Pacific,
578,Europe,
583,Western Pacific,
584,Western Pacific,
585,Western Pacific,
586,Eastern Mediterranean,
591,Americas,
598,Western Pacific,
600,Americas,
604,Americas,
608,Western Pacific,
616,Europe,
620,Europe,
624,Africa,
626,South-East Asia,
634,Eastern Mediterranean,
642,Europe,
643,Europe,
646,Africa,
659,Americas,
662,Americas,
670,Americas,
674,Europe,
678,Africa,
682,Eastern Mediterranean,
686,Africa,
688,Europe,
690,Africa,
694,Africa,
702,Western Pacific,
703,Europe,
704,Western Pacific,
705,Europe,
706,Eastern Mediterranean,
710,Africa,
716,Africa,
724,Europe,
728,Africa,
729,Eastern Mediterranean,
740,Americas,
748,Africa,
752,Europe,
756,Europe,
760,Eastern Mediterranean,
762,Europe,
764,South-East Asia,
768,Africa,
776,Western Pacific,
780,Americas,
784,Eastern Mediterranean,
788,Eastern Mediterranean,
792,Europe,
795,Europe,
798,Western Pacific,
800,Africa,
804,Europe,
807,Europe,
818,Eastern Mediterranean,
826,Europe,
834,Africa,
840,Americas,
854,Africa,
858,Americas,
860,Europe,
862,Americas,
882,Western Pacific,
887,Eastern Mediterranean,
894,Africa,
