Country or area,ISO Code,"Country
Letter Code",Region Code,Region,Major area Code,Major area,"Developed
region",Less Developed Regions,"Least developed
country","Less developed regions, excluding least developed countries","Total population of less than 90,000 by mid-2015",FP2020 country,Sexual activity among unmarried,Female sterilization,"Sub Saharan
Africa"
Afghanistan,4,AFG,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,0.7,No
Albania,8,ALB,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,5.5,No
Algeria,12,DZA,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,No,0,0.5,No
American Samoa,16,ASM,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
Andorra,20,AND,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,1,0,No
Angola,24,AGO,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,No,1,0.2,Yes
Anguilla,660,AIA,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,3.2,No
Antigua and Barbuda,28,ATG,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Argentina,32,ARG,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,3.5,No
Armenia,51,ARM,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,0.2,No
Aruba,533,ABW,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Australia,36,AUS,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,No,No,1,6.3,No
Austria,40,AUT,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,6.1,No
Azerbaijan,31,AZE,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,0.7,No
Bahamas,44,BHS,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Bahrain,48,BHR,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,0,No
Bangladesh,50,BGD,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,3.8,No
Barbados,52,BRB,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,4.8,No
Belarus,112,BLR,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,2.3,No
Belgium,56,BEL,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,8.1,No
Belize,84,BLZ,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,21.4,No
Benin,204,BEN,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.1,Yes
Bermuda,60,BMU,905,Northern America,905,Northern America,Yes,No,No,No,Yes,No,1,0,No
Bhutan,64,BTN,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,7.2,No
Bolivia (Plurinational State of),68,BOL,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,1,7.8,No
Bosnia and Herzegovina,70,BIH,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0.3,No
Botswana,72,BWA,913,Southern Africa,903,Africa,No,Yes,No,Yes,No,No,1,2.2,Yes
Brazil,76,BRA,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,28.4,No
British Virgin Islands,92,VGB,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Brunei Darussalam,96,BRN,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,0,0,No
Bulgaria,100,BGR,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,2.5,No
Burkina Faso,854,BFA,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.2,Yes
Burundi,108,BDI,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.8,Yes
Cabo Verde,132,CPV,914,Western Africa,903,Africa,No,Yes,No,Yes,No,No,1,15.2,Yes
Cambodia,116,KHM,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,3.1,No
Cameroon,120,CMR,911,Middle Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,0.6,Yes
Canada,124,CAN,905,Northern America,905,Northern America,Yes,No,No,No,No,No,1,10.9,No
"Bonaire, Sint Eustatius and Saba",535,BES,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Cayman Islands,136,CYM,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Central African Republic,140,CAF,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.3,Yes
Chad,148,TCD,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.2,Yes
Channel Islands,830,CHI,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Chile,152,CHL,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,6.1,No
China,156,CHN,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,28.2,No
"China, Hong Kong Special Administrative Region",344,HKG,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,7.1,No
"China, Macao Special Administrative Region",446,MAC,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,0,No
Colombia,170,COL,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,34.4,No
Comoros,174,COM,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,1,Yes
Congo,178,COG,911,Middle Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,0.1,Yes
Cook Islands,184,COK,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
Costa Rica,188,CRI,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,27.7,No
Côte d'Ivoire,384,CIV,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,0.1,Yes
Croatia,191,HRV,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Cuba,192,CUB,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,24.5,No
Curaçao,531,CUW,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Cyprus,196,CYP,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,1,0,No
Czechia,203,CZE,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,1.1,No
Democratic People's Republic of Korea,408,PRK,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,1,0,No
Democratic Republic of the Congo,180,COD,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.8,Yes
Denmark,208,DNK,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Djibouti,262,DJI,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,0,0.5,Yes
Dominica,212,DMA,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Dominican Republic,214,DOM,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,41,No
Ecuador,218,ECU,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,25.2,No
Egypt,818,EGY,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,Yes,0,1.2,No
El Salvador,222,SLV,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,34.4,No
Equatorial Guinea,226,GNQ,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,No,1,1.3,Yes
Eritrea,232,ERI,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.6,Yes
Estonia,233,EST,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,0.1,No
Ethiopia,231,ETH,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.3,Yes
Faroe Islands,234,FRO,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,1,0,No
Falkland Islands (Malvinas),238,FLK,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Fiji,242,FJI,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,No,1,0,No
Finland,246,FIN,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
France,250,FRA,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,3.7,No
French Guiana,254,GUF,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
French Polynesia,258,PYF,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,No,1,0,No
Gabon,266,GAB,911,Middle Africa,903,Africa,No,Yes,No,Yes,No,No,1,0.7,Yes
Gambia,270,GMB,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.7,Yes
Georgia,268,GEO,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,1,3.1,No
Germany,276,DEU,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,8.4,No
Ghana,288,GHA,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,2.8,Yes
Gibraltar,292,GIB,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,1,0,No
Greece,300,GRC,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,3.6,No
Greenland,304,GRL,905,Northern America,905,Northern America,Yes,No,No,No,Yes,No,1,0,No
Grenada,308,GRD,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Guadeloupe,312,GLP,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Guam,316,GUM,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,No,1,13.9,No
Guatemala,320,GTM,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,20.5,No
Guinea,324,GIN,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.1,Yes
Guinea-Bissau,624,GNB,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.5,Yes
