"Country letter code","ISO code","Country","In union","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"AFG",4,"Afghanistan",TRUE,2027013,2071514,2120128,2170661,2214822,2256632,2284482,2309541,2326485,2329439,2316129,2264395,2197280,2124133,2056147,2000891,1957850,1934119,1934229,1962872,2020127,2125758,2267764,2426090,2577708,2709688,2799284,2862893,2916006,2978246,3061365,3176760,3320105,3481156,3645710,3804457,3924806,4031160,4130886,4235464,4352951,4502031,4673539,4862055,5058757,5257735,5456188,5645710,5831547,6022078,6221526,6421844,6633330,6850980,7067446,7278934,7496191,7708383,7913967,8112743,8303923,8553097,8799139,9041932,9281743,9518732
"ALB",8,"Albania",TRUE,300097,308946,317900,327192,337160,347947,358825,370652,383302,396571,410349,424653,439261,454238,469698,485582,502126,518830,534696,548605,557374,558499,556181,551415,545384,538973,537808,536359,534595,532662,530692,529954,529082,527486,524360,519254,514985,507966,498844,488553,477812,476020,473361,470180,466649,462836,457392,453627,450727,447683,443980,441183,437529,433226,428651,423942,419449,414818,409862,404252,397850,393320,387955,382185,376719,371966
"DZA",12,"Algeria",TRUE,2006272,2059601,2117438,2179535,2245799,2316041,2386612,2462441,2512826,2566505,2623454,2681622,2744560,2810774,2878992,2948558,3015037,3083619,3154398,3227827,3304180,3383089,3463985,3546661,3631303,3717851,3796350,3877071,3957530,4033506,4102676,4175013,4237085,4292999,4347769,4403271,4453487,4500862,4546064,4594471,4644244,4696144,4754226,4814285,4872898,4929220,4986561,5046494,5106214,5162244,5212813,5272586,5320694,5360855,5397253,5430987,5455904,5478667,5498773,5514706,5526579,5527802,5523781,5515991,5507013,5498538
"ASM",16,"American Samoa",TRUE,3462,3581,3693,3811,3936,4044,4084,4130,4203,4300,4425,4577,4766,4983,5219,5465,5718,5980,6250,6517,6767,6970,7145,7298,7450,7604,7731,7865,7986,8067,8103,8145,8142,8096,8014,7912,7790,7644,7485,7323,7167,7044,6953,6881,6823,6766,6737,6718,6698,6684,6665,6652,6645,6641,6639,6646,6681,6722,6769,6819,6866,6933,6995,7055,7106,7149
"AGO",24,"Angola",TRUE,1106333,1120716,1139772,1162342,1187361,1214086,1235664,1260077,1287633,1318957,1354327,1388299,1428120,1471184,1514521,1556694,1589776,1621386,1654283,1692013,1736407,1779602,1831268,1888634,1948407,2008814,2059993,2113166,2168953,2228004,2290546,2350072,2414327,2482789,2555289,2631564,2703043,2779424,2859974,2944112,3031619,3116740,3207354,3302042,3399319,3498556,3598756,3696261,3796491,3901003,4010447,4120434,4235656,4355787,4480224,4608689,4738170,4872730,5012190,5156606,5306082,5492066,5684466,5882580,6085593,6292987
"AIA",660,"Anguilla",TRUE,441,440,442,444,443,440,450,459,468,480,491,489,488,489,494,504,557,620,688,762,835,888,938,983,1030,1077,1131,1189,1248,1303,1351,1389,1420,1447,1474,1504,1523,1541,1562,1582,1598,1615,1627,1637,1646,1655,1661,1664,1669,1672,1680,1688,1697,1707,1715,1721,1730,1737,1741,1747,1750,1741,1731,1718,1704,1691
"ATG",28,"Antigua and Barbuda",TRUE,5987,6110,6251,6395,6534,6663,6788,6899,6994,7076,7145,7198,7221,7215,7198,7171,7051,6954,6873,6816,6787,6973,7172,7394,7642,7916,8358,8828,9297,9726,10083,10156,10183,10197,10226,10292,10395,10509,10628,10743,10849,10943,11030,11106,11161,11187,11180,11150,11107,11078,11076,11102,11157,11239,11353,11496,11673,11885,12116,12341,12545,12621,12669,12696,12710,12726
"ARG",32,"Argentina",TRUE,3613063,3657523,3704194,3752121,3799674,3845486,3886343,3923254,3958212,3995090,4036426,4072279,4119006,4172521,4226712,4278784,4343332,4401387,4457067,4516316,4581219,4639640,4703829,4771892,4840579,4908662,4976584,5045550,5114346,5181945,5247587,5316625,5381499,5443962,5506578,5570477,5631599,5695705,5761387,5826356,5889567,5955760,6019762,6082035,6143820,6205287,6265282,6325234,6383774,6438797,6488962,6538300,6583715,6623522,6655411,6677961,6693939,6700953,6702589,6704489,6710151,6737146,6768677,6802387,6834393,6862192
"ARM",51,"Armenia",TRUE,402206,415929,429021,441653,454132,466587,476488,486539,496821,507314,518076,529710,540874,551342,560783,568929,577922,585920,592273,596576,598629,593571,585881,576638,567077,558201,554099,551449,549830,548383,546314,544556,541710,538005,533685,528820,522083,515201,508561,502722,498154,495361,493973,493449,493227,492961,493136,493175,493000,492446,491356,490135,488100,485388,482145,478387,474252,469602,464302,458238,451387,445559,439112,432073,424424,416122
"ABW",533,"Aruba",TRUE,7315,7543,7778,8022,8268,8512,8609,8705,8814,8941,9080,9268,9410,9552,9648,9700,9605,9459,9326,9280,9367,9759,10305,10921,11509,12013,12351,12613,12821,13002,13182,13337,13490,13611,13661,13612,13409,13104,12731,12335,11950,11600,11287,11010,10761,10538,10351,10187,10049,9939,9854,9779,9736,9719,9718,9730,9763,9808,9865,9940,10029,10057,10091,10131,10170,10221
"AUS",36,"Australia",TRUE,1795395,1830838,1862114,1892037,1924348,1961006,1992082,2029293,2071508,2116810,2164296,2220855,2276989,2334127,2394611,2458958,2521952,2577437,2634607,2689184,2738764,2781869,2819401,2850796,2876016,2895056,2908548,2915830,2918067,2917365,2915682,2914093,2914214,2917205,2923685,2933430,2949974,2972308,2998763,3027210,3055943,3070403,3086350,3104094,3123557,3144248,3157747,3170607,3183619,3196220,3207728,3212355,3216201,3220643,3227663,3238494,3252143,3269705,3289715,3309706,3327935,3343811,3357438,3369668,3381793,3394617
"AUT",40,"Austria",TRUE,1163242,1166203,1159276,1150083,1142059,1137325,1133631,1131817,1132143,1134508,1138651,1143824,1150809,1158985,1167545,1175959,1183157,1191551,1200221,1207893,1213793,1217339,1220255,1222776,1225812,1229822,1228536,1226851,1225248,1223929,1223053,1222607,1222992,1223477,1223113,1221103,1214843,1206769,1197437,1187512,1177459,1166601,1156319,1146050,1135215,1123697,1109479,1094018,1078400,1063987,1051520,1040364,1031364,1024012,1017570,1011540,1006296,1001735,997267,992040,985512,977785,968446,958079,947568,937446
"AZE",31,"Azerbaijan",TRUE,755409,767885,779846,792011,805409,820504,835582,852293,871107,892330,915965,942780,971326,1000067,1027123,1051521,1073067,1091513,1108322,1126112,1146475,1168907,1196395,1226849,1257368,1286372,1315731,1343974,1371386,1398400,1425271,1450246,1472624,1493810,1515307,1537574,1556146,1575935,1595778,1613695,1628503,1639068,1646047,1649330,1651465,1653748,1653427,1655455,1658177,1659234,1657665,1658948,1656576,1652040,1647360,1643253,1638996,1634627,1629702,1623134,1614256,1608939,1602010,1593061,1581728,1567855
"BHS",44,"Bahamas",TRUE,21559,22184,22674,23087,23507,23973,24195,24517,24927,25382,25869,26597,27250,27856,28461,29077,29548,30085,30658,31209,31713,32351,32895,33363,33800,34223,34573,34944,35322,35683,36008,36408,36783,37129,37452,37762,38063,38329,38603,38868,39083,38986,38958,38968,39012,39101,39247,39428,39645,39874,40107,40324,40534,40766,41056,41426,41857,42369,42930,43477,43975,43965,43866,43704,43518,43335
"BHR",48,"Bahrain",TRUE,29411,30529,31679,33082,34645,36323,38335,40588,43016,45531,48044,51044,53909,56698,59447,62163,63329,64687,66171,67792,69589,70927,72627,74702,77041,79439,81108,83106,85413,88063,91040,94485,98275,102568,107527,113200,119996,127501,135208,142448,148696,151077,152385,153081,153871,155320,156733,159230,162593,166424,170368,171592,172746,174009,175584,177566,179135,181173,183729,186843,190521,193290,195995,198701,201474,204340
"BGD",50,"Bangladesh",TRUE,12125896,12329686,12512890,12691913,12882973,13075233,13335207,13646590,14002941,14400963,14835669,15221932,15666453,16154891,16667150,17195502,17730221,18283954,18855590,19448250,20060901,20632958,21220719,21827167,22456462,23112715,23782136,24474421,25191852,25939372,26716389,27494648,28303334,29121950,29924092,30693877,31409495,32099079,32759272,33389813,33993748,34581666,35130430,35646420,36117273,36561634,36967045,37346722,37702956,38040929,38365313,38686337,39001460,39289951,39524262,39686816,39794717,39831384,39801033,39713228,39573599,39682336,39754634,39793155,39801922,39784414
"BRB",52,"Barbados",TRUE,26653,27291,27968,28632,29289,29962,30244,30666,31130,31560,31953,32923,33810,34669,35547,36454,37212,38021,38845,39646,40412,41251,42012,42680,43244,43688,43969,44124,44151,44032,43783,43787,43698,43541,43353,43139,42853,42550,42220,41852,41444,41062,40644,40208,39787,39393,39067,38778,38507,38224,37908,37622,37303,36976,36659,36370,36159,35974,35803,35620,35402,35238,35041,34829,34621,34426
"BLR",112,"Belarus",TRUE,1638872,1654741,1663630,1667195,1668647,1670239,1670075,1672079,1675526,1679554,1673050,1671667,1671844,1671796,1669348,1663270,1654147,1641406,1627268,1615605,1608942,1607958,1612256,1618858,1623359,1623324,1623973,1619065,1610202,1599811,1589038,1576051,1562278,1547529,1531414,1513926,1493421,1473067,1452787,1432646,1411396,1390594,1370622,1351143,1331999,1313160,1294642,1277026,1259864,1242356,1224082,1205526,1185916,1166027,1146966,1129263,1112001,1096124,1081187,1066502,1051718,1037032,1022207,1007250,992125,976786
"BEL",56,"Belgium",TRUE,1626849,1627385,1622126,1613780,1606536,1602706,1599151,1598541,1600072,1602239,1604160,1604834,1605214,1605523,1606252,1607632,1607005,1607184,1608193,1609994,1612417,1616475,1621425,1625449,1626145,1622057,1611365,1596380,1578817,1561074,1544658,1530180,1517134,1505363,1494318,1483416,1472857,1463143,1454004,1445105,1436167,1425597,1413314,1401990,1391451,1381615,1368256,1354940,1342098,1330171,1319233,1307885,1297748,1288672,1280418,1272884,1266404,1260908,1256233,1252160,1248474,1245609,1242561,1239427,1236361,1233414
"BLZ",84,"Belize",TRUE,16780,16836,16851,16848,16843,16857,17145,17411,17664,17918,18191,18835,19539,20312,21148,22035,22834,23703,24589,25438,26220,26974,27593,28161,28776,29487,30654,32059,33594,35135,36620,38117,39559,40989,42468,44031,45319,46609,47860,49033,50122,51602,52945,54261,55607,57002,58260,59585,60937,62262,63528,64701,65828,66918,67988,69040,70033,71004,71952,72857,73711,74773,75772,76714,77615,78483
"BEN",204,"Benin",TRUE,555008,563820,573770,584860,597104,610514,623142,637235,652655,669268,683240,696061,710248,725579,741834,758918,774696,791665,809959,829768,851188,874568,900056,927090,955054,983540,1007438,1032050,1057575,1084346,1112621,1141047,1171290,1203005,1235733,1269134,1299726,1330966,1362899,1395677,1429398,1461877,1495638,1531171,1567874,1605745,1644557,1684987,1726790,1769705,1813527,1856927,1901242,1946454,1992598,2039619,2085776,2132914,2180825,2229293,2278151,2344086,2411742,2480904,2551380,2623004
"BMU",60,"Bermuda",TRUE,7750,7872,7974,8064,8170,8303,8428,8590,8776,8962,9141,9258,9361,9450,9536,9626,9703,9780,9851,9905,9938,9953,9948,9928,9883,9818,9742,9639,9522,9401,9284,9166,9053,8932,8795,8634,8441,8221,7984,7734,7472,7206,6936,6674,6427,6202,6036,5898,5781,5673,5574,5503,5436,5383,5344,5318,5312,5320,5335,5355,5373,5376,5376,5371,5359,5336
"BTN",64,"Bhutan",TRUE,46304,47384,48488,49632,50831,52104,53228,54459,55786,57195,58678,59821,61032,62374,63910,65672,67666,69877,72047,73866,75156,74665,73661,72507,71694,71571,73175,75572,78573,81934,85429,89005,92710,96527,100433,104427,107808,111161,114491,117833,121209,124363,127598,130805,133822,136550,139103,141309,143256,145084,146868,148421,149948,151386,152640,153664,154533,155165,155582,155823,155897,156690,157334,157788,157979,157875
"BOL",68,"Bolivia (Plurinational State of)",TRUE,609817,623242,637850,653371,669544,686207,701598,714003,726780,740100,754068,766449,779590,793316,807429,821879,835925,850425,865260,880300,895494,911898,928460,945482,963415,982481,1002460,1023671,1045566,1067407,1088770,1108923,1128888,1148735,1168709,1188993,1210099,1231416,1252944,1274700,1296658,1319386,1342502,1365363,1388371,1411293,1435095,1458712,1482145,1505503,1528764,1551913,1575365,1598712,1621416,1643189,1664996,1686093,1706517,1726424,1745879,1767473,1788220,1808134,1827251,1845579
"BIH",70,"Bosnia and Herzegovina",TRUE,646656,659891,671553,682094,692318,702520,712015,721367,730455,739019,747102,757498,763554,769073,774171,778706,780987,781896,780115,774377,764177,749957,730832,708983,687138,667469,657465,650677,646169,642697,639246,635278,631975,628905,625466,621332,617282,611790,604891,596710,587249,573553,559228,544577,530683,518439,513318,510152,508221,506481,504106,500865,497059,492754,488106,483227,478196,472904,467261,461180,454622,449155,443297,437104,430611,423816
"BWA",72,"Botswana",TRUE,71335,73368,75335,77501,79926,82632,85739,89174,92840,96616,100419,103740,107084,110471,113961,117608,121288,125246,129451,133827,138355,143253,148168,153187,158450,163986,168702,173694,178816,183837,188639,192421,196022,199564,203215,207087,211633,216280,221053,225955,230965,236372,241862,247466,253176,258993,264857,270964,277183,283342,289359,295604,301597,307409,313138,318808,324279,329695,335030,340213,345215,348090,350636,352958,355241,357592
"BRA",76,"Brazil",TRUE,12505365,12866837,13238935,13623281,14022034,14434770,14849417,15271095,15706686,16165169,16650229,17133269,17648596,18182891,18720278,19252610,19767040,20286777,20809563,21334890,21863323,22413183,22953239,23489372,24027413,24567286,25084801,25598568,26107376,26609897,27104872,27563902,28027232,28482844,28917002,29323250,29727963,30100113,30442033,30756671,31043552,31297344,31516315,31708872,31886045,32053372,32196712,32340279,32475255,32590562,32680880,32772559,32841322,32883690,32895460,32872016,32827680,32750588,32639956,32494614,32315076,32155751,31961271,31740918,31507990,31270459
"VGB",92,"British Virgin Islands",TRUE,1037,1055,1079,1110,1141,1171,1202,1231,1255,1285,1324,1383,1456,1544,1642,1753,1863,1988,2118,2245,2361,2421,2466,2506,2539,2576,2597,2623,2653,2682,2714,2746,2780,2815,2854,2897,2946,3008,3070,3131,3182,3206,3219,3225,3236,3255,3275,3304,3340,3374,3410,3437,3461,3484,3507,3530,3556,3582,3606,3627,3645,3637,3623,3604,3587,3570
"BRN",96,"Brunei Darussalam",TRUE,18303,19316,20253,21210,22169,23120,23607,24283,25165,26228,27469,28495,29529,30567,31608,32651,33974,35427,37023,38764,40641,41777,43071,44525,46178,48057,49808,51776,53903,56063,58147,58920,59533,60002,60388,60744,60950,61033,61061,61113,61270,61999,62726,63441,64104,64685,65023,65333,65582,65751,65843,65960,65983,65936,65859,65762,65641,65504,65346,65144,64900,64691,64431,64129,63796,63441
"BGR",100,"Bulgaria",TRUE,1626720,1634222,1634926,1630742,1625026,1619869,1614581,1609548,1604665,1599674,1594575,1590606,1587537,1584993,1582543,1580001,1565562,1549754,1532969,1515833,1498498,1476602,1455273,1433774,1410823,1386029,1363867,1339990,1315117,1290561,1266993,1243078,1219588,1196646,1174066,1151604,1126776,1102701,1079161,1056126,1033772,1014665,995997,978377,961011,943439,927832,911598,894841,877606,859770,840559,820880,800820,780527,760226,740090,719987,700445,682293,665999,652808,641350,630903,620273,608755
"BFA",854,"Burkina Faso",TRUE,1088916,1102151,1117999,1136018,1155582,1176448,1191388,1207712,1225812,1246393,1269811,1290661,1315455,1343220,1372855,1403914,1433638,1465852,1500307,1536900,1575673,1613617,1653959,1696991,1743191,1792813,1840392,1892141,1947421,2005505,2066067,2123728,2185024,2249575,2316976,2386941,2453808,2523944,2597125,2673452,2753020,2829746,2910291,2993665,3078792,3165278,3252795,3341421,3431690,3524471,3620059,3715808,3814091,3914298,4015538,4117194,4217873,4318964,4419822,4519896,4618719,4762292,4909320,5059563,5212889,5369219
"BDI",108,"Burundi",TRUE,498507,501978,505609,510200,516627,525434,538890,555039,573430,593454,613106,626785,641798,657663,673898,690360,705223,720551,736252,752291,768446,774470,780347,785684,790141,793898,793562,792825,793140,796426,804096,831567,864064,900981,941169,983482,1025242,1069176,1114708,1161371,1208830,1250291,1292930,1336254,1379603,1422843,1468117,1513557,1559519,1606763,1655604,1702961,1752063,1802719,1854540,1907323,1960038,2013674,2068105,2123176,2178675,2245776,2314375,2384522,2456201,2529351
"CPV",132,"Cabo Verde",TRUE,25902,26004,25908,25712,25531,25407,25322,25332,25418,25570,25803,26509,27315,28170,29017,29827,30782,31602,32318,32999,33687,34716,35933,37285,38700,40113,41403,42661,43872,45022,46113,47325,48445,49503,50525,51523,52550,53517,54423,55282,56109,57169,58293,59470,60699,61981,63424,64903,66415,67964,69552,71158,72810,74474,76107,77686,79275,80804,82266,83660,84985,85969,86837,87578,88191,88670
