iso.country,groupname,iso.group
4,Least Developed Countries (LDCs),
24,Least Developed Countries (LDCs),
50,Least Developed Countries (LDCs),
64,Least Developed Countries (LDCs),
90,Least Developed Countries (LDCs),
104,Least Developed Countries (LDCs),
108,Least Developed Countries (LDCs),
116,Least Developed Countries (LDCs),
140,Least Developed Countries (LDCs),
148,Least Developed Countries (LDCs),
174,Least Developed Countries (LDCs),
180,Least Developed Countries (LDCs),
204,Least Developed Countries (LDCs),
231,Least Developed Countries (LDCs),
232,Least Developed Countries (LDCs),
262,Least Developed Countries (LDCs),
270,Least Developed Countries (LDCs),
296,Least Developed Countries (LDCs),
324,Least Developed Countries (LDCs),
332,Least Developed Countries (LDCs),
418,Least Developed Countries (LDCs),
426,Least Developed Countries (LDCs),
430,Least Developed Countries (LDCs),
450,Least Developed Countries (LDCs),
454,Least Developed Countries (LDCs),
466,Least Developed Countries (LDCs),
478,Least Developed Countries (LDCs),
508,Least Developed Countries (LDCs),
524,Least Developed Countries (LDCs),
548,Least Developed Countries (LDCs),
562,Least Developed Countries (LDCs),
624,Least Developed Countries (LDCs),
626,Least Developed Countries (LDCs),
646,Least Developed Countries (LDCs),
678,Least Developed Countries (LDCs),
686,Least Developed Countries (LDCs),
694,Least Developed Countries (LDCs),
706,Least Developed Countries (LDCs),
728,Least Developed Countries (LDCs),
729,Least Developed Countries (LDCs),
768,Least Developed Countries (LDCs),
798,Least Developed Countries (LDCs),
800,Least Developed Countries (LDCs),
834,Least Developed Countries (LDCs),
854,Least Developed Countries (LDCs),
887,Least Developed Countries (LDCs),
894,Least Developed Countries (LDCs),
