iso.country,groupname,iso.group
4,Southern Asia,
8,Europe,
12,Northern Africa,
16,Oceania excluding Australia and New Zealand,
20,Europe,
24,Sub-Saharan Africa,
28,Caribbean,
31,Western Asia,
32,South America,
36,Australia and New Zealand,
40,Europe,
44,Caribbean,
48,Western Asia,
50,Southern Asia,
51,Western Asia,
52,Caribbean,
56,Europe,
60,Northern America,
64,Southern Asia,
68,South America,
70,Europe,
72,Sub-Saharan Africa,
76,South America,
84,Central America,
86,Sub-Saharan Africa,
90,Oceania excluding Australia and New Zealand,
92,Caribbean,
96,South-eastern Asia,
100,Europe,
104,South-eastern Asia,
108,Sub-Saharan Africa,
112,Europe,
116,South-eastern Asia,
120,Sub-Saharan Africa,
124,Northern America,
132,Sub-Saharan Africa,
136,Caribbean,
140,Sub-Saharan Africa,
144,Southern Asia,
148,Sub-Saharan Africa,
152,South America,
156,Eastern Asia,
162,Australia and New Zealand,
166,Australia and New Zealand,
170,South America,
174,Sub-Saharan Africa,
175,Sub-Saharan Africa,
178,Sub-Saharan Africa,
180,Sub-Saharan Africa,
184,Oceania excluding Australia and New Zealand,
188,Central America,
191,Europe,
192,Caribbean,
196,Western Asia,
203,Europe,
204,Sub-Saharan Africa,
208,Europe,
212,Caribbean,
214,Caribbean,
218,South America,
222,Central America,
226,Sub-Saharan Africa,
231,Sub-Saharan Africa,
232,Sub-Saharan Africa,
233,Europe,
234,Europe,
238,South America,
239,South America,
242,Oceania excluding Australia and New Zealand,
246,Europe,
248,Europe,
250,Europe,
254,South America,
258,Oceania excluding Australia and New Zealand,
260,Sub-Saharan Africa,
262,Sub-Saharan Africa,
266,Sub-Saharan Africa,
268,Western Asia,
270,Sub-Saharan Africa,
275,Western Asia,
276,Europe,
288,Sub-Saharan Africa,
292,Europe,
296,Oceania excluding Australia and New Zealand,
300,Europe,
304,Northern America,
308,Caribbean,
312,Caribbean,
316,Oceania excluding Australia and New Zealand,
320,Central America,
324,Sub-Saharan Africa,
328,South America,
332,Caribbean,
334,Australia and New Zealand,
336,Europe,
340,Central America,
344,Eastern Asia,
348,Europe,
352,Europe,
356,Southern Asia,
360,South-eastern Asia,
364,Southern Asia,
368,Western Asia,
372,Europe,
376,Western Asia,
380,Europe,
384,Sub-Saharan Africa,
388,Caribbean,
392,Eastern Asia,
398,Central Asia,
400,Western Asia,
404,Sub-Saharan Africa,
408,Eastern Asia,
410,Eastern Asia,
414,Western Asia,
417,Central Asia,
418,South-eastern Asia,
422,Western Asia,
426,Sub-Saharan Africa,
428,Europe,
430,Sub-Saharan Africa,
434,Northern Africa,
438,Europe,
440,Europe,
442,Europe,
446,Eastern Asia,
450,Sub-Saharan Africa,
454,Sub-Saharan Africa,
458,South-eastern Asia,
462,Southern Asia,
466,Sub-Saharan Africa,
470,Europe,
474,Caribbean,
478,Sub-Saharan Africa,
480,Sub-Saharan Africa,
484,Central America,
492,Europe,
496,Eastern Asia,
498,Europe,
499,Europe,
500,Caribbean,
504,Northern Africa,
508,Sub-Saharan Africa,
512,Western Asia,
516,Sub-Saharan Africa,
520,Oceania excluding Australia and New Zealand,
524,Southern Asia,
528,Europe,
531,Caribbean,
533,Caribbean,
534,Caribbean,
535,Caribbean,
540,Oceania excluding Australia and New Zealand,
548,Oceania excluding Australia and New Zealand,
554,Australia and New Zealand,
558,Central America,
562,Sub-Saharan Africa,
566,Sub-Saharan Africa,
570,Oceania excluding Australia and New Zealand,
574,Australia and New Zealand,
578,Europe,
580,Oceania excluding Australia and New Zealand,
581,Oceania excluding Australia and New Zealand,
583,Oceania excluding Australia and New Zealand,
584,Oceania excluding Australia and New Zealand,
585,Oceania excluding Australia and New Zealand,
586,Southern Asia,
591,Central America,
598,Oceania excluding Australia and New Zealand,
600,South America,
604,South America,
608,South-eastern Asia,
612,Oceania excluding Australia and New Zealand,
616,Europe,
620,Europe,
624,Sub-Saharan Africa,
626,South-eastern Asia,
630,Caribbean,
634,Western Asia,
638,Sub-Saharan Africa,
642,Europe,
643,Europe,
646,Sub-Saharan Africa,
652,Caribbean,
654,Sub-Saharan Africa,
659,Caribbean,
660,Caribbean,
662,Caribbean,
663,Caribbean,
666,Northern America,
670,Caribbean,
674,Europe,
678,Sub-Saharan Africa,
682,Western Asia,
686,Sub-Saharan Africa,
688,Europe,
690,Sub-Saharan Africa,
694,Sub-Saharan Africa,
702,South-eastern Asia,
703,Europe,
704,South-eastern Asia,
705,Europe,
706,Sub-Saharan Africa,
710,Sub-Saharan Africa,
716,Sub-Saharan Africa,
724,Europe,
728,Sub-Saharan Africa,
729,Northern Africa,
732,Northern Africa,
740,South America,
744,Europe,
748,Sub-Saharan Africa,
752,Europe,
756,Europe,
760,Western Asia,
762,Central Asia,
764,South-eastern Asia,
768,Sub-Saharan Africa,
772,Oceania excluding Australia and New Zealand,
776,Oceania excluding Australia and New Zealand,
780,Caribbean,
784,Western Asia,
788,Northern Africa,
792,Western Asia,
795,Central Asia,
796,Caribbean,
798,Oceania excluding Australia and New Zealand,
800,Sub-Saharan Africa,
804,Europe,
807,Europe,
818,Northern Africa,
826,Europe,
830,Europe,
831,Europe,
832,Europe,
833,Europe,
834,Sub-Saharan Africa,
840,Northern America,
850,Caribbean,
854,Sub-Saharan Africa,
858,South America,
860,Central Asia,
862,South America,
876,Oceania excluding Australia and New Zealand,
882,Oceania excluding Australia and New Zealand,
887,Western Asia,
894,Sub-Saharan Africa,
